year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,1.59e-05,0.0,0.0074,4.36e-18,0.118
1751,0.000122,0.0,0.0074199999999999995,0.00146,0.118
1752,0.000122,0.0,0.00745,0.00292,0.119
1753,0.000122,0.0,0.00747,0.00437,0.119
1754,0.000122,0.0,0.0075,0.00583,0.12
1755,0.000122,0.0,0.00752,0.00729,0.12
1756,0.00013000000000000002,0.0,0.007549999999999999,0.00875,0.121
1757,0.00013000000000000002,0.0,0.00757,0.010199999999999999,0.121
1758,0.00013000000000000002,0.0,0.0076,0.011699999999999999,0.122
1759,0.00013000000000000002,0.0,0.00762,0.013099999999999999,0.122
1760,0.00013000000000000002,0.0,0.0076500000000000005,0.0146,0.123
1761,0.00014099999999999998,0.0,0.00767,0.016,0.123
1762,0.00014099999999999998,0.0,0.0077,0.0175,0.124
1763,0.00014099999999999998,0.0,0.007719999999999999,0.0189,0.124
1764,0.00014099999999999998,0.0,0.00774,0.020399999999999998,0.125
1765,0.00014099999999999998,0.0,0.00777,0.0219,0.125
1766,0.000155,0.0,0.00779,0.0233,0.126
1767,0.000156,0.0,0.00782,0.0248,0.126
1768,0.000156,0.0,0.00784,0.026199999999999998,0.127
1769,0.000156,0.0,0.00787,0.0277,0.127
1770,0.000156,0.0,0.00789,0.0292,0.128
1771,0.000171,0.0,0.00796,0.030600000000000002,0.129
1772,0.000171,0.0,0.00802,0.032100000000000004,0.129
1773,0.000171,0.0,0.00808,0.0335,0.13
1774,0.000171,0.0,0.008150000000000001,0.035,0.131
1775,0.000171,0.0,0.00821,0.0364,0.131
1776,0.000187,0.0,0.00828,0.037899999999999996,0.132
1777,0.00019,0.0,0.00834,0.0394,0.133
1778,0.000193,0.0,0.00841,0.040799999999999996,0.134
1779,0.00019600000000000002,0.0,0.00847,0.0423,0.134
1780,0.000199,0.0,0.00853,0.0437,0.135
1781,0.000222,0.0,0.00857,0.045200000000000004,0.136
1782,0.00022600000000000002,0.0,0.00861,0.0466,0.137
1783,0.000229,0.0,0.00865,0.048100000000000004,0.137
1784,0.00023300000000000003,0.0,0.00868,0.0496,0.138
1785,0.00031800000000000003,0.0,0.00872,0.051,0.139
1786,0.000348,0.0,0.00876,0.0525,0.139
1787,0.000352,0.0,0.0088,0.053899999999999997,0.14
1788,0.000356,0.0,0.00884,0.0554,0.141
1789,0.000361,0.0,0.00887,0.056799999999999996,0.142
1790,0.000366,0.0,0.00891,0.0583,0.142
1791,0.00039600000000000003,0.0,0.00894,0.0598,0.143
1792,0.000449,0.0,0.00897,0.061200000000000004,0.144
1793,0.000455,0.0,0.009,0.0627,0.145
1794,0.000457,0.0,0.00903,0.06409999999999999,0.146
1795,0.00046300000000000003,0.0,0.00906,0.06559999999999999,0.147
1796,0.000489,0.0,0.009089999999999999,0.067,0.148
1797,0.000509,0.0,0.00912,0.0685,0.149
1798,0.000528,0.0,0.00915,0.07,0.151
1799,0.000554,0.0,0.009179999999999999,0.0714,0.152
1800,0.000847,0.0,0.009210000000000001,0.0729,0.153
1801,0.000843,0.0,0.00928,0.07429999999999999,0.154
1802,0.000989,0.0,0.00936,0.07579999999999999,0.156
1803,0.00103,0.0,0.00943,0.0773,0.157
1804,0.0011200000000000001,0.0,0.00951,0.0787,0.158
1805,0.00114,0.0,0.00958,0.08020000000000001,0.16
1806,0.00114,0.0,0.00966,0.08159999999999999,0.161
1807,0.0013700000000000001,0.0,0.00973,0.0831,0.163
1808,0.0012,0.0,0.009810000000000001,0.0845,0.164
1809,0.00121,0.0,0.009880000000000002,0.086,0.166
1810,0.00123,0.0,0.00996,0.0875,0.167
1811,0.00128,0.0,0.01,0.0889,0.169
1812,0.00133,0.0,0.0101,0.09040000000000001,0.171
1813,0.00136,0.0,0.010199999999999999,0.09179999999999999,0.173
1814,0.0014199999999999998,0.0,0.010199999999999999,0.0933,0.175
1815,0.0015,0.0,0.0103,0.0947,0.177
1816,0.00174,0.0,0.0104,0.09620000000000001,0.178
1817,0.00191,0.0,0.0104,0.09770000000000001,0.18
1818,0.00198,0.0,0.0105,0.0991,0.182
1819,0.0019399999999999999,0.0,0.0106,0.101,0.184
1820,0.002,0.0,0.0106,0.102,0.186
1821,0.00207,0.0,0.0108,0.103,0.188
1822,0.00214,0.0,0.0109,0.105,0.191
1823,0.00225,0.0,0.011,0.106,0.193
1824,0.00233,0.0,0.0111,0.108,0.196
1825,0.00259,0.0,0.0112,0.109,0.199
1826,0.00276,0.0,0.011300000000000001,0.111,0.201
1827,0.0030499999999999998,0.0,0.0114,0.112,0.204
1828,0.00321,0.0,0.0116,0.114,0.206
1829,0.00332,0.0,0.011699999999999999,0.115,0.209
1830,0.00401,0.0,0.011800000000000001,0.117,0.211
1831,0.00408,0.0,0.0119,0.118,0.215
1832,0.004730000000000001,0.0,0.012,0.12,0.218
1833,0.00535,0.0,0.012199999999999999,0.121,0.222
1834,0.00535,0.0,0.0123,0.122,0.226
1835,0.00636,0.0,0.0124,0.124,0.229
1836,0.00705,0.0,0.0126,0.125,0.233
1837,0.007730000000000001,0.0,0.0127,0.127,0.236
1838,0.0076,0.0,0.0128,0.128,0.24
1839,0.00819,0.0,0.0129,0.13,0.243
1840,0.00884,0.0,0.013099999999999999,0.131,0.247
1841,0.00939,0.0,0.0132,0.133,0.252
1842,0.0104,0.0,0.0134,0.134,0.256
1843,0.011300000000000001,0.0,0.0135,0.136,0.261
1844,0.013099999999999999,0.0,0.013699999999999999,0.137,0.265
1845,0.0154,0.0,0.013900000000000001,0.138,0.27
1846,0.0175,0.0,0.014,0.14,0.275
1847,0.020300000000000002,0.0,0.014199999999999999,0.141,0.279
1848,0.022,0.0,0.0143,0.143,0.284
1849,0.023899999999999998,0.0,0.0145,0.144,0.288
1850,0.0258,9.31e-06,0.0143,0.146,0.323
1851,0.0263,9.509999999999999e-06,0.0146,0.147,0.33
1852,0.0268,9.7e-06,0.0149,0.149,0.337
1853,0.0273,9.88e-06,0.015099999999999999,0.15,0.343
1854,0.027800000000000002,1.01e-05,0.0154,0.152,0.349
1855,0.0282,1.02e-05,0.0156,0.153,0.355
