,gamma,c1,c2,c3,kappa1,kappa2,kappa3,epsilon,sigma_eta,sigma_xi,F_4xCO2,r0,rU,rT,rA,ari BC,ari CH4,ari N2O,ari NH3,ari NOx,ari OC,ari Sulfur,ari VOC,ari Equivalent effective stratospheric chlorine,shape_so2,shape_bc,shape_oc,beta,o3 CH4,o3 N2O,o3 Equivalent effective stratospheric chlorine,o3 CO,o3 VOC,o3 NOx,scale CO2,scale CH4,scale N2O,scale minorGHG,scale Stratospheric water vapour,scale Contrails,scale Light absorbing particles on snow and ice,scale Land use,scale Volcanic,solar_amplitude,solar_trend,co2_concentration_1750,seed
1812,1.9709115418338088,5.363791048223977,19.15089232273161,90.00245362725343,1.3785541331379845,1.3461403660446865,1.1468974592110113,1.3467693717745983,0.4771934013133754,0.3645941326788129,6.7220632121182415,33.34025005972127,0.0046011429367969,1.5942465267889143,0.0011202243388922,0.0062619316429607,-3.6814239926163815e-06,-2.8930167465915595e-05,-0.0001940469074702,-0.0001273051353495,-0.0015388388366676,-0.0017762502941947,-6.598401675721063e-06,-5.198367155116822e-06,0.004608584641061,0.0270323298297475,0.0125922943615985,-2.465351231006325,0.0001435501764607,0.0006430938261922,3.215995200272034e-05,0.0001173731081787,0.0005959672685206,0.0018272094313583,1.17064546824474,1.0306276781542665,1.041111437017704,2.0263398242659925,0.5769922396674018,0.4687081858621305,0.8687302349728048,0.7263526262105854,0.8549948222976009,0.0253160474600195,1.0874287696199725,278.90556839735723,2078751
2113,23.05061013373393,3.217218414453048,5.200224312827212,145.091926201698,1.19506377433251,4.477915605679157,0.9968651618492304,1.0725035830843843,1.354545025671407,0.5630396741229262,8.67103159202761,33.813900193447466,0.0020489210084888,3.170003757577581,0.0010713016424593,0.0312707480295643,-3.6443095150693943e-06,-1.9471672117177537e-05,-0.0010150516643705,-6.492971149446775e-05,-0.0004548697966864,-0.0057188953738259,-1.0846534753633116e-05,-1.4002084572161083e-05,0.018585159137645,0.2451825144271545,0.0255450062046386,-0.8852872328413448,0.0002104634905423,0.0008295961845984,-1.1292226334103816e-05,7.005881166365724e-05,0.0005215818765216,0.0020777064154974,1.1960228105306223,0.9012595509539468,0.797684498262776,1.441790803575293,1.028282354678031,0.8561395059666167,0.7045373572456459,1.1995583567053512,1.3197196466075152,-0.0625453448505926,0.9495435309429034,280.5365842582829,2198850
2227,13.621448488885328,3.8197535192009537,9.746931634325191,99.0648650385201,1.4587362044310963,2.46157222361932,0.3774209748847363,0.9124685779195448,1.179398566749143,0.3471836531158532,7.254606901193867,33.778833810915934,0.0057144383291419,-1.3569778669368562,0.00468840100671,0.0024324243896213,-5.77398839043858e-07,-1.213526616576909e-05,-6.028251502129822e-06,-1.817563997756783e-05,-0.002890416087039,-0.0044504010310127,-2.053139905588927e-05,-5.969706380637773e-06,0.0040829530193643,0.0794873307330752,0.0003477114181756,-1.7860019872446709,0.0001576357258238,0.0006951022640034,-8.46374894840303e-05,6.927836717144991e-05,6.924277926585764e-05,0.0017114397390749,0.979054392671682,1.0079506822108513,1.0679407896647,0.6540865965640352,1.1186605920097814,1.7047091085576858,0.645111088619726,0.9565356251919792,0.8792256221421693,0.058654258323388,1.049752471517294,275.0264673941492,2244336
6207,6.83727641928499,4.081778579437395,25.35811067897969,99.92673533886702,0.8804133383895856,3.716930170532688,1.1024075752541984,1.6367696705018149,1.056210910305024,0.648949812037425,7.712816001237104,35.14882056486219,-0.0003657777586879,2.8328181848558773,0.0034076373991996,0.0140538034413404,-3.7251111945139833e-06,-4.271464558896311e-05,-5.026113364304738e-05,-3.972574781140016e-05,-0.0067503068216231,-0.0029793129272538,-1.1885012115550612e-05,-1.494231049566352e-06,0.0405732754856718,0.0316608180238595,0.0177415567699668,-0.5800760718631569,0.0001422393432518,0.0003410775008368,-0.0001258243343276,0.0003424620349672,0.0003489039530049,0.0013349388978077,0.8834354763968935,1.0725552783242776,1.0818117136239542,1.109970087951716,-0.2180928571322089,1.3676017021210418,1.2119539277818814,0.8851610596940287,0.9860470042830144,0.0669478174577633,1.0173351825685606,278.5794285831413,3832356
9569,3.700803724327856,3.332903350368563,6.624590278223491,8.702528359705894,1.1915920474619046,2.85316868320817,0.795700710937506,1.6424494840406618,0.6111606070233693,0.301243512702674,7.146151205923467,37.98274321734754,-0.0022933639975462,0.6292943403744814,0.0029873795012309,0.0009521422924213,-1.6194858555617662e-06,-7.083578631620004e-05,-0.000665760472035,-2.5198878849430332e-05,-0.0060915991085506,-0.0018845064370266,-3.108756345339517e-05,-3.189470164642236e-06,0.0230217533932822,0.085955457940893,0.0253581741110014,-0.7731248617047937,0.0001627557419061,0.0002393271650525,-9.316115267772468e-05,0.0001007434713195,0.0004354067732728,0.0019956856908042,0.7555354213217335,0.9388916952240438,0.856017915460851,1.1659223591209598,0.9854675661953884,0.0143459059544901,1.2948806587188784,0.8498088008287192,0.9643315088954292,0.004280880207804,1.057425474107999,280.73081765881466,5173794
9721,7.622096644330968,4.433882546665482,11.332867479539818,181.25179895147787,1.175582281757933,6.77077139795951,0.6409483606241559,1.249453977078434,0.9402566372759128,0.6070958740739202,8.223495685558987,32.362683657449125,0.0051345234952798,3.3806512609197914,0.0004847637788047,0.0183757513257037,-2.301046645921223e-07,-6.875481326011938e-05,-0.0007673251364804,-8.885236677621394e-05,-0.0048306779532302,-0.0004385759567,-1.1932674888788049e-05,-1.2274986795352716e-05,0.0082188709810306,0.2344685259525437,0.0007635412704637,-1.0882889161032687,0.000159497558748,0.0002264151566263,-4.392961933921028e-05,6.235883388994672e-05,0.0004888496660171,0.0015664246301159,0.8863103611181467,1.0116096129585308,0.9702477109567764,1.4611617701415462,0.9416279169192516,0.8456096706328579,1.2094165625282842,0.8670567356863723,1.6018237772037014,0.0012630467437853,0.98120571485317,277.94791804612345,5234442
14745,2.624490273134892,2.235165054505655,44.21300781658931,72.7048398931399,1.1980995063175452,1.3279982875416785,0.7466895242986307,0.6772732866116062,0.7019643722463023,0.2692290582029705,9.109739058341368,31.02241448066757,0.0052659992063515,6.599238523694039,-0.001979277429151,0.0138010264093377,-5.1527018859125846e-08,-6.681367916309821e-05,-8.580032408868538e-05,-2.6501006202074305e-05,-0.006554652145048,-0.0030474621671271,-2.6039652497303217e-05,-6.644765244190378e-06,0.0049829509268579,0.2779136454946663,0.002499783459165,-1.2591641410503305,0.0001538312206831,0.0007285507870141,-0.0001516873506382,0.000169063835914,0.0006825704077339,0.002577625174836,0.9651555403675952,0.980629340691686,0.8768587908842886,2.50124621020401,1.5410220747681085,1.8386197370824189,0.4451718482897913,0.8840733547397892,1.2433191841820697,-0.0767765367297241,0.9185059398123088,279.4109720240837,7239018
15091,4.481889909250929,5.191128192070748,38.40253452556463,98.65026051464888,1.369815920169365,1.3760487256065783,1.0364115237503189,0.9256058465811664,0.996080966175826,0.4149117688112098,9.177971732426592,35.15971764672404,0.0003341486317666,0.4577713359254627,0.0041551748306168,0.0108204637164285,-1.0228471353656791e-06,-2.001485501173047e-06,-0.0005587768899222,-9.10220177013111e-05,-0.0029616091702276,-0.003875574645396,-2.183135829391727e-05,-5.402657131051119e-07,0.0411271379234284,0.2820029613819228,0.0093064757506049,-0.2953475301973116,0.0001647059679973,0.0008270282745294,-0.0001405877648871,5.439532882923257e-05,0.0003120245420271,0.0018173058568087,1.0219599832491202,0.9674930148163036,1.0038074546462747,0.2950664814527282,0.7801082980875155,1.2578122124222242,0.516233596036706,1.2262655455326663,1.0126657769301974,0.0012841400926704,0.9136786277590196,279.83445197635115,7377072
16701,1.5616941842719152,4.645841463933053,23.10404239504133,129.1934254442594,1.4383244303288307,2.310963793957028,0.6118416289394888,1.1484169879267578,0.5141553967683191,0.441269186033095,5.971617919056927,31.31837323273805,0.0073538278252483,2.026737478113305,-0.0009921274665974,0.0071784513398079,-1.6537677376679523e-06,-3.4824084186462926e-06,-0.0009784534281045,-2.663463800352729e-05,-0.0017914427838358,-0.0032577537711174,-2.590778433724158e-05,-6.790266474966649e-06,0.0289539338661093,0.7575734987331237,0.0036740518408697,-0.6811651708835987,0.000172205740621,0.0010435107177534,-8.953833615673351e-05,0.0001481986942054,7.305540174806232e-05,0.0021732190616626,1.1384615708463746,0.8862263247625082,0.9404153309812558,2.131378930972902,0.7408115546301959,0.2178303690186874,1.1812234746889254,1.0690348069950897,0.6764570623875581,-0.0279862541575213,1.1405211283336905,279.6540372293302,8019462
17282,3.024775594711508,4.131509379456432,14.264634658674948,47.95230536935573,0.7409225976694108,7.459498714319191,1.0915476885055515,1.9027228229598652,0.6585141933823401,0.3972408312529134,8.2437165049712,30.535891049432827,0.0076018488824715,5.06302779366562,-0.0012956093017383,0.0114216938636334,-1.6888269211107364e-06,-3.9228198123458575e-05,-0.0005033372841632,-8.93948234803026e-05,-0.0058591535840376,-0.0052566028847735,-1.1046561701079572e-05,-3.110682163255446e-06,0.0002483961525233,0.0482292861703728,0.0019549197438624,-4.7785602590250535,0.0002018824333616,0.0010053560064674,-4.6865716906686704e-05,0.0004372729898036,0.0002476517314483,0.0019795655546439,1.1670514846217304,1.1226531472613115,0.9873589290832878,0.8290841525959738,1.1136060248796305,0.8244976070865645,0.9124295087089702,1.181864874527029,1.1625735628702236,0.0416909906172304,0.979775136225194,277.721001760801,8251281
