"RCP_Sector","X1850","X1860","X1870","X1880","X1890","X1900","X1910","X1920","X1930","X1940","X1950","X1960","X1970"
"AGR",17855.3305395017,21325.5301396546,27774.2163449442,34222.9254482838,40867.7411958684,45609.969117034,46867.4650935034,55554.732172328,59971.2213309077,62434.3785216095,74014.0781846377,92055.6220551724,101512.347390375
"Aviation",0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",2597.08979303726,2719.61535280816,3040.29597431496,3360.90559828398,3691.27565929266,4134.3651292686,4741.49961546862,5171.98369814901,5744.8371417867,6342.93212282488,6981.89362071896,8961.21941756807,10516.7930653438
"ENE",1985.71872923903,2197.45096015792,4233.59526249478,6269.76049233533,8367.51975327883,12663.6661459877,19201.6091158352,20345.5524962081,23840.192472797,30308.7903766136,37104.5792282964,59338.8193346804,90188.9498094374
"Fossil-fuel-fires",0,0.0202139281545275,0.0996261607357435,0.321405815534456,1.02463659252766,2.85242885447699,7.35751733010918,14.9627748284562,24.7321699206874,36.8871294723392,51.9619547163532,93.4149309080318,142.103159298786
"IND",14.0285327340522,18.6432288767182,38.851046049873,59.0599236311849,79.8822924944389,104.089014808372,144.759736730007,163.239525347247,190.172813698898,229.326372189212,274.640807799842,419.714204038262,574.395694209021
"International-shipping",0,0,0,0,0,0,0,0,0,0,0,4.62377390758766,8.16369325840578
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0
"TRA",0,0,0.265908359140467,0.529073369679281,0.804764450404498,1.22453967453612,1.94924874870058,2.55465098034438,3.33950621582467,8.83879437716149,35.47012648069,177.797593978655,480.483424183257
"WST",8853.77842007973,9403.53208530974,10016.0230876254,11038.2491684286,12241.8370472456,13501.6027977965,15019.3828759453,16181.34435185,17860.8666529983,19541.8450272802,21569.7002479435,25316.1953254165,29838.1539486248
