year,temperature
1905,3.90E-02
1906,6.55E-02
1907,8.36E-02
1908,9.49E-02
1909,1.11E-01
1910,1.26E-01
1911,1.36E-01
1912,1.20E-01
1913,8.19E-02
1914,7.08E-02
1915,9.25E-02
1916,1.22E-01
1917,1.49E-01
1918,1.70E-01
1919,1.89E-01
1920,2.02E-01
1921,2.13E-01
1922,2.17E-01
1923,2.14E-01
1924,2.17E-01
1925,2.27E-01
1926,2.37E-01
1927,2.47E-01
1928,2.53E-01
1929,2.46E-01
1930,2.43E-01
1931,2.53E-01
1932,2.56E-01
1933,2.57E-01
1934,2.65E-01
1935,2.73E-01
1936,2.83E-01
1937,2.94E-01
1938,3.04E-01
1939,3.13E-01
1940,3.17E-01
1941,3.19E-01
1942,3.19E-01
1943,3.17E-01
1944,3.16E-01
1945,3.21E-01
1946,3.31E-01
1947,3.41E-01
1948,3.50E-01
1949,3.57E-01
1950,3.57E-01
1951,3.53E-01
1952,3.49E-01
1953,3.45E-01
1954,3.42E-01
1955,3.41E-01
1956,3.43E-01
1957,3.48E-01
1958,3.56E-01
1959,3.63E-01
1960,3.66E-01
1961,3.60E-01
1962,3.42E-01
1963,2.76E-01
1964,1.96E-01
1965,1.61E-01
1966,1.78E-01
1967,2.04E-01
1968,2.23E-01
1969,2.50E-01
1970,2.76E-01
1971,2.90E-01
1972,3.01E-01
1973,3.21E-01
1974,3.43E-01
1975,3.43E-01
1976,3.44E-01
1977,3.65E-01
1978,3.97E-01
1979,4.30E-01
1980,4.60E-01
1981,4.86E-01
1982,4.93E-01
1983,4.61E-01
1984,4.41E-01
1985,4.61E-01
1986,4.92E-01
1987,5.24E-01
1988,5.62E-01
1989,6.08E-01
1990,6.51E-01
1991,6.50E-01
1992,5.55E-01
1993,4.74E-01
1994,4.95E-01
1995,5.59E-01
1996,6.27E-01
1997,6.79E-01
1998,7.21E-01
1999,7.72E-01
2000,8.28E-01
2001,8.76E-01
2002,9.12E-01
2003,9.35E-01
2004,9.52E-01
2005,9.65E-01
2006,9.72E-01
2007,9.80E-01
2008,9.95E-01
2009,1.01E+00
2010,1.03E+00
2011,1.05E+00
2012,1.08E+00
2013,1.11E+00
2014,1.13E+00
2015,1.16E+00
2016,1.19E+00
2017,1.22E+00
2018,1.25E+00
2019,1.28E+00
2020,1.31E+00
2021,1.35E+00
2022,1.39E+00
2023,1.43E+00
2024,1.47E+00
2025,1.50E+00
2026,1.54E+00
2027,1.57E+00
2028,1.60E+00
2029,1.64E+00
2030,1.67E+00
2031,1.71E+00
2032,1.74E+00
2033,1.78E+00
2034,1.82E+00
2035,1.86E+00
2036,1.91E+00
2037,1.95E+00
2038,1.99E+00
2039,2.03E+00
2040,2.07E+00
2041,2.11E+00
2042,2.15E+00
2043,2.19E+00
2044,2.23E+00
2045,2.28E+00
2046,2.33E+00
2047,2.38E+00
2048,2.44E+00
2049,2.49E+00
2050,2.53E+00
2051,2.58E+00
2052,2.63E+00
2053,2.67E+00
2054,2.71E+00
2055,2.76E+00
2056,2.81E+00
2057,2.86E+00
2058,2.91E+00
2059,2.96E+00
2060,3.01E+00
2061,3.06E+00
2062,3.11E+00
2063,3.15E+00
2064,3.20E+00
2065,3.25E+00
2066,3.30E+00
2067,3.35E+00
2068,3.41E+00
2069,3.46E+00
2070,3.52E+00
2071,3.57E+00
2072,3.62E+00
2073,3.67E+00
2074,3.72E+00
2075,3.77E+00
2076,3.82E+00
2077,3.87E+00
2078,3.92E+00
2079,3.97E+00
2080,4.03E+00
2081,4.09E+00
2082,4.14E+00
2083,4.19E+00
2084,4.25E+00
2085,4.30E+00
2086,4.34E+00
2087,4.39E+00
2088,4.44E+00
2089,4.49E+00
2090,4.54E+00
2091,4.59E+00
2092,4.65E+00
2093,4.70E+00
2094,4.75E+00
2095,4.80E+00
2096,4.84E+00
2097,4.88E+00
2098,4.93E+00
2099,4.97E+00
2100,5.01E+00
2101,5.06E+00
2102,5.11E+00
2103,5.15E+00
2104,5.19E+00
2105,5.23E+00
2106,5.27E+00
2107,5.31E+00
2108,5.34E+00
2109,5.38E+00
2110,5.42E+00
2111,5.46E+00
2112,5.50E+00
2113,5.54E+00
2114,5.58E+00
2115,5.62E+00
2116,5.65E+00
2117,5.68E+00
2118,5.71E+00
2119,5.74E+00
2120,5.78E+00
2121,5.81E+00
2122,5.85E+00
2123,5.89E+00
2124,5.92E+00
2125,5.95E+00
2126,5.98E+00
2127,6.01E+00
2128,6.04E+00
2129,6.06E+00
2130,6.09E+00
2131,6.13E+00
2132,6.16E+00
2133,6.19E+00
2134,6.23E+00
2135,6.26E+00
2136,6.28E+00
2137,6.30E+00
2138,6.33E+00
2139,6.35E+00
2140,6.38E+00
2141,6.40E+00
2142,6.43E+00
2143,6.46E+00
2144,6.49E+00
2145,6.51E+00
2146,6.54E+00
2147,6.56E+00
2148,6.59E+00
2149,6.61E+00
2150,6.63E+00
2151,6.65E+00
2152,6.68E+00
2153,6.70E+00
2154,6.73E+00
2155,6.76E+00
2156,6.79E+00
2157,6.81E+00
2158,6.83E+00
2159,6.85E+00
2160,6.87E+00
2161,6.89E+00
2162,6.91E+00
2163,6.93E+00
2164,6.96E+00
2165,6.98E+00
2166,7.01E+00
2167,7.03E+00
2168,7.05E+00
2169,7.06E+00
2170,7.08E+00
2171,7.09E+00
2172,7.11E+00
2173,7.13E+00
2174,7.15E+00
2175,7.17E+00
2176,7.20E+00
2177,7.22E+00
2178,7.23E+00
2179,7.25E+00
2180,7.26E+00
2181,7.28E+00
2182,7.29E+00
2183,7.30E+00
2184,7.32E+00
2185,7.33E+00
2186,7.35E+00
2187,7.37E+00
2188,7.39E+00
2189,7.41E+00
2190,7.43E+00
2191,7.44E+00
2192,7.45E+00
2193,7.47E+00
2194,7.48E+00
2195,7.49E+00
2196,7.51E+00
2197,7.52E+00
2198,7.54E+00
2199,7.56E+00
2200,7.58E+00
2201,7.59E+00
2202,7.60E+00
2203,7.61E+00
2204,7.62E+00
2205,7.63E+00
2206,7.64E+00
2207,7.65E+00
2208,7.66E+00
2209,7.68E+00
2210,7.69E+00
2211,7.71E+00
2212,7.72E+00
2213,7.73E+00
2214,7.74E+00
2215,7.75E+00
2216,7.76E+00
2217,7.77E+00
2218,7.77E+00
2219,7.78E+00
2220,7.79E+00
2221,7.81E+00
2222,7.82E+00
2223,7.84E+00
2224,7.85E+00
2225,7.86E+00
2226,7.86E+00
2227,7.87E+00
2228,7.87E+00
2229,7.88E+00
2230,7.89E+00
2231,7.90E+00
2232,7.91E+00
2233,7.92E+00
2234,7.93E+00
2235,7.94E+00
2236,7.94E+00
2237,7.95E+00
2238,7.95E+00
2239,7.95E+00
2240,7.96E+00
2241,7.97E+00
2242,7.98E+00
2243,7.99E+00
2244,8.00E+00
2245,8.00E+00
2246,8.01E+00
2247,8.01E+00
2248,8.01E+00
2249,8.01E+00
2250,8.02E+00
2251,8.02E+00
2252,8.02E+00
2253,8.03E+00
2254,8.03E+00
2255,8.04E+00
2256,8.05E+00
2257,8.05E+00
2258,8.06E+00
2259,8.06E+00
2260,8.06E+00
2261,8.06E+00
2262,8.07E+00
2263,8.07E+00
2264,8.07E+00
2265,8.08E+00
2266,8.09E+00
2267,8.10E+00
2268,8.11E+00
2269,8.12E+00
2270,8.12E+00
2271,8.12E+00
2272,8.12E+00
2273,8.13E+00
2274,8.13E+00
2275,8.14E+00
2276,8.14E+00
2277,8.15E+00
2278,8.16E+00
2279,8.16E+00
2280,8.17E+00
2281,8.17E+00
2282,8.17E+00
2283,8.18E+00
2284,8.18E+00
2285,8.19E+00
2286,8.20E+00
2287,8.21E+00
2288,8.22E+00
2289,8.22E+00
2290,8.23E+00
2291,8.23E+00
2292,8.23E+00
2293,8.23E+00
2294,8.24E+00
2295,8.24E+00
2296,8.25E+00
2297,8.26E+00
2298,8.27E+00
2299,8.28E+00
2300,8.28E+00
2301,8.29E+00
2302,8.29E+00
2303,8.30E+00
2304,8.30E+00
2305,8.31E+00
2306,8.31E+00
2307,8.32E+00
2308,8.33E+00
2309,8.33E+00
2310,8.34E+00
2311,8.34E+00
2312,8.35E+00
2313,8.35E+00
2314,8.36E+00
2315,8.36E+00
2316,8.37E+00
2317,8.37E+00
2318,8.38E+00
2319,8.38E+00
2320,8.39E+00
2321,8.39E+00
2322,8.40E+00
2323,8.40E+00
2324,8.41E+00
2325,8.41E+00
2326,8.42E+00
2327,8.42E+00
2328,8.43E+00
2329,8.43E+00
2330,8.44E+00
2331,8.44E+00
2332,8.44E+00
2333,8.45E+00
2334,8.45E+00
2335,8.46E+00
2336,8.46E+00
2337,8.47E+00
2338,8.47E+00
2339,8.48E+00
2340,8.48E+00
2341,8.49E+00
2342,8.49E+00
2343,8.50E+00
2344,8.50E+00
2345,8.50E+00
2346,8.51E+00
2347,8.51E+00
2348,8.52E+00
2349,8.52E+00
2350,8.53E+00
2351,8.53E+00
2352,8.54E+00
2353,8.54E+00
2354,8.54E+00
2355,8.55E+00
2356,8.55E+00
2357,8.56E+00
2358,8.56E+00
2359,8.57E+00
2360,8.57E+00
2361,8.57E+00
2362,8.58E+00
2363,8.58E+00
2364,8.59E+00
2365,8.59E+00
2366,8.60E+00
2367,8.60E+00
2368,8.60E+00
2369,8.61E+00
2370,8.61E+00
2371,8.62E+00
2372,8.62E+00
2373,8.62E+00
2374,8.63E+00
2375,8.63E+00
2376,8.64E+00
2377,8.64E+00
2378,8.64E+00
2379,8.65E+00
2380,8.65E+00
2381,8.66E+00
2382,8.66E+00
2383,8.66E+00
2384,8.67E+00
2385,8.67E+00
2386,8.68E+00
2387,8.68E+00
2388,8.68E+00
2389,8.69E+00
2390,8.69E+00
2391,8.69E+00
2392,8.70E+00
2393,8.70E+00
2394,8.71E+00
2395,8.71E+00
2396,8.71E+00
2397,8.72E+00
2398,8.72E+00
2399,8.72E+00
2400,8.73E+00
2401,8.73E+00
2402,8.73E+00
2403,8.74E+00
2404,8.74E+00
2405,8.75E+00
2406,8.75E+00
2407,8.75E+00
2408,8.76E+00
2409,8.76E+00
2410,8.76E+00
2411,8.77E+00
2412,8.77E+00
2413,8.77E+00
2414,8.78E+00
2415,8.78E+00
2416,8.78E+00
2417,8.79E+00
2418,8.79E+00
2419,8.79E+00
2420,8.80E+00
2421,8.80E+00
2422,8.80E+00
2423,8.81E+00
2424,8.81E+00
2425,8.81E+00
2426,8.82E+00
2427,8.82E+00
2428,8.82E+00
2429,8.83E+00
2430,8.83E+00
2431,8.83E+00
2432,8.84E+00
2433,8.84E+00
2434,8.84E+00
2435,8.84E+00
2436,8.85E+00
2437,8.85E+00
2438,8.85E+00
2439,8.86E+00
2440,8.86E+00
2441,8.86E+00
2442,8.87E+00
2443,8.87E+00
2444,8.87E+00
2445,8.88E+00
2446,8.88E+00
2447,8.88E+00
2448,8.88E+00
2449,8.89E+00
2450,8.89E+00
2451,8.89E+00
2452,8.90E+00
2453,8.90E+00
2454,8.90E+00
2455,8.90E+00
2456,8.91E+00
2457,8.91E+00
2458,8.91E+00
2459,8.92E+00
2460,8.92E+00
2461,8.92E+00
2462,8.92E+00
2463,8.93E+00
2464,8.93E+00
2465,8.93E+00
2466,8.94E+00
2467,8.94E+00
2468,8.94E+00
2469,8.94E+00
2470,8.95E+00
2471,8.95E+00
2472,8.95E+00
2473,8.95E+00
2474,8.96E+00
2475,8.96E+00
2476,8.96E+00
2477,8.97E+00
2478,8.97E+00
2479,8.97E+00
2480,8.97E+00
2481,8.98E+00
2482,8.98E+00
2483,8.98E+00
2484,8.98E+00
2485,8.99E+00
2486,8.99E+00
2487,8.99E+00
2488,8.99E+00
2489,9.00E+00
2490,9.00E+00
2491,9.00E+00
2492,9.00E+00
2493,9.01E+00
2494,9.01E+00
2495,9.01E+00
2496,9.01E+00
2497,9.02E+00
2498,9.02E+00
2499,9.02E+00
2500,9.02E+00
