year,temperature
2118,3.14E+00
2119,3.14E+00
2120,3.15E+00
2121,3.16E+00
2122,3.17E+00
2123,3.18E+00
2124,3.19E+00
2125,3.20E+00
2126,3.20E+00
2127,3.20E+00
2128,3.21E+00
2129,3.21E+00
2130,3.22E+00
2131,3.22E+00
2132,3.24E+00
2133,3.25E+00
2134,3.26E+00
2135,3.26E+00
2136,3.27E+00
2137,3.27E+00
2138,3.27E+00
2139,3.27E+00
2140,3.28E+00
2141,3.28E+00
2142,3.29E+00
2143,3.30E+00
2144,3.31E+00
2145,3.31E+00
2146,3.32E+00
2147,3.32E+00
2148,3.33E+00
2149,3.33E+00
2150,3.34E+00
2151,3.34E+00
2152,3.35E+00
2153,3.35E+00
2154,3.36E+00
2155,3.37E+00
2156,3.38E+00
2157,3.39E+00
2158,3.40E+00
2159,3.40E+00
2160,3.40E+00
2161,3.40E+00
2162,3.41E+00
2163,3.41E+00
2164,3.42E+00
2165,3.43E+00
2166,3.44E+00
2167,3.45E+00
2168,3.45E+00
2169,3.45E+00
2170,3.45E+00
2171,3.45E+00
2172,3.45E+00
2173,3.46E+00
2174,3.47E+00
2175,3.47E+00
2176,3.48E+00
2177,3.49E+00
2178,3.49E+00
2179,3.49E+00
2180,3.50E+00
2181,3.50E+00
2182,3.50E+00
2183,3.50E+00
2184,3.50E+00
2185,3.50E+00
2186,3.51E+00
2187,3.51E+00
2188,3.52E+00
2189,3.53E+00
2190,3.53E+00
2191,3.54E+00
2192,3.54E+00
2193,3.54E+00
2194,3.54E+00
2195,3.54E+00
2196,3.54E+00
2197,3.55E+00
2198,3.56E+00
2199,3.57E+00
2200,3.57E+00
2201,3.58E+00
2202,3.58E+00
2203,3.58E+00
2204,3.58E+00
2205,3.58E+00
2206,3.58E+00
2207,3.58E+00
2208,3.58E+00
2209,3.58E+00
2210,3.59E+00
2211,3.59E+00
2212,3.60E+00
2213,3.60E+00
2214,3.60E+00
2215,3.60E+00
2216,3.60E+00
2217,3.60E+00
2218,3.60E+00
2219,3.60E+00
2220,3.61E+00
2221,3.61E+00
2222,3.62E+00
2223,3.62E+00
2224,3.63E+00
2225,3.63E+00
2226,3.63E+00
2227,3.63E+00
2228,3.62E+00
2229,3.62E+00
2230,3.63E+00
2231,3.63E+00
2232,3.63E+00
2233,3.64E+00
2234,3.64E+00
2235,3.64E+00
2236,3.64E+00
2237,3.64E+00
2238,3.64E+00
2239,3.64E+00
2240,3.64E+00
2241,3.64E+00
2242,3.64E+00
2243,3.65E+00
2244,3.65E+00
2245,3.65E+00
2246,3.65E+00
2247,3.65E+00
2248,3.65E+00
2249,3.65E+00
2250,3.64E+00
2251,3.64E+00
2252,3.64E+00
2253,3.64E+00
2254,3.64E+00
2255,3.64E+00
2256,3.65E+00
