,tas,rlut,rsut,rsdt
0,0.8235073150514722,-2.4939699283327172,2.160507269835321,0.06446028495508926
1,0.8317608483777121,-2.5817747712565335,1.7591717173844899,0.02355443846823846
2,0.9559414668808017,-2.493507290376158,1.1923314023038643,-0.027166113859834695
3,1.0947353694382969,-2.3775564101749183,1.0957142820971626,-0.03482778137652076
4,1.2036885229478003,-1.9166633954791905,0.7933824712233246,-0.036085883072473735
5,1.2877399493166308,-1.9868561175133834,0.8978176142724408,0.0056861364319047425
6,1.3089289862638225,-1.8412383822131346,0.897013530152563,0.045494271847871914
7,1.2216442589189,-1.9388185521957269,1.8065938774940662,0.12340624720053484
8,1.237447709404421,-2.034537237631355,0.9223373082829767,0.16718428795951468
9,1.2460989269791298,-2.2520655254606368,1.2967369018031292,0.21651823822440974
10,1.2356173420113237,-2.4198940842206866,0.9811108543791534,0.14188305625089015
11,1.3890493534574375,-1.5687482192681728,0.9082044306146031,0.09313892261877754
12,1.1947758653416827,-2.3245443227023372,1.4055507717021243,0.04266534723586801
13,1.322368948468693,-2.0975203333065338,0.6574102554332057,0.05488645016902183
14,1.4473177594140338,-1.6860090305129063,1.359175821180699,-0.010050359797787678
15,1.3106205065292897,-2.401715589161654,0.7177461056496668,-0.028013859052862244
16,1.4860169758449615,,,
17,1.5932784328470575,,,
18,1.4382584353886045,,,
19,1.4870714902014583,,,
20,1.5918002081454574,,,
21,1.7627918511564644,,,
22,1.5858788724588635,,,
23,1.7244139149038915,,,
24,1.751945606371919,,,
25,1.5566449946118723,,,
26,1.5405251852435526,,,
27,1.6943090180250238,,,
28,1.8036328832700406,,,
29,1.7566471181440306,,,
30,1.9691789780019349,,,
31,1.9365092351265503,,,
32,1.962132114255553,,,
33,1.9378978211226467,,,
34,2.003495189153284,,,
35,1.9858973506889583,,,
36,1.9529869476025397,,,
37,2.098757003522394,,,
38,1.9928738138776794,,,
39,2.214661950032962,,,
40,2.179619478336406,,,
41,2.0245401698093133,,,
42,2.130034747461366,,,
43,2.294479130994773,,,
44,2.145607729100959,,,
45,2.2083436179258342,,,
46,2.1987129007445674,,,
47,2.218695616190587,,,
48,2.2477427919804427,,,
49,2.2470326311419626,,,
50,2.0984409054893263,,,
51,2.1826318732170193,,,
52,2.3057562846031487,,,
53,2.1911967296148873,,,
54,2.3364659246582846,,,
55,2.3634257393210873,,,
56,2.3901208126567894,,,
57,2.4552851020712296,,,
58,2.428140644893176,,,
59,2.38481193695452,,,
60,2.3612935352923046,,,
61,2.471190098249906,,,
62,2.4545842030507288,,,
63,2.451234418908996,,,
64,2.464463880247706,,,
65,2.46264634577841,,,
66,2.509971072142889,,,
67,2.432438396131829,,,
68,2.413162305948049,,,
69,2.330260228154657,,,
70,2.4628142401970194,,,
71,2.4834458952097407,,,
72,2.480013314100347,,,
73,2.4007795248545563,,,
74,2.6727982498412075,,,
75,2.696658884309329,,,
76,2.4626260283735064,,,
77,2.504591570217599,,,
78,2.7207686993839957,,,
79,2.6519217041330876,,,
80,2.6371719739288437,,,
81,2.645804077369121,,,
82,2.6685700742556264,,,
83,2.6804417546589434,,,
84,2.4048673947215775,,,
85,2.5126670878148047,,,
