"em","fuel","units","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022"
"CO","biomass","ktCO",67351.6398400515,67534.5940240421,67717.1606177423,67899.3396211519,68081.1310342712,68262.5348570999,68443.5510896383,68624.1797318863,68804.4207838439,68984.2742455109,69163.7401168875,69324.8157889344,69485.5047427924,69645.8069784615,69805.7224959419,69965.2512952334,70124.3933763359,70283.1487392496,70441.5173839744,70599.4993105103,70757.0945188573,71378.2611127952,71998.7815203443,72618.6557415045,73237.8837762759,73856.4656246584,74474.4012866523,75091.6907622572,75708.3340514734,76324.3311543007,76939.682070739,77219.5297644044,77498.8398082523,77777.6122022827,78055.8469464958,78333.5440408914,78610.7034854695,78887.3252802303,79163.4094251735,79438.9559202992,79713.9647656078,79806.6627223421,79898.772116674,79990.2929486032,80081.22521813,80171.5689252542,80261.3240699759,80350.490652295,80439.0686722115,80527.0581297256,80614.4590248371,81206.496909215,81797.4082177695,82387.1929505007,82975.8511074086,83563.3826884933,84149.7876937546,84735.0661231926,85319.2179768072,85902.2432545986,86484.1419565666,86873.8663178751,87262.751395857,87650.7971905124,88038.0037018411,88424.3709298431,88809.8988745185,89194.5875358674,89578.4369138894,89961.4470085849,90343.6178199538,91088.4711790627,91830.9170308235,92570.955375236,93308.5862123002,94043.8095420163,94776.6253643841,95507.0336794036,96235.034487075,96960.6277873981,97683.813580373,98435.249711775,99183.5445544517,99928.6981084032,100670.710373629,101409.58135013,102145.311037906,102877.899436957,103607.346547282,104333.652368882,105056.816901756,105800.528509656,106537.882616461,107268.879222171,107993.518326786,108711.799930306,109423.724032731,110129.290634061,110828.499734296,111521.351333437,112278.168325574,112795.244711833,113427.429317482,114094.141662129,114773.863010275,115458.725417545,116145.90469361,116845.438509143,117572.972868873,118274.443340877,118990.526250004,119437.783567626,119983.397282343,120563.034743307,121089.350893379,121645.772530671,122493.688735451,122762.985235565,123211.154594794,123866.077684937,125120.964313124,126159.662791791,126558.368335274,127023.95861626,127496.210270954,127949.188235849,128327.174862173,128713.572832114,129069.351252726,129467.159044019,129795.013422503,130024.232133896,130259.643419591,130510.119846709,130779.065981726,131061.96312525,131266.18606103,131442.266410849,131622.991425307,131809.451709316,132016.019209428,132039.031948401,132048.12034483,132022.809253975,132077.837289835,132130.336477778,132113.52591282,132149.489483145,132285.721098195,132437.420283263,132645.345830269,132897.988772718,133166.815662757,133418.191977915,133684.518713253,133911.616861352,134417.355358608,134931.887245054,135512.81293235,136078.588409878,136603.268752084,136995.479881291,137275.298135064,137544.306136278,137779.551289388,137338.493638701,136607.393406179,135937.655726051,135331.510042106,134680.229083809,134384.541673693,134171.406158433,134236.75254966,134782.300879142,135330.18795226,135813.580382736,136317.997897881,136843.708290019,137315.483456412,137759.036314091,138213.472268814,138821.556513011,139350.068523412,139877.213323598,140333.859746158,140813.053699247,141365.218147841,142068.476026704,142770.786500806,143556.315817313,143966.993517052,143460.256392293,143157.028045473,142860.462440413,142594.375965889,142536.659560088,142725.325500265,137181.99373527,137265.528088329,137371.916303663,136528.857415831,136588.258431469,136611.742995614,136621.954382344,136941.385046118,137226.506544264,137417.755590244,137773.586799882,138362.478350399,138559.805726224,137818.275035327,136825.45420741,136876.119742355,137928.855120847,138415.847823388,139147.841140023,140816.01943312,142317.353529232,144635.161957845,146958.675154704,149588.428965907,151678.3208302,154592.932484557,157551.358967249,160314.009404141,164444.601381608,167227.263122466,170002.435511068,172881.033664085,176248.827103232,179430.063672176,181647.110860367,184730.844507679,186262.179737338,189071.136175429,192133.811803995,193861.263532841,196476.459362721,199065.016604042,202250.431598935,206646.46226362,209425.108089281,210656.464684955,210510.393851586,211262.927997522,212222.729249036,211974.846175906,212488.026636993,212068.40599132,213439.089643308,211893.91299994,206880.678885691,205003.598024065,202687.269980134,199628.386864907,196818.018405933,196372.579595355,191649.741697369,187623.53017298,187883.314861274,188855.135282108,187786.762015993,186233.571689233,183875.626540376,181218.025567949,177815.056862271,173133.302548478,171057.500661554,168408.626377287,166075.86361563,162336.260157199,160928.625741246,159439.23419612
"CO","brown_coal","ktCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000784532950099753,0.000784532950099753,0.000784532950099753,0.000784532950099753,0.000784532950099753,0.000784532950099753,0.000784532950099753,0.841041774319115,0.860735303413701,0.795090206431749,0.801654716129943,0.959202948886634,0.985460987679417,1.03141255556678,1.12331569134152,0.597114193455343,1.08555252030283,1.61401012231847,2.00518717419529,1.87929564149085,2.22421838295915,2.8315047766723,4.79489063537145,3.45101813495103,3.52233128816809,3.66475664559857,3.81878769069971,3.94368754738227,4.0649411019569,4.19021199280601,4.18344048572523,2.20419002685986,1.78108003502486,1.85919485132877,5.11409480375165,6.34170114386853,6.81992222624379,6.94056236456832,7.16534993391724,8.39830279722053,8.22739700197501,8.70502405810366,9.49170075686092,9.11570571952386,9.84797641099789,10.4412290145282,9.87014439767269,10.9233149997402,9.78657690148751,12.2269163244289,12.8468162629086,14.1774984019918,15.0217283317895,17.547822294483,21.4156937976055,22.87183445113,25.9255454808097,28.2127447631708,26.4261036800094,32.2642659581601,35.332563807754,40.7120637876304,41.2230706450927,45.7147756465935,45.1574109384646,71.8791485875332,49.1686753942479,58.1073127163446,66.3374346622761,66.9474561746566,77.3559401025491,85.3257945797131,96.7333936569131,135.484962840447,119.26990899366,127.157444223939,139.313245543427,147.818175239738,149.386229803906,147.186281306468,162.867417354565,153.313820423563,185.421058099105,208.02339295184,228.403917876108,247.973119602177,311.257410577227,322.939501218366,343.937357721777,347.989476375226,329.186380476928,407.048406663859,403.600097971313,423.49427008333,463.4742815585,734.215607653763,546.567592399734,541.165888000359,592.956207624061,593.812809995869,620.587475927712,625.80516930525,656.919646555265,683.946948520546,732.686293720198,777.988878398352,836.188251017478,845.987852591428,925.54835085885,961.575175391547,1034.41116466469,1092.59486237619,1187.38323858023,1273.5751784823,1356.5969240342,1488.02702660893,1541.20985583039,1500.59222054765,1552.1863745179,1645.53083791511,1705.91568638882,1940.03503103047,2174.69472034545,2496.51850144363,2292.69357200789,2553.51096316639,2465.59801941702,2669.7061202955,3009.89928251142,2588.88542137343,2315.31120835926,2014.77621800826,1882.80778942078,1669.03974144685,1369.11073641439,1729.09486150491,2042.85957562663,2172.27029552707,2013.8665093124,2658.7001358843,2618.02474090771,2891.87957919731,3094.27575972558,3249.60382652329,3705.32353480847,3231.61212653484,3129.26900498844,2832.00986326322,3019.38540996174,3277.12465166066,3496.5158024787,3701.23836889053,3980.85487263422,3982.04391988163,4175.36833997283,4673.89807016488,4485.82820006727,4276.88412020382,4563.98114338966,4155.10252644406,2548.62551108905,3404.27974183006,4484.51716521575,5542.01211454778,6722.93485026506,7669.6514872276,8130.91880326745,8007.38578540131,7995.47888577619,7890.61082862731,8094.9419178934,8068.03466035325,8090.25749039711,7899.73586639615,7968.23792945403,7938.91194939826,7802.62084644255,7651.81763233256,7678.39328112572,7351.82357086133,6901.18215915429,6651.85453883176,6323.50344261847,6275.64359300495,6239.47776155609,6418.91250538716,6671.77256509366,6631.38540861433,6376.51011978766,6137.65841395082,8982.49397271084,8993.99357665158,9673.45331242399,7540.09318717228,7540.53495997144,5430.28338585014,5356.3225348651,5549.53513314514,5709.85411161087,5901.05946420509,6171.88903719513,6207.50133993941,6820.45548493047,6669.70492847603,6353.37434443653,5252.63766632625,4872.8913413808,4745.48579821928,4732.31439585249,4079.88198426995,3752.74448214038,3736.21071521536,3554.33986956783,3172.2795808609,2795.9924558071,2681.97991422491,2485.76465990521,2671.17615140108,2407.66683972347,2779.19223144526,2667.52531265249,2163.28036093641,2336.35659904835,2055.15822100166,2110.82718432165,2131.10375403104,2235.20798020244,2133.75434040509,1869.006508712,1748.05181677717,1513.98169660566,1586.69963806415,1650.48557584287,1723.01772628243,1977.44725199991,1941.84612552584,2031.04454826883,1912.76419939803
"CO","coal_coke","ktCO",0.509658150900285,0.509658150900285,0.509857860207064,0.509857860207065,0.510057569513844,0.51025727882062,0.545406116813744,0.545605826120525,0.545805535427303,0.546005244734082,0.546005244734082,0.598129373803429,0.59832908311021,0.598528792416987,0.598728501723767,0.598928211030547,0.668227340482897,0.668427049789677,0.668626759096454,0.668826468403233,0.669026177710014,0.741920074684388,0.742119783991167,0.742319493297944,0.742519202604725,0.742718911911504,0.81960699502146,0.819806704328238,0.820006413635018,0.820206122941799,0.820605541555358,0.918063683263562,0.918263392570339,0.9186628111839,0.918862520490678,0.919400812478934,1.04381971060232,1.04421912921588,1.04441883852265,1.04481825713621,1.04521767574977,1.16743977149858,1.21563090933545,1.21715044636832,1.21361642761077,1.21438921903076,1.2762731326816,1.33927709039528,1.39501337564355,1.47013885230629,1.58942938224307,1.59351712618682,2.47426607970698,1.78246187500509,2.03983237073992,1.93555542150613,2.00854993472223,2.13726570722012,2.00413496022991,2.00620440654993,2.20046561033809,2.31856668370027,2.39306009749235,2.39537529689681,2.45379845592901,2.54665141558967,2.92916532274869,3.03706444688623,3.0612775147638,3.14359717245945,3.21850596087277,3.28048551001585,3.41372683324664,3.59281514964829,3.74736808487731,3.87800292067243,3.94380733360171,4.24609050504018,4.30033315435938,4.30586623415662,5.85975859956359,5.49248492049029,5.59575190350898,5.79028237572675,5.9477814138909,6.12668140950645,7.10212790711891,7.24334740118426,7.55996494231615,7.90739358444859,8.47125083789412,8.81405762942422,9.31145918384843,9.52892122594965,10.2016856106016,11.1975814477814,11.7031268309921,12.7155385854397,12.7438574383239,13.3213379556248,14.2076755952179,14.7448382285264,15.7794760796526,16.8597237734005,19.5532060848115,20.3349874119212,21.5577495972736,21.921910290797,22.6919530654985,23.6086459452322,25.4891066875955,27.0723760811153,28.0925919134536,29.8143237402219,32.1034389546554,34.2457442628011,34.7753195620727,37.5778764145575,39.3825711381005,41.746701401979,42.716955005942,46.1213761045157,51.4888937768543,54.5969120936641,51.6770562111568,54.97786015034,55.8536559875949,56.2457856099632,56.9725320380065,61.3969617251111,71.0901944611449,71.0438103097286,75.5551555646615,80.7014200812226,81.7613804951847,82.6553631410669,83.1950648101578,87.5581342558351,96.6157097909821,97.5803777040351,105.468698926592,110.845924665366,111.231532846366,111.106063455684,115.432728613482,121.607566142868,126.015155266251,132.308668843452,139.69091417919,151.896915908385,160.773221737956,169.721399918248,177.130459142357,197.8272630965,205.271424537266,222.121084457521,245.577473774085,281.516978602003,293.018673108499,298.754831049699,327.093199155606,334.368285217315,359.626870688325,395.85634336782,345.929200464324,325.912898523261,325.71397887635,323.894623079308,320.46540186832,283.002047254844,345.582942528882,327.760479795729,354.492367278792,358.21778173293,399.98044054464,405.426476800318,415.170311966064,458.909846905934,458.457953637323,507.944165901916,472.948764547818,434.019422959162,387.247365285272,404.952563373104,438.430775341065,457.208059741053,469.781771025432,534.097420746351,504.108129553544,526.475861369447,551.123031750098,705.992397150098,748.501395354588,767.496519553062,698.183833719006,537.487093615776,814.10102148826,1007.79315721434,1132.08705073496,1222.15127743472,1506.6184042133,1602.6162747169,1755.44554269473,1782.39190331084,1825.47983503371,1877.37168481603,1986.43861560416,2159.12124265982,2093.71507543695,2126.92196338206,2594.03724315058,2366.24894855181,2659.34721185966,3187.37124037751,2866.09822512659,2855.94011842979,2719.91273065666,2774.55606217013,2661.15383744063,2916.29039366345,3024.73273953232,2998.07831850271,2630.39380043659,2639.03026459153,2697.88151957781,2406.04000587534,2350.66129226084,2340.37397772963,2474.63990626674,2615.108835097,3074.61659709057,2951.99252554642,2835.78704425639,2761.71905199764,2889.37117769091,3026.48230904869,3049.14800648704,3004.77280135786,2957.11428987352,2962.10857433651,2827.36406986816,2511.83172999064,2824.07840294488,3043.27563916633,2853.05433492532,3037.25860287995,3311.30932953743,3133.44058506068,3082.72347565691,2867.81476462573,3019.15082324789,2661.9202336351,2410.62107876396,2361.99767219294,2389.63784950832,2872.64832714678,2642.77877877731,2670.55490797008,2772.91358531444,2762.97402392797,3390.2614633194,3770.98234403272,4666.24620999165,4279.49133368566,4302.33361692201,3559.56835374429,3391.28462991756,3071.40033009193,2690.77366024171,2810.39340503861,2229.49302838097,2271.640877047,2196.63717420563
"CO","diesel_oil","ktCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0990164631585036,0.108795372709691,0.12297067129682,0.136198940795295,0.131637432722383,0.447286558374951,1.4974821037844,2.18279082843419,1.97623648046359,1.70159599671214,2.07751571016099,3.06550639479711,3.11622834450068,3.54800206244095,4.11934660616456,5.12256333914736,5.46517449907242,6.23973526873115,9.60399389358843,10.2162710695489,9.38935498052527,10.0971375326139,13.8659660794927,16.4140834771087,21.3655344088877,26.6066953593276,28.5763886496197,32.8143977567469,27.1065442811166,29.1787033638305,28.0099703354401,34.8520231605471,35.7948765882191,37.3856797302581,46.404714925321,57.5259052696671,67.2530479745351,65.3796852064556,67.3753368350336,66.8505215891382,73.7836329788668,83.836392109417,87.0772718036151,84.892876159177,87.5779561409672,98.0974626399626,110.87621107107,129.295178035409,145.829902770722,170.575652078863,187.629008547967,183.210974099021,232.886320336523,253.671999309547,265.371754037303,287.770967041318,306.24041235231,312.309861325051,368.471359492448,388.599097102995,412.643355432521,457.090901240373,503.111894321743,539.482400269835,603.235685607678,757.769094963345,812.309110002529,936.843271309777,1111.6225002587,1109.43870382478,1205.48630118114,1210.36212007454,1372.91513349204,1405.64914901762,1556.99400195972,1416.34072342678,1338.9077233896,1255.92164332278,1399.66637463529,1438.73570915729,1564.71788886055,1726.78557925734,1959.02657511559,1879.01967822708,1980.35523717009,2117.64427437565,2142.15844944063,1979.58399763324,2078.53892383442,2273.08496333072,2258.52511773717,2307.75363379035,2459.19264766047,2720.86787552927,2532.34874458224,2932.56684584889,3117.8414348447,3157.55464950692,3236.91374941486,3294.39985739486,3499.99816266553,3461.47071940304,3353.80597153154,3351.05436160705,3499.49234584105,3645.43342815739,3879.38367098471,4325.72149920881,4841.63968154879,5211.43077489361,5566.4767739517,5957.20048466354,6182.44903851017,7322.24305674671,7938.97322565827,8666.01908288319,9204.73102941496,10009.613948138,10894.6988991802,10735.3953081469,10744.0900702754,11506.6279607203,12252.2140431282,13424.6389953876,14383.333557183,14131.4745320618,13966.3223802933,13650.1012241215,14253.1394784533,14757.8554789759,14947.4522595192,15200.2413271094,15519.1029422648,16292.5299504375,16461.6381182606,16432.3538064781,15879.5766833866,15749.7922990106,16029.9058871395,15758.2406663141,16318.4826182699,16986.9889854735,17409.8485158555,18206.8557762487,18672.8077177731,22054.2575068648,21963.1282720219,21515.4502193162,22274.4364137861,23920.9390478161,24917.1032349395,24946.684391074,25294.9111836377,25529.465945622,24771.3341491068,25318.7044292812,25541.5394216868,25859.5469421688,25363.4376457461,24203.2505977852,23997.9063904258,22396.1948522586,22308.7659837322,22322.7232155005,20922.8671238883,19634.1851108232,19922.3615521143,19519.3102177665
"CO","hard_coal","ktCO",294.587579614235,294.518590048636,294.56498042053,294.495963821401,294.542273092708,294.588528296956,314.807295025295,314.848711227883,314.890073363412,314.931381431882,314.857471764033,344.834224022704,344.868368206032,344.902458322304,344.936494371517,344.970476353672,384.794912227767,384.819432474829,384.843898654834,384.86831076778,384.892668813668,426.728306154621,426.742715861895,426.757071502113,426.771373075273,426.785620581376,470.856569016076,470.860327512989,470.864031942844,470.86768230564,470.985901600065,526.79765182667,526.78794762622,526.892731256812,526.882891888717,526.993210150606,598.177851667821,598.265441974069,598.238517415748,598.325918487296,598.413211424726,668.239030447881,678.467113116299,678.762196378349,677.913361380029,678.050263823064,710.034665699516,745.332001773683,776.054351242831,816.896519659708,851.769701392017,853.357424313045,958.957714229464,960.68632580376,1054.26543597202,1015.56553831562,1066.49581416665,1088.0039377162,1065.40734106853,1066.12521548851,1141.67723969224,1209.13614706517,1255.979942524,1262.776601997,1287.55206120511,1325.89298680006,1455.40449693857,1488.5422392029,1487.51593378809,1505.25669307203,1526.71132032555,1545.51674175102,1606.31757901646,1685.56383874034,1763.40053905566,1806.13142771545,1830.91940539501,1963.00143492996,1988.05198773677,2000.35192591383,2498.05993891192,2407.42826938948,2424.19332947476,2475.44292247878,2534.00830917291,2557.07475526203,2979.2558242475,2954.55838787733,3057.84459463514,3138.65746964339,3290.6571986448,3408.1458451895,3574.91600786521,3703.83106601037,3902.22380987851,4245.9567266726,4175.44829394178,4536.80790208169,4583.68315020748,4843.01818145321,5168.340815047,5066.18651993074,5150.33802925756,5284.01705966439,6156.41045425457,6048.66335902953,6408.097753998,6360.30919244019,6302.79315288252,6743.86771672949,7323.31527021244,7586.36851642736,7561.32382622083,8051.1429352365,8602.57081231013,8998.11834480871,9085.33343714499,9551.97366284843,9653.8536100533,10070.8298001324,9969.3092034373,10492.8223364927,11703.3079946384,12341.4975233999,11732.3937869043,12268.2614204124,12245.8944154426,12531.2272741729,12512.223399581,13463.2178905515,14972.7895736344,15633.6020304747,16659.8606763549,17815.1571566299,18033.9989034848,18087.9156096055,18291.0618928094,19127.8371264155,21419.8401648937,21058.0294619275,23314.4735483362,24554.6172451613,25173.9971144749,24945.5921434684,25588.7232336849,27490.8403883775,27670.5149892778,28379.009234988,29526.64458448,32009.6106042062,33050.7970196485,33975.1407988036,34717.6487567822,38079.3427624669,37634.4230899673,39873.61777363,41759.954390343,46017.5913282512,42659.655792512,44161.025952103,45776.7141265979,46776.3364092544,49376.6650736566,52608.4730831284,46807.4431830923,46839.2195586561,50677.2410392036,52834.0241470116,51884.7047443645,42883.5098819935,48684.6123910093,41052.3093586685,42659.7066933339,52018.5311216128,51423.805666566,51150.3352443086,49182.9321694667,51232.597095882,48222.3463811527,49740.0203906684,44085.6458464779,38978.6033309474,34733.8607975507,35715.5972549006,38240.5435554945,39246.3254853758,41490.1410969495,42831.3605325986,38805.0501291696,40261.3643019965,42254.2840491122,44490.1751919225,46429.1519557821,46710.4805509281,44386.9650773836,34878.7588005257,35802.4711724301,36306.7439814095,35214.3638155297,37637.266866621,37126.5360642335,37698.2822823667,37038.805202937,35672.6979392992,35779.0771795955,36737.7673378474,38295.85606038,37838.1429493958,41956.5019820124,44292.0987876687,46619.7311142327,41747.8795524269,40941.0991274084,41709.2900542707,40124.7196881494,40241.560869109,39185.6115051034,35518.2476790757,35729.4749200838,38182.4950052225,42275.128687938,42138.7591562487,41779.8143604744,41644.6916108406,41587.7525996522,44642.8080647838,45351.7856361695,48983.560447653,53081.083615785,54514.5869235751,55759.8976825367,56497.3748651144,59250.807200182,60814.1062883846,64614.7224354978,71362.5075878632,73020.1524381827,75857.7315696603,78540.4525536607,76722.4608236044,74214.1378872406,77188.3183589005,75608.7112124499,78658.7412366117,77758.3762901646,78143.1363434763,69717.866391602,75333.443695823,69808.748199706,68738.7022508433,67614.8082396025,69092.007442235,67554.4910188044,75868.7325872244,81368.8899219747,83254.0576310407,83234.8732466281,79382.9267309122,75547.7631855083,77257.8877211051,77901.1484563242,77771.6998118684,79067.1847708167,77449.1577577231,73802.9106340546,69757.1370042687,65496.6107922699,64512.7509590282,57688.5510276875,51700.6776809628,51562.5204093425,50062.8562901448,49615.4294983322
"CO","heavy_oil","ktCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0615895286588192,0.0677318744874693,0.0843542363173196,0.0959363680033007,0.0854695393783846,0.254984821670838,0.817310601295355,1.22033469257254,1.1182094577485,0.949147846588247,1.23185207641823,1.80807483885715,1.93703265391886,2.41016357639765,2.58218264126843,3.11093881168352,3.29907498903165,3.55820294519267,4.90345428271493,5.4791180750442,5.06263662592607,4.7071983610217,5.20616038277291,4.62706766416132,4.48270331689969,3.3168337239714,3.96185447759262,4.36467636111399,4.34639210220157,4.82578839759505,5.39095547934843,5.70547009331714,6.11834256372434,6.63783965690277,7.18169470468861,8.05368386506,8.98020144054001,9.02087739238923,10.3595753910283,9.88600046297607,11.3818182365239,11.8139051114443,12.9536340001411,14.2480662805334,14.5488341285835,16.4341763598062,21.6422434365548,25.3333164072332,29.0343707313856,36.7833938236617,39.5151043082291,42.1701452828235,50.5955012128066,55.2261483872577,58.2971840937086,60.0756591545574,63.3607036279161,64.2281235777874,72.8165287080944,77.6805978144984,84.4763449142339,93.2622151271652,101.246759448436,104.831951509834,113.590400670551,129.29866875593,135.525345558068,153.296501650788,172.847000587428,177.980869794739,197.815263953601,199.104186162369,216.174810390808,225.830555932963,248.219400004661,246.738528952068,236.091476628506,220.643665352217,227.361278047215,238.549836085603,253.004045962623,262.991136284151,289.993605970215,282.680670974818,292.155156807784,282.660324190341,280.86001687623,277.860725645082,284.780009649083,312.099539569412,295.671089786583,311.983934437461,354.435138304768,395.996686340803,425.163796481,518.826431296551,569.086117782113,615.600022217591,668.453981947167,737.477731198999,848.812657145991,935.050448663213,1028.74386882082,1076.32149844127,1140.1927283623,1251.87059743314,1357.8408049229,1506.05468587098,1671.9784443054,1848.9633606551,1986.852247029,2102.72914687636,2280.12330549042,2482.69623147561,2624.53217540597,3083.46640176906,3165.16745062881,3293.53754516244,4157.00070545562,4208.41402253308,3884.02737512473,4148.82817803982,4192.28100261056,4185.48808000664,4149.33941331183,3906.3999040359,3318.89266288116,2978.01683067868,2800.63276891342,2664.74303127042,2517.99268101206,2580.93308328206,2552.08411844206,2553.70405702575,2471.88593873409,2591.13289075789,2386.02130650517,2297.9653608799,2286.91624479136,2240.0750188415,2209.95987904332,2124.76745881539,2144.32232779393,2148.86453490659,2137.04450170484,2057.92794276097,1984.96748097309,1935.20771006248,1955.34923445505,2074.21192845816,2080.66904000238,2113.98717269772,2146.24761298522,2116.48243053129,1940.35419895345,2003.76810623814,2080.11380396016,2045.53714206755,1994.11426472899,2026.73474063844,2032.1485382151,1961.30902875545,1957.09173313621,1915.75282051187,1864.84365866154,1856.68458525796,1923.01653393878,2017.3632084585
"CO","light_oil","ktCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40388836001467,1.54301085588299,1.83799212143302,2.09872916166035,1.94175716593467,10.929614882896,40.8412661260187,60.538792983031,54.5928726123775,46.0346237634195,55.2746590808922,80.5934667376534,78.6025795644382,88.8569822067956,102.358547996649,124.006936586858,127.143973582966,148.674450523794,232.366442528267,259.594970577318,222.229885646457,236.440996139447,337.178164363942,392.952986076731,515.001022368086,660.576511004126,712.543642196903,795.694803255963,636.253445627714,673.989829917173,642.552369361581,811.195386184344,836.156604354975,854.109159298185,1064.79631351436,1357.98423009207,1617.74562494065,1551.48249068216,1557.9928778423,1560.27184846826,1744.21545399948,1996.17289774709,2041.01110047845,1971.55344968231,2049.53191918348,2291.49366088316,2580.22831954169,3089.05782158151,3513.00402282174,4102.21130893432,4577.88617662979,4417.64603707726,5730.06669398688,6255.98886234491,6541.97066236888,7267.55836078249,7713.60964081247,7863.15125930636,9314.72420532927,9935.84631870557,10511.3090977006,11624.6327129912,12850.3757118922,13818.9342664987,15436.0455396166,19481.2248241875,20843.7285830436,24040.2678778963,28520.9200286699,28214.1583281534,30145.5483672878,30527.820309511,34888.0452218831,35894.924153699,39803.6101698357,36019.1831225369,34066.3096151334,31787.5936465499,35285.663773219,36035.7496015259,39076.2808475751,43170.2676915944,49084.6067323654,46745.719153218,49304.174890401,53351.153991033,55545.7949208972,52798.008768937,56851.2763890169,64081.5126294607,65488.4046512148,66962.1669819562,72384.7613336342,80375.8843234014,76066.1646866334,86491.0162323398,93253.3809053892,97107.9880267959,101882.12949316,104732.719298477,114168.490398647,120000.694915,120540.404992374,123901.834813402,129822.209268872,132570.60367649,136351.380657175,142892.554488003,149432.43141924,156095.740693266,162389.727738487,171641.9668682,179122.033159818,193357.411631543,205007.013762144,218592.73652545,223030.426357283,231266.426711469,236801.420477976,229108.459344677,229866.601830583,237158.537877735,243132.067949943,252532.184822079,248618.005279776,238726.253222166,235432.454524412,233638.983047121,233065.216974163,232631.297753912,233725.283912393,233619.117009978,235453.272814415,236659.389308847,234499.535597223,226899.460961588,220013.668566737,214942.554130393,211169.589312084,201373.895712785,201168.34485244,196177.298118876,191421.535198989,188500.167394093,178171.287251358,178126.618375155,171302.2050869,157392.015240722,151281.874017003,147763.226575305,142743.387586244,136484.905703787,130780.589769076,126339.360125338,118208.962411306,111439.83727649,107417.488960975,103396.527186909,104522.91310179,100606.113702651,101777.44796288,96014.4675777115,92267.8326929359,88168.4375130481,83131.2582363743,70866.7468233455,72268.7311828633,69556.6490916341
