model,scenario,variable,region,unit,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
reconstructed,historical,HFC-23,World,kt HFC23/yr,14.435299277869296,12.873910864335862,12.786738245751446,15.123098674685131,16.832849727946375,17.311924936295306,16.50514026193276,15.533804205481095,13.954471607853897,14.051843086776302,14.149214565698706
reconstructed,historical,BC,World,Mt BC/yr,7.653824906407037,7.474689851147166,7.3797350826502965,7.327918705469155,7.19605272069361,7.217951081532304,7.099247055168857,7.192252599124691,7.216064874508795,7.188611413772479,7.190043996294754
reconstructed,historical,CH4,World,Mt CH4/yr,348.4314411674678,354.12276159008144,345.69217955880595,348.73637255283603,351.90178270083334,358.85012269639765,345.3226873913004,355.84350342534657,354.9093063445644,369.09272850130935,367.54523997175727
reconstructed,historical,CO,World,Mt CO/yr,839.8996522054317,803.6297943365049,794.6034511499407,789.9568500881987,757.131134380702,763.6588070785438,747.5719470489009,778.6268286835117,784.3578495981097,787.0957489698885,794.0378941738672
reconstructed,historical,N2O,World,Mt N2O/yr,10.564921709116438,10.67004729082908,10.559820344077876,10.773385377354243,10.846542426100667,11.03753416349231,10.902966166489923,11.362418656683024,10.877249386578503,11.611055193837036,11.500004226655246
reconstructed,historical,NH3,World,Mt NH3/yr,62.99437151085941,63.241017539587496,63.810445302805036,64.46905375022476,64.9358616159367,65.8758835251457,66.4429114401324,67.83130139319073,68.70053622711103,69.6027289674214,70.55120567646077
reconstructed,historical,NOx,World,Mt NO2/yr,139.85992334554885,138.4665765687502,136.95481384062742,135.8033413252063,132.35709282244153,130.32499277938524,127.81955736205505,126.84654163260943,126.10804202702812,123.89827950342305,122.30062422966284
reconstructed,historical,OC,World,Mt OC/yr,29.759199477177525,29.020257358888706,29.260950943023015,30.11485439133793,29.597605077550508,31.494097399383982,30.799915027977498,33.39428362993647,33.80225875018268,34.910480049751186,35.94142940733309
reconstructed,historical,Sulfur,World,Mt SO2/yr,98.07360464327914,92.29437399884524,88.37878358974298,84.87313932180807,82.55591257882605,81.10758772163344,68.35622502006387,71.1787901739412,70.5783481580808,72.65550975299425,71.17877181676364
reconstructed,historical,VOC,World,Mt VOC/yr,199.5778472774616,193.943706901477,194.45748940261345,195.7192123228296,190.18298812425547,193.1512372986278,191.03105413248645,197.64932084471235,199.0210394623627,200.85938383917892,203.07680246140808
