year,PRIMAP-HistTP,CEDS,CEDS_deflator,reconstructed
1750,26.929125,,1,26.929125
1751,27.002997,,0.999464775,27.01745741
1752,27.076847,,0.998929551,27.10586244
1753,27.150628,,0.998394326,27.19429316
1754,27.224387,,0.997859102,27.28279669
1755,27.2981,,0.997323877,27.37134908
1756,27.375951,,0.996788653,27.46414791
1757,27.449573,,0.996253428,27.55280154
1758,27.523149,,0.995718204,27.64150428
1759,27.59668,,0.995182979,27.73025722
1760,27.670141,,0.994647755,27.8190353
1761,27.743604,,0.99411253,27.90791098
1762,27.810806,,0.993577306,27.99058094
1763,27.877962,,0.993042081,28.07329369
1764,27.945071,,0.992506857,28.1560483
1765,28.012134,,0.991971632,28.23884584
1766,28.087419,,0.991436408,28.33002579
1767,28.154388,,0.990901183,28.41291188
1768,28.221311,,0.990365959,28.49584111
1769,28.288187,,0.989830734,28.57881254
1770,28.355017,,0.98929551,28.66182725
1771,28.587418,,0.988760285,28.91238496
1772,28.811054,,0.988225061,29.15434464
1773,29.034623,,0.987689836,29.39649871
1774,29.258125,,0.987154612,29.6388475
1775,29.48156,,0.986619387,29.88139133
1776,29.714101,,0.986084163,30.13343295
1777,29.937402,,0.985548938,30.37637284
1778,30.160635,,0.985013714,30.61950771
1779,30.383801,,0.984478489,30.86283889
1780,30.606924,,0.983943265,31.10639109
1781,30.736545,,0.98340804,31.25512884
1782,30.85447,,0.982872816,31.39212878
1783,30.972352,,0.982337591,31.52923422
1784,31.090145,,0.981802367,31.66639851
1785,31.207901,,0.981267142,31.80367472
1786,31.340417,,0.980731918,31.95615074
1787,31.458037,,0.980196693,32.09359634
1788,31.575567,,0.979661469,32.23110024
1789,31.693056,,0.979126244,32.3687126
1790,31.81048,,0.97859102,32.50640907
1791,31.865652,,0.978055795,32.58060753
1792,31.907615,,0.977520571,32.64137447
1793,31.948121,,0.976985346,32.70071668
1794,31.988391,,0.976450122,32.75988224
1795,32.028739,,0.975914897,32.81919263
1796,32.075553,,0.975379673,32.88519733
1797,32.123103,,0.974844448,32.95202949
1798,32.169616,,0.974309224,33.01787074
1799,32.218143,,0.973773999,33.0858526
1800,32.265972,,0.973238775,33.15319205
1801,32.467362,,0.97270355,33.3784759
1802,32.706823,,0.972168326,33.64316872
1803,32.892838,,0.971633101,33.8531468
1804,33.120287,,0.971097876,34.1060235
1805,33.30533,,0.970562652,34.31548693
1806,33.517508,,0.970027427,34.55315494
1807,33.723256,,0.969492203,34.78445303
1808,33.919379,,0.968956978,35.00607329
1809,34.120216,,0.968421754,35.23280622
1810,34.344576,,0.967886529,35.48409339
1811,34.508183,,0.967351305,35.67285517
1812,34.668075,,0.96681608,35.85798344
1813,34.818209,,0.966280856,36.03321828
1814,34.972832,,0.965745631,36.21329557
1815,35.130707,,0.965210407,36.3969418
1816,35.302016,,0.964675182,36.59471773
1817,35.458738,,0.964139958,36.7775837
1818,35.605889,,0.963604733,36.95072032
1819,35.756946,,0.963069509,37.12810516
1820,35.910461,,0.962534284,37.30824095
1821,36.172762,,0.96199906,37.60166045
1822,36.44366,,0.961463835,37.9043482
1823,36.718605,,0.960928611,38.2115847
1824,36.992391,,0.960393386,38.51795684
1825,37.261235,,0.959858162,38.81952197
1826,37.522991,,0.959322937,39.11403506
1827,37.814705,,0.958787713,39.44012266
1828,38.077191,,0.958252488,39.73607318
1829,38.333996,,0.957717264,40.02642267
1830,38.705964,,0.957182039,40.4374115
1831,38.951028,,0.956646815,40.71620519
1832,39.22504,,0.95611159,41.02558781
1833,39.50242,,0.955576366,41.33884158
1834,39.787352,,0.955041141,41.66035397
1835,40.06165,,0.954505917,41.97108609
1836,40.420311,,0.953970692,42.37060041
1837,40.68211,,0.953435468,42.66897066
1838,40.968205,,0.952900243,42.99317299
1839,41.247578,,0.952365019,43.3106815
1840,41.545807,,0.951829794,43.64835736
1841,41.796886,,0.95129457,43.93684915
1842,42.055306,,0.950759345,44.23338694
1843,42.299913,,0.950224121,44.51572222
1844,42.564863,,0.949688896,44.81979643
1845,42.868025,,0.949153672,45.16447261
1846,43.078155,,0.948618447,45.41146668
1847,43.384908,,0.948083223,45.76065367
1848,43.595124,,0.947547998,46.00835429
1849,43.871173,,0.947012774,46.32585138
1850,44.168818,,0.946477549,46.66652478
1851,44.337622,,0.945942325,46.87137984
1852,44.573316,,0.9454071,47.14721943
1853,44.837917,,0.944871876,47.45396509
1854,45.270219,,0.944336651,47.9386445
1855,45.500006,,0.943801427,48.20929988
1856,45.802989,,0.943266202,48.55786087
1857,46.01421,,0.942730978,48.80948128
1858,46.219139,,0.942195753,49.05470955
1859,46.538325,,0.941660528,49.42155224
1860,46.915648,,0.941125304,49.8505861
1861,47.210258,,0.940590079,50.19217088
1862,47.442414,,0.940054855,50.46770808
1863,47.833727,,0.93951963,50.91296174
1864,48.203717,,0.938984406,51.33601442
1865,48.548738,,0.938449181,51.73294299
1866,48.908794,,0.937913957,52.14635483
1867,49.192509,,0.937378732,52.47879784
1868,49.437709,,0.936843508,52.77050925
1869,49.793646,,0.936308283,53.18082397
1870,50.044993,,0.935773059,53.4798395
1871,50.523978,,0.935237834,54.02259847
1872,51.174971,,0.93470261,54.75000333
1873,51.710874,,0.934167385,55.35504109
1874,51.894215,,0.933632161,55.58314846
1875,52.460514,,0.933096936,56.2219336
1876,52.84623,,0.932561712,56.66781011
1877,53.257295,,0.932026487,57.14139644
1878,53.623346,,0.931491263,57.56720234
1879,54.169126,,0.930956038,58.18655637
1880,54.921056,,0.930420814,59.02818938
1881,55.544557,,0.929885589,59.73267856
1882,56.180338,,0.929350365,60.45119271
1883,56.872181,,0.92881514,61.23089357
1884,57.306809,,0.928279916,61.73440578
1885,57.737151,,0.927744691,62.23387915
1886,58.209134,,0.927209467,62.77883918
1887,58.863048,,0.926674242,63.52075553
1888,59.739866,,0.926139018,64.50421034
1889,60.185099,,0.925603793,65.02252847
1890,61.096367,,0.925068569,66.04523066
1891,61.767457,,0.924533344,66.80933401
1892,62.232484,,0.92399812,67.35131022
1893,62.513633,,0.923462895,67.69479676
1894,63.205214,,0.922927671,68.48338825
1895,64.011508,,0.922392446,69.39725956
1896,64.606149,,0.921857222,70.08259792
1897,65.359204,,0.921321997,70.9406746
1898,66.1526,,0.920786773,71.84356028
1899,67.243983,,0.920251548,73.07130658
1900,68.167117,,0.919716324,74.11754608
1901,68.901961,,0.919181099,74.96015863
1902,69.532691,,0.918645875,75.69041883
1903,70.74551,,0.91811065,77.05553791
1904,71.308106,,0.917575426,77.71361788
1905,72.215335,,0.917040201,78.74827616
1906,73.348864,,0.916504977,80.03105916
1907,75.10614,,0.915969752,81.99631028
1908,75.150434,,0.915434528,82.0926366
1909,76.178064,,0.914899303,83.26387806
1910,77.161317,,0.914364079,84.3879575
1911,77.955442,,0.913828854,85.30639152
1912,78.830995,,0.913293629,86.31506063
1913,80.30585,,0.912758405,87.98149605
1914,79.48767,,0.91222318,87.13620932
1915,79.873568,,0.911687956,87.61064296
1916,81.35703,,0.911152731,89.29022236
1917,82.477789,,0.910617507,90.57347171
1918,82.256604,,0.910082282,90.38370001
1919,81.255398,,0.909547058,89.33611218
1920,83.50623,,0.909011833,91.8648437
1921,82.105292,,0.908476609,90.37689159
1922,83.836933,,0.907941384,92.33738481
1923,86.573398,,0.90740616,95.40754937
1924,87.57674,,0.906870935,96.57023572
1925,88.414052,,0.906335711,97.5511071
1926,88.737236,,0.905800486,97.96554245
1927,91.261781,,0.905265262,100.8121982
1928,91.87619,,0.904730037,101.5509447
1929,93.901134,,0.904194813,103.8505559
1930,94.035751,,0.903659588,104.0610338
1931,93.61759,,0.903124364,103.6596882
1932,93.546942,,0.902589139,103.6428846
1933,95.087393,,0.902053915,105.412095
1934,97.373111,,0.90151869,108.0100857
1935,99.126882,,0.900983466,110.0207559
1936,101.86869,,0.900448241,113.1310889
1937,104.06914,,0.899913017,115.6435545
1938,104.40077,,0.899377792,116.0811073
1939,106.41802,,0.898842568,118.394504
1940,108.72448,,0.898307343,121.0326074
1941,110.5673,,0.897772119,123.1574223
1942,111.87347,,0.897236894,124.6866583
1943,114.09794,,0.89670167,127.2418061
1944,115.72862,,0.896166445,129.1374171
1945,114.75315,,0.895631221,128.1254464
1946,118.19433,,0.895095996,132.0465408
1947,122.18599,,0.894560772,136.5876907
1948,124.15804,,0.894025547,138.8752708
1949,125.89016,,0.893490323,140.8970604
1950,129.14149,,0.892955098,144.6226023
1951,133.49883,,0.892419874,149.591951
1952,136.5817,,0.891884649,153.1383012
1953,140.07554,,0.891349425,157.1499752
1954,143.97532,,0.8908142,161.6221654
1955,150.99534,,0.890278976,169.6045219
1956,155.98137,,0.889743751,175.3104417
1957,160.90236,,0.889208527,180.9500867
1958,164.56679,,0.888673302,185.182552
1959,171.90457,,0.888138078,193.5561309
