,run1,run2,run3
1851.4166666666667,800.38654,802.2038,814.15515
1852.4166666666667,801.3869,804.25287,812.1584
1853.4166666666667,801.71783,806.3054,813.4553
1854.4166666666667,801.7594,807.2098,811.9178
1855.4166666666667,802.5231,808.1126,810.67114
1856.4166666666667,802.5007,808.96185,811.41406
1857.4166666666667,803.736,810.5649,809.0644
1858.4166666666667,803.2012,814.4787,806.426
1859.4166666666667,801.2704,813.3018,806.0102
1860.4166666666667,794.1314,807.73285,805.53485
1861.4166666666667,790.6287,807.7748,803.9783
1862.4166666666667,795.7122,813.0801,802.1769
1863.4166666666667,801.89215,814.70764,801.47986
1864.4166666666667,806.10736,813.1096,801.1502
1865.4166666666667,806.061,814.3493,800.9666
1866.4166666666667,805.5468,812.80524,802.90375
1867.4166666666667,806.5379,813.862,809.2504
1868.4166666666667,810.5515,818.99,818.6263
1869.4166666666667,813.51624,823.0885,823.6564
1870.4166666666667,812.25366,825.4865,824.76404
1871.4166666666667,814.56665,827.2715,822.649
1872.4166666666667,817.73206,827.8499,824.35364
1873.4166666666667,821.3573,826.0489,826.95074
1874.4166666666667,827.0849,826.08716,830.37274
1875.4166666666667,830.029,827.94403,833.09375
1876.4166666666667,832.3254,830.83014,838.20636
1877.4166666666667,833.97955,839.9198,844.1827
1878.4166666666667,835.89636,851.80145,848.3715
1879.4166666666667,839.80597,856.9714,851.90576
1880.4166666666667,844.259,856.9083,856.21277
1881.4166666666667,851.4451,863.0208,860.4489
1882.4166666666667,858.7334,867.8065,863.48584
1883.4166666666667,862.5166,871.5818,865.28253
1884.4166666666667,865.5245,872.0846,864.018
1885.4166666666667,869.1855,872.2444,866.6215
1886.4166666666667,873.3168,875.32635,871.58234
1887.4166666666667,875.939,877.5393,874.65576
1888.4166666666667,875.6172,879.6153,878.69763
1889.4166666666667,881.1495,883.8503,884.6845
1890.4166666666667,887.40814,888.0365,891.018
1891.4166666666667,894.91656,894.2824,892.89374
1892.4166666666667,904.3783,900.2058,898.6958
1893.4166666666667,909.9381,903.0291,904.3531
1894.4166666666667,914.9294,905.30884,911.2594
1895.4166666666667,919.54193,910.1972,918.49066
1896.4166666666667,923.76337,917.718,925.3968
1897.4166666666667,929.4429,925.1749,927.4748
1898.4166666666667,929.7714,930.1569,931.4661
1899.4166666666667,927.86237,931.4476,932.09644
1900.4166666666667,931.0799,932.346,933.7859
1901.4166666666667,935.6743,934.0484,935.5672
1902.4166666666667,939.4636,933.7307,937.72955
1903.4166666666667,944.0574,936.1828,942.0069
1904.4166666666667,949.3102,940.3247,943.5309
1905.4166666666667,955.0806,943.1604,947.36554
1906.4166666666667,962.40247,942.994,950.4589
1907.4166666666667,964.4366,943.1331,953.83276
1908.4166666666667,967.674,948.1802,957.6024
1909.4166666666667,970.3172,952.4575,959.29095
1910.4166666666667,972.58954,956.83954,966.4621
1911.4166666666667,977.1143,964.3217,975.58984
1912.4166666666667,984.4069,969.12915,979.38025
1913.4166666666667,989.3005,972.9921,976.9039
1914.4166666666667,990.384,977.2614,978.3823
1915.4166666666667,989.6861,982.6044,980.4793
1916.4166666666667,991.6506,988.972,981.565
1917.4166666666667,993.9727,996.42596,983.42126
1918.4166666666667,995.5182,1001.30176,988.6234
1919.4166666666667,999.60547,1002.5205,991.1822
1920.4166666666667,1000.8523,1001.6651,995.44354
1921.4166666666667,998.83466,1005.6482,1000.1336
1922.4166666666667,1001.1661,1008.50024,1000.3009
1923.4166666666667,1008.4386,1012.899,1000.8098
1924.4166666666667,1011.6515,1022.4802,1002.4164
1925.4166666666667,1018.9249,1026.6554,1005.9765
1926.4166666666667,1021.3203,1024.0253,1012.26886
1927.4166666666667,1022.3977,1023.9947,1016.8108
1928.4166666666667,1022.25854,1024.975,1017.19495
1929.4166666666667,1021.76324,1025.1438,1017.8504
1930.4166666666667,1024.2966,1026.6848,1023.6806
1931.4166666666667,1027.1827,1031.7312,1028.3768
1932.4166666666667,1031.5104,1035.585,1033.2537
1933.4166666666667,1038.978,1039.0796,1037.5027
1934.4166666666667,1041.208,1046.2223,1039.9127
1935.4166666666667,1044.1584,1051.6073,1044.9559
1936.4166666666667,1040.7909,1055.8293,1049.7593
1937.4166666666667,1043.1829,1056.9553,1053.712
1938.4166666666667,1055.1947,1055.574,1057.8156
1939.4166666666667,1060.5972,1058.1976,1062.3835
1940.4166666666667,1062.1765,1060.9542,1070.631
1941.4166666666667,1066.2422,1064.3635,1071.63
1942.4166666666667,1072.0947,1067.8855,1075.0654
1943.4166666666667,1077.3264,1073.4471,1080.6006
1944.4166666666667,1082.4698,1079.8246,1088.9434
