"","model","run","conv","nit","gamma","C1","C2","C3","kappa1","kappa2","kappa3","epsilon","sigma_eta","sigma_xi","F_4xCO2"
"1","ACCESS-CM2","r1i1p1f1","TRUE","2900","1.88574006976635","3.67420783048041","10.0508433979028","79.0009797756226","0.704530464924218","3.78699306639153","0.697149209521982","1.43982886130118","0.457677768182322","0.562739095090193","7.57713975367997"
"2","ACCESS-ESM1-5","r1i1p1f1","TRUE","3338","2.53620444510302","3.61224747520698","10.3673969219454","83.2216313906414","0.667153885225","2.73898853088833","0.926264880815935","1.51117569507128","0.628044575737859","0.545545438417259","6.27462746652365"
"3","AWI-CM-1-1-MR","r1i1p1f1","TRUE","4357","4.33124749203336","4.22017199002099","9.60677081155456","47.6600915321412","1.18366648002727","1.99574677354002","0.716141173730438","1.39858209141205","0.968867552896079","0.683845197476872","7.92008997102003"
"4","BCC-CSM2-MR","r1i1p1f1","TRUE","3063","1.07003886527153","4.19997280214881","13.6134223475043","61.896977485681","1.20335668074607","2.43875553579793","1.00025896937333","1.76099195674435","0.450351654041429","0.359787175768341","8.00982431237148"
"5","BCC-ESM1","r1i1p1f1","TRUE","2920","1.77412954539474","5.2354880705063","19.6719561182617","84.6069570753455","0.818702398543557","1.29809589741805","0.739176261251495","1.17263182040004","0.387793462984424","0.308132575314036","5.76721612686517"
"6","CAMS-CSM1-0","r1i1p1f1","TRUE","5199","27.3805810759592","2.83211021743182","9.38875803545199","54.0002184637129","1.89476273683052","5.41004194061633","0.620925299451567","1.24515584564495","2.68134480588106","0.473938332192405","8.88997843796409"
"7","CAMS-CSM1-0","r2i1p1f1","TRUE","4616","4.45361246200413","5.16637653497281","8.33004844380237","52.7427693362992","1.87486421246944","2.84288454181155","0.713868924058351","1.19147499160364","1.01553450776867","0.664354470985032","8.76393727781693"
"8","CESM2-FV2","r1i1p1f1","TRUE","2891","2.78540562986224","3.73078438570819","6.59464823429366","88.0044085612768","0.557072027145187","4.02845899164116","0.998190318892238","1.74226105137745","0.88409585082866","0.596267113079286","7.45032677203357"
"9","CESM2-WACCM","r1i1p1f1","TRUE","4781","2.7094322298881","3.867909866437","6.08947765062937","87.3802556276412","0.715844108837767","6.7416668704572","0.817850224838095","1.54854470671053","0.680284027691225","0.500604367725748","7.93905762131177"
"10","CESM2-WACCM-FV2","r1i1p1f1","TRUE","3493","2.86471936444978","3.45078978735027","9.25229516016471","108.071903473661","0.563262747512411","3.65090438607554","0.908758244164373","1.44636877624364","0.941653053432766","0.550068746224729","6.61641973037181"
"11","CMCC-CM2-SR5","r1i1p1f1","TRUE","7199","24.3968906148323","4.3146635441197","18.0435227211573","284.098741807887","1.43012824438494","1.20791175402482","0.26922450498322","0.00833500184587995","2.43678067397261","0.902648064674638","8.31292386066652"
