"model","run","conv","nit","gamma","C1","C2","kappa1","kappa2","epsilon","sigma_eta","sigma_xi","F_4xCO2"
"ACCESS-CM2","r1i1p1f1","TRUE","2298","1.3839787218429","7.80115764685635","74.6538471919879","0.76569185367807","0.689717390728849","1.30042413130397","0.412787219960594","0.98519662409401","7.72982917973623"
"ACCESS-ESM1-5","r1i1p1f1","TRUE","1787","2.57868229598349","6.64809184958582","82.7225759459247","0.799690122313726","0.746259429837314","1.46866826056397","0.636462666011313","0.876975630104542","6.9489213886397"
"AWI-CM-1-1-MR","r1i1p1f1","TRUE","3027","3.24766093296449","6.0415865483944","49.5324665545716","1.34807469319925","0.646335343271184","1.31231144450076","0.833618995562148","0.884051944429407","8.71408701615423"
"BCC-CSM2-MR","r1i1p1f1","TRUE","2309","2.23562232485635","6.9738581380509","65.4567423882394","1.14137484626666","0.750714358611368","1.20801578860701","0.542345929946649","0.560525375317119","7.03668683940495"
"BCC-ESM1","r1i1p1f1","TRUE","2777","1.72864770410061","7.75650339160309","77.8761298586854","0.982848083618315","0.680186234650967","1.23603436340003","0.378356519803039","0.468564711713383","6.68145461721259"
"CAMS-CSM1-0","r1i1p1f1","TRUE","3413","4.43453315548205","7.14272840757002","51.9895650866102","2.02031352652004","0.726742095738239","1.31187948623298","1.06237929572192","0.781312166838857","9.48464015214418"
"CanESM5","r1i1p1f1","TRUE","3414","3.18091474538361","7.54985572501656","68.842879101877","0.664403293634004","0.633777472028335","1.08639853758769","0.593474109109183","0.924956194174721","7.64772421927355"
"CanESM5","r1i1p2f1","TRUE","3045","2.81791510844317","8.23454211690686","68.6881532988507","0.639894357216193","0.606649177523083","1.09191818272913","0.437729170655948","0.974429693740045","7.45605969714544"
"CAS-ESM2-0","r1i1p1f1","TRUE","1598","1.59316960367017","6.38022248048089","54.7807960173193","1.01993338852571","0.636669915715561","1.33104823679216","0.483087764985536","0.667475007524547","7.47821574424873"
"CESM2","r1i1p1f1","TRUE","2701","2.56576808021532","7.81182058536235","72.096988676362","0.71568163335286","0.713568067276732","1.69744370679713","0.694958085885262","0.677039269942992","8.71364679433255"
"CESM2-FV2","r1i1p1f1","TRUE","2475","2.23092808907226","6.49315416353479","84.9440471927165","0.628958959684876","0.786966017015875","1.77158708920837","0.821010390100475","0.828142333123891","8.02611773728217"
"CESM2-WACCM","r1i1p1f1","TRUE","2931","2.56298065778088","7.94532192090413","84.7832644172766","0.764481196829702","0.757704803982495","1.58923788690916","0.665787174954022","0.711673554611467","8.36952582534147"
"CESM2-WACCM-FV2","r1i1p1f1","TRUE","1980","2.34259561917177","6.7445370923285","103.30310851473","0.64621460343126","0.777498607127119","1.53143413331292","0.858370820430199","0.873260314061088","7.32308390442353"
"CIESM","r1i1p1f1","TRUE","1983","0.7459146101324","9.03124479597593","72.3226391115245","0.733073649900416","0.810654900022634","1.30650367726437","0.353532837956071","0.859108222588697","8.84302997850676"
"CMCC-CM2-SR5","r1i1p1f1","TRUE","2940","1.60971869297918","6.25673550880831","50.6809423224637","1.33959257026098","0.758708637415097","1.49939744147151","0.616088684109578","1.27168070750968","9.86688452458491"
"CNRM-CM6-1","r1i1p1f2","TRUE","3765","4.48870381108413","6.6851543101072","93.6540595129887","0.748726317221883","0.664037570618571","1.06256342097961","0.727094719437853","0.911546137889005","7.49473470024759"
"CNRM-CM6-1-HR","r1i1p1f2","TRUE","4748","5.19101060262828","8.14287556177051","81.2008218200342","0.879434192308475","0.665613681861181","0.880494986465164","0.600624326632135","0.873642955276641","7.47871580983251"
"CNRM-ESM2-1","r1i1p1f2","TRUE","2353","5.09117220240392","6.97124589221608","96.4338501364884","0.644809922879206","0.646278256169584","0.886935876847008","0.928145749573837","0.839152257848657","5.81952523078549"
"CNRM-ESM2-1","r2i1p1f2","TRUE","2281","4.64771015344312","6.26378774975267","95.0409191467835","0.67690192683589","0.666867378814723","1.07677872481364","0.854209252163885","0.770611955290373","6.39578591474287"
"CNRM-ESM2-1","r3i1p1f2","TRUE","2765","5.53062621843009","7.21085125714108","90.0134448429546","0.625766491207273","0.654655387879003","0.923767742307397","0.87585746661623","0.913627999721349","5.78803460673372"
"E3SM-1-0","r1i1p1f1","TRUE","3070","2.61277165376881","7.64591293510945","39.7068335517735","0.656914206138038","0.43620453361726","1.39939869819217","0.83120917482638","1.1499763193328","7.56004593248748"
"EC-Earth3","r3i1p1f1","TRUE","2722","2.15106560048754","6.20936691274675","34.1108399779905","0.960243320754516","0.810630149447903","1.31612124203575","0.62567528454374","1.17272724645547","8.1128459985268"
