,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
DM,6058.807069913152,5951.100422109307,4565.16052103884,3891.6162481660713,4024.6039490443295,4790.487780365465,4525.248732975623,4525.774739534858,4610.13097734962,4480.90755615992,4516.320343418019,3833.4339438427724,3793.7705082310003,4411.047407799066,3836.3443626080875,4204.620599497487,3638.660859722604,4174.013229852281,4646.545757790622,3840.8640725775567,3971.7280715547254,3769.5119987098865,4752.156101551485,4066.54959893377,4742.174361117881
C,3031.9920689487426,2892.8967947378187,2226.7517390912976,1894.8677597970236,1962.1216405845796,2343.587889822221,2199.9354755111076,2213.001328265528,2252.4727515023474,2207.385620372274,2202.978899201413,1862.8930092170988,1862.5407140380598,2150.493158486055,1872.0435602391087,2047.4093411822403,1773.2621084523767,2044.5872061737577,2289.8348149138324,1869.2928190624987,1927.6193390712901,1832.7133520369664,2325.0628975546683,1976.9987618642238,2289.0094609793305
CO2,10095.25677545384,9808.624435169508,7589.790632506302,6463.779150980353,6703.632521559572,7924.142738304258,7451.358768894978,7514.519174411146,7656.74653303529,7433.165379186022,7507.120127093892,6339.892494588964,6311.00175131597,7318.483640048173,6371.465787179134,6940.209866303887,6024.374675331369,6899.533739923912,7683.833470830405,6355.635872799211,6542.046332511991,6214.694845143212,7829.326820152773,6714.526542735428,7696.879079845377
CO,587.774971548467,473.4716338175673,341.76765597638285,288.3000609364727,292.5083541274204,394.0310250873543,364.52707932070444,354.47819777362037,356.42169655342656,386.0047732283974,338.85976548888516,291.9470631797225,304.9724152620612,336.30865416767983,292.33413817316193,335.76068367551943,283.2223179673548,350.9149925898547,415.15780889557595,296.0112066338591,312.5530704442036,299.70056439388327,408.93764391187375,317.59501948168,412.354608362594
CH4,35.78176745697566,19.868629397703767,13.783159498643887,11.282861849668514,11.330660567309288,18.117316353425114,15.361827689589148,15.557346371373237,15.3562957973078,19.637656824573256,13.80945288894017,11.615657240103893,14.208308860966707,13.881326787410988,12.113906772327335,14.303832023538533,11.826983787020328,16.672451385882486,21.75893988914658,12.101312148816474,12.632096316070848,12.471945041090224,19.377761637934064,12.869997677550431,17.51740634232984
NMHC,20.67546381804852,24.93929974047492,18.026436697195336,15.934389920451531,16.35394409411499,19.557709536227016,19.97666454269181,17.277542393672153,17.640254296468314,17.766011438559982,17.02227616054303,16.8704573604264,15.115414418615345,16.84491342223363,15.526816135870707,17.889946732938927,15.154475080684369,17.22344392168852,18.221523988820987,15.680626585551124,17.600844785144055,16.500585649195703,20.78460935630378,17.701619586502296,24.090265654385135
H2,14.395116951899087,12.5282475993317,9.25393265380503,7.71076707649605,7.736670047160371,10.025549869474634,9.17675550350916,9.590344433400913,9.76833853771701,9.754084463319092,9.559410872338518,7.543553185932037,7.8151181164651975,9.400528299301516,7.606172284191057,8.506187930666213,7.298413094466488,8.852776136797383,10.373742731320872,7.874398523388144,7.958868324797568,7.530102562592352,10.132949156245225,8.334288983008744,9.553030081419365
NOx,18.032902504957956,19.06380146871181,15.618348726206637,13.432886708738765,14.246407051138023,15.339865584477865,14.32518077349654,15.099063484679458,15.53326361353042,14.17254963127518,15.370436833829551,12.940023007425971,12.67236167285314,14.772043843513815,13.082982337382688,13.58753232903129,12.070459752849729,13.182394668644458,14.13954809147652,12.748103806546368,12.79258349045294,12.134924069392026,14.295898538930322,13.098198952403834,13.387709296046706
N2O,1.2182886128990578,1.2935322739091906,0.930852385462097,0.7977902185031022,0.812260710419286,1.026758675584408,1.0057091462377783,0.9291922481594324,0.9360058485562256,0.9209218947231137,0.9096773000743206,0.8059273704034036,0.7680352593631126,0.9039974705243625,0.7991034406141975,0.9221548938793763,0.7762383612326574,0.8927845836704837,0.990681960578643,0.8156033117057632,0.877605785273041,0.8341742167350659,1.0410703639577799,0.8681316915293307,1.1843209862607302
PM2.5,49.85370859446008,50.78769908754148,36.550752641962134,31.010043847826072,31.228593523181367,40.322150972660346,39.45167344601296,36.49262206917508,36.78119086866537,37.003419545229164,35.99708484879373,31.275969309683923,30.30872879681473,35.7659125259289,30.811812124959243,35.762264528261944,30.15671878819125,35.296837706127185,39.580258199825835,31.77196546725686,34.23605495831174,32.40789054567038,42.43129887880851,34.9368954964965,46.26783627351323
