,tas,rlut,rsut,rsdt
1,1.7755779551450814,-3.851763625585704,-3.285696746745913,3.979039320256561e-13
2,2.397581229878085,-2.3509563276162737,-4.301851919726275,3.979039320256561e-13
3,2.76523311106007,-1.4524238461898733,-4.508137784994645,3.979039320256561e-13
4,3.032975527885469,-0.8264832106101494,-4.848193408285837,3.979039320256561e-13
5,3.4262877313556714,-0.2594607536369722,-5.470926226277754,3.979039320256561e-13
6,3.7242760252324274,0.7014804210634793,-6.145566692346023,3.979039320256561e-13
7,3.848567576325081,0.9399630940623922,-6.23589908953474,3.979039320256561e-13
8,4.062936044466539,1.3468699903525874,-6.441177314334823,3.979039320256561e-13
9,4.242742804067063,2.1328931910939843,-6.70582095389328,3.979039320256561e-13
10,4.259589084873426,1.9216529693067628,-6.535257208586543,3.979039320256561e-13
11,4.356594686312576,1.9526186019922704,-6.883539365087188,3.979039320256561e-13
12,4.443867044685021,2.357134398160184,-6.750955497532303,3.979039320256561e-13
13,4.5864988280791295,2.4035541896498955,-7.023466128322724,3.979039320256561e-13
14,4.738070453228886,2.7696968201452705,-7.588932816797467,3.979039320256561e-13
15,4.896342892786663,3.4274764911774582,-7.418945150459905,3.979039320256561e-13
16,4.840298080025434,3.5502208863463522,-7.541080315112993,3.979039320256561e-13
17,5.0163571255393435,3.184213972682244,-7.7520826666939655,3.979039320256561e-13
18,5.145974365648044,3.962368837992642,-7.902425853352611,3.979039320256561e-13
19,5.098884607550133,4.0313389986011146,-7.531462131688301,3.979039320256561e-13
20,5.092581401508028,3.8133605549363097,-7.750096862744343,3.979039320256561e-13
21,5.133098491144153,3.6967061539910446,-7.9838212417520396,3.979039320256561e-13
22,5.2234672268406825,4.057111699736055,-7.8621408183204124,3.979039320256561e-13
23,5.23447070734062,4.020217192363759,-7.961210459715673,3.979039320256561e-13
24,5.346967179111573,4.298341930542307,-8.121098656001095,3.979039320256561e-13
25,5.46076844460066,4.545113494089634,-8.19473798733847,3.979039320256561e-13
26,5.478844254499052,4.354878063088165,-8.427417657258346,3.979039320256561e-13
27,5.5285402451671075,4.792295404246715,-8.192560120722746,3.979039320256561e-13
28,5.594836392422621,4.872348648192116,-8.418610732497513,3.979039320256561e-13
29,5.522654495949155,4.6702206730387275,-8.277285052516348,3.979039320256561e-13
30,5.586017836792223,4.89385594380667,-8.35898234064804,3.979039320256561e-13
31,5.716162114451265,4.950444897671616,-8.67689561040585,3.979039320256561e-13
32,5.673513682415091,4.979196055767147,-8.328143343679415,3.979039320256561e-13
33,5.570374623655539,4.6590870142307494,-8.398249497540846,3.979039320256561e-13
34,5.690651407602729,4.8760955236002985,-8.515843043936357,3.979039320256561e-13
