activity_id,climate_model,member_id,mip_era,model,region,scenario,unit,variable,1850-01-01 00:00:00,1851-01-01 00:00:00,1852-01-01 00:00:00,1853-01-01 00:00:00,1854-01-01 00:00:00,1855-01-01 00:00:00,1856-01-01 00:00:00,1857-01-01 00:00:00,1858-01-01 00:00:00,1859-01-01 00:00:00,1860-01-01 00:00:00,1861-01-01 00:00:00,1862-01-01 00:00:00,1863-01-01 00:00:00,1864-01-01 00:00:00,1865-01-01 00:00:00,1866-01-01 00:00:00,1867-01-01 00:00:00,1868-01-01 00:00:00,1869-01-01 00:00:00,1870-01-01 00:00:00,1871-01-01 00:00:00,1872-01-01 00:00:00,1873-01-01 00:00:00,1874-01-01 00:00:00,1875-01-01 00:00:00,1876-01-01 00:00:00,1877-01-01 00:00:00,1878-01-01 00:00:00,1879-01-01 00:00:00,1880-01-01 00:00:00,1881-01-01 00:00:00,1882-01-01 00:00:00,1883-01-01 00:00:00,1884-01-01 00:00:00,1885-01-01 00:00:00,1886-01-01 00:00:00,1887-01-01 00:00:00,1888-01-01 00:00:00,1889-01-01 00:00:00,1890-01-01 00:00:00,1891-01-01 00:00:00,1892-01-01 00:00:00,1893-01-01 00:00:00,1894-01-01 00:00:00,1895-01-01 00:00:00,1896-01-01 00:00:00,1897-01-01 00:00:00,1898-01-01 00:00:00,1899-01-01 00:00:00,1900-01-01 00:00:00,1901-01-01 00:00:00,1902-01-01 00:00:00,1903-01-01 00:00:00,1904-01-01 00:00:00,1905-01-01 00:00:00,1906-01-01 00:00:00,1907-01-01 00:00:00,1908-01-01 00:00:00,1909-01-01 00:00:00,1910-01-01 00:00:00,1911-01-01 00:00:00,1912-01-01 00:00:00,1913-01-01 00:00:00,1914-01-01 00:00:00,1915-01-01 00:00:00,1916-01-01 00:00:00,1917-01-01 00:00:00,1918-01-01 00:00:00,1919-01-01 00:00:00,1920-01-01 00:00:00,1921-01-01 00:00:00,1922-01-01 00:00:00,1923-01-01 00:00:00,1924-01-01 00:00:00,1925-01-01 00:00:00,1926-01-01 00:00:00,1927-01-01 00:00:00,1928-01-01 00:00:00,1929-01-01 00:00:00,1930-01-01 00:00:00,1931-01-01 00:00:00,1932-01-01 00:00:00,1933-01-01 00:00:00,1934-01-01 00:00:00,1935-01-01 00:00:00,1936-01-01 00:00:00,1937-01-01 00:00:00,1938-01-01 00:00:00,1939-01-01 00:00:00,1940-01-01 00:00:00,1941-01-01 00:00:00,1942-01-01 00:00:00,1943-01-01 00:00:00,1944-01-01 00:00:00,1945-01-01 00:00:00,1946-01-01 00:00:00,1947-01-01 00:00:00,1948-01-01 00:00:00,1949-01-01 00:00:00,1950-01-01 00:00:00,1951-01-01 00:00:00,1952-01-01 00:00:00,1953-01-01 00:00:00,1954-01-01 00:00:00,1955-01-01 00:00:00,1956-01-01 00:00:00,1957-01-01 00:00:00,1958-01-01 00:00:00,1959-01-01 00:00:00,1960-01-01 00:00:00,1961-01-01 00:00:00,1962-01-01 00:00:00,1963-01-01 00:00:00,1964-01-01 00:00:00,1965-01-01 00:00:00,1966-01-01 00:00:00,1967-01-01 00:00:00,1968-01-01 00:00:00,1969-01-01 00:00:00,1970-01-01 00:00:00,1971-01-01 00:00:00,1972-01-01 00:00:00,1973-01-01 00:00:00,1974-01-01 00:00:00,1975-01-01 00:00:00,1976-01-01 00:00:00,1977-01-01 00:00:00,1978-01-01 00:00:00,1979-01-01 00:00:00,1980-01-01 00:00:00,1981-01-01 00:00:00,1982-01-01 00:00:00,1983-01-01 00:00:00,1984-01-01 00:00:00,1985-01-01 00:00:00,1986-01-01 00:00:00,1987-01-01 00:00:00,1988-01-01 00:00:00,1989-01-01 00:00:00,1990-01-01 00:00:00,1991-01-01 00:00:00,1992-01-01 00:00:00,1993-01-01 00:00:00,1994-01-01 00:00:00,1995-01-01 00:00:00,1996-01-01 00:00:00,1997-01-01 00:00:00,1998-01-01 00:00:00,1999-01-01 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00,2020-01-01 00:00:00,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,2026-01-01 00:00:00,2027-01-01 00:00:00,2028-01-01 00:00:00,2029-01-01 00:00:00,2030-01-01 00:00:00,2031-01-01 00:00:00,2032-01-01 00:00:00,2033-01-01 00:00:00,2034-01-01 00:00:00,2035-01-01 00:00:00,2036-01-01 00:00:00,2037-01-01 00:00:00,2038-01-01 00:00:00,2039-01-01 00:00:00,2040-01-01 00:00:00,2041-01-01 00:00:00,2042-01-01 00:00:00,2043-01-01 00:00:00,2044-01-01 00:00:00,2045-01-01 00:00:00,2046-01-01 00:00:00,2047-01-01 00:00:00,2048-01-01 00:00:00,2049-01-01 00:00:00,2050-01-01 00:00:00,2051-01-01 00:00:00,2052-01-01 00:00:00,2053-01-01 00:00:00,2054-01-01 00:00:00,2055-01-01 00:00:00,2056-01-01 00:00:00,2057-01-01 00:00:00,2058-01-01 00:00:00,2059-01-01 00:00:00,2060-01-01 00:00:00,2061-01-01 00:00:00,2062-01-01 00:00:00,2063-01-01 00:00:00,2064-01-01 00:00:00,2065-01-01 00:00:00,2066-01-01 00:00:00,2067-01-01 00:00:00,2068-01-01 00:00:00,2069-01-01 00:00:00,2070-01-01 00:00:00,2071-01-01 00:00:00,2072-01-01 00:00:00,2073-01-01 00:00:00,2074-01-01 00:00:00,2075-01-01 00:00:00,2076-01-01 00:00:00,2077-01-01 00:00:00,2078-01-01 00:00:00,2079-01-01 00:00:00,2080-01-01 00:00:00,2081-01-01 00:00:00,2082-01-01 00:00:00,2083-01-01 00:00:00,2084-01-01 00:00:00,2085-01-01 00:00:00,2086-01-01 00:00:00,2087-01-01 00:00:00,2088-01-01 00:00:00,2089-01-01 00:00:00,2090-01-01 00:00:00,2091-01-01 00:00:00,2092-01-01 00:00:00,2093-01-01 00:00:00,2094-01-01 00:00:00,2095-01-01 00:00:00,2096-01-01 00:00:00,2097-01-01 00:00:00,2098-01-01 00:00:00,2099-01-01 00:00:00,2100-01-01 00:00:00
ScenarioMIP,ACCESS-CM2,r1i1p1f1,CMIP6,unspecified,World,ssp245,W m^-2,rlut,0.327088,-0.0796765,0.413225,0.319467,0.583721,0.190283,-0.0705207,0.117023,0.00265256,0.273469,0.297911,-0.529627,-0.412744,-0.482319,-0.0690402,-0.263717,-0.451159,0.10245,-0.405382,-0.364897,-0.0491781,-0.112111,0.414,-0.205864,0.223498,0.0742175,-0.110231,0.0211689,0.0219977,-0.135688,-0.325668,-0.466655,-0.193434,-0.588421,-2.11853,-1.38307,-1.14631,-1.06339,-0.448248,-0.55093,-0.559069,-0.460652,-0.972923,-0.587867,-0.167659,-0.267228,-0.34205,0.151832,-0.057078,-0.0382876,-0.277681,-0.350464,-0.508606,-1.18226,-0.993568,-0.483733,-0.480654,-1.06814,-0.628757,-1.04132,-0.232964,-0.772981,-1.17304,-1.50645,-1.43478,-1.2368,-0.517921,-1.40279,-0.915777,-0.956894,-1.38859,-1.13669,-1.4236,-1.22283,-1.04442,-0.857269,-1.24538,-0.679035,-0.809885,-0.752875,-0.820365,-1.27354,-0.918144,-0.618045,-0.342885,-0.429557,-0.11547,-0.639369,-0.660972,-0.195413,-0.338683,0.074192,-0.0417305,-0.391226,-0.103567,0.0574095,-0.132206,-0.663411,-0.589873,0.0885358,-0.871644,-0.319906,-0.484687,-0.556885,-0.589025,-0.450888,-0.969013,-0.669569,-0.576106,-0.42372,-0.741948,-0.543403,-0.782281,-1.93277,-1.87822,-1.89132,-1.88949,-1.57279,-1.29773,-1.01119,-1.21824,-1.53936,-1.61915,-0.70035,-1.42777,-1.8524,-1.57006,-1.08443,-1.3849,-0.94048,-1.06486,-1.17437,-1.37757,-2.14743,-1.28318,-1.13607,-0.791438,-1.66108,-1.51635,-1.15422,-0.974424,-1.15446,-3.04299,-2.27061,-1.71597,-1.59622,-1.25659,-1.28695,-1.1873,-1.02724,-0.488222,-0.98811,-0.978924,-0.777762,-0.849943,-0.768166,-0.586867,-1.50468,-1.13203,-1.03743,-0.783965,-0.715398,-0.0907147,-0.971566,-0.657109,-0.225217,-0.569511,-0.720989,0.0571549,-0.627479,-0.406648,-0.375271,0.106987,-0.130625,0.0899693,0.154613,0.0088515,0.242174,0.331246,0.283167,-0.0712657,0.413036,0.158156,0.284872,0.608703,1.03243,0.125591,0.210437,1.02623,1.12287,1.15522,1.09905,1.38021,1.58124,1.01945,1.51706,1.3714,1.72724,1.64134,1.64891,1.59565,1.85509,1.69616,2.194,1.9026,2.16032,2.53271,2.0932,2.47057,3.08618,1.83539,2.04003,2.80763,2.18572,2.10744,2.67186,2.24088,2.0844,2.59985,2.95382,2.8979,3.18877,2.83097,2.8657,2.77759,2.97307,2.9028,3.07261,2.31555,3.35498,3.1696,3.28419,2.82948,3.40564,3.12385,3.50878,3.08918,3.39563,3.53391,3.61178,3.29918,3.73083,3.82216,3.81976,3.81244,3.44384,4.14735,3.54839,3.82786,4.11917,3.90272
ScenarioMIP,ACCESS-CM2,r1i1p1f1,CMIP6,unspecified,World,ssp245,W m^-2,rsdt,0.0280766,0.0170857,0.0244515,-0.00341981,-0.0307814,-0.0475636,-0.0440029,-0.0403167,-0.00709312,0.0201331,0.049343,0.0375989,0.0132763,-0.00190745,-0.00624453,-0.0254533,-0.0316449,-0.0411133,-0.0125988,0.0140972,0.0164941,0.0362259,0.0342682,0.00813112,-0.00874198,-0.0403441,-0.0449649,-0.0618246,-0.0736584,-0.0721281,-0.0354385,-0.00553453,-0.0139556,-0.0204796,0.033687,-0.0023185,-0.0347467,-0.0556823,-0.0542241,-0.0652645,-0.0589357,-0.00941439,0.0407689,0.0649068,0.103771,0.0663277,0.0250248,-0.0153868,-0.0304294,-0.0492593,-0.0590388,-0.0762349,-0.0725174,-0.0374645,0.03668,-0.000316823,0.0470784,0.0192906,0.0461056,0.00490924,-0.0193407,-0.0556099,-0.0608284,-0.065622,-0.0392128,0.0376152,0.109587,0.142413,0.150689,0.0847251,0.0337552,-0.0114751,-0.0464569,-0.0550934,-0.0309985,0.00197636,0.0575655,0.103174,0.0822072,0.0578744,0.0593438,0.0135869,-0.0089262,-0.0307788,-0.0157295,0.0349908,0.157028,0.157064,0.134874,0.129613,0.100173,0.0615906,0.0239874,-0.0135168,0.00668129,0.0679088,0.0995488,0.188375,0.228961,0.189802,0.124579,0.037726,0.0425,0.0092424,0.00892078,0.0613647,0.187225,0.291,0.303781,0.241545,0.207949,0.106322,0.039584,0.0166258,0.0153971,0.0129929,0.0624048,0.124179,0.166519,0.163802,0.166589,0.110716,0.115925,0.0518981,0.0238781,0.0234992,0.023617,0.0745891,0.163212,0.239581,0.233131,0.231155,0.145162,0.141029,0.0495817,0.0089751,0.0126348,0.0328946,0.130726,0.242593,0.220357,0.215958,0.186104,0.0812844,0.0241387,0.0119881,-0.00282104,0.0212144,0.112316,0.178872,0.237908,0.209679,0.221263,0.0992444,0.0555305,-0.00478634,-0.0169828,-0.0405217,-0.0359973,-0.0440832,-0.000598871,0.0653805,0.102539,0.109899,0.128805,0.0701499,0.00690603,-0.0201518,-0.0283507,-0.0305271,-0.0111704,0.0521441,0.12921,0.172487,0.200043,0.149038,0.0995103,0.0484472,0.0380895,-0.0028769,-0.0213783,-0.0397549,-0.0266393,0.00801864,0.0823255,0.0898118,0.133452,0.0903513,0.0907302,0.0412758,0.00537697,-0.0423294,-0.0537486,-0.0493475,-0.0157742,0.0469759,0.0945713,0.146803,0.162377,0.109816,0.0423793,0.00822802,-0.013388,-0.0431005,-0.0350848,0.00456802,0.0647167,0.0583853,0.0668545,0.0715132,0.0385812,-0.00475969,-0.0347595,-0.0458906,-0.0404975,-0.0356236,0.0193356,0.0680337,0.1062,0.0863339,0.0555912,0.0104697,-0.00192204,-0.0253165,-0.0489556,-0.0594201,-0.0598691,-0.0550551,-0.0199922,0.0162775,0.0531871,0.0470696,0.0459373,0.0166026,0.0122512,-0.037822,-0.0616251,-0.0645606,-0.0520227,-0.0271785,0.0263194,0.0651615,0.126579,0.0973652,0.0532375,0.0184578,-0.0135325,-0.0346843,-0.0482907,-0.0305573,0.0130046
ScenarioMIP,ACCESS-CM2,r1i1p1f1,CMIP6,unspecified,World,ssp245,W m^-2,rsut,-0.498356,-0.528236,-0.484898,-0.168544,-0.266642,0.0111168,-0.37978,-0.20146,-0.10077,-0.18803,-0.125578,0.618217,0.754898,0.554906,0.147525,0.264853,0.10256,0.314858,-0.0421111,0.108301,0.0197114,-0.291875,-0.0274867,0.59736,0.149585,-0.274154,-0.157279,-0.287586,0.0191561,-0.0447798,0.462577,0.112642,-0.197013,1.91925,3.84594,1.65099,1.0126,0.522502,0.526949,0.223648,0.248067,1.19628,0.889541,0.504577,0.518575,0.105847,0.0931253,-0.139994,0.275939,0.0538973,0.00984073,0.184874,0.650376,1.9977,1.3634,0.645645,0.671556,0.995434,0.864014,0.847122,0.557225,0.676721,1.92492,1.67634,1.60865,1.07268,1.13024,1.27811,0.892968,1.16172,1.14054,1.14324,1.09441,1.02814,0.829809,0.837011,1.01919,0.570758,0.519402,0.926291,0.933433,0.79069,0.362948,0.17237,0.192204,0.311968,0.493824,0.523494,0.191273,0.105765,0.160614,-0.198313,0.679507,0.428785,0.146579,-0.122515,0.257268,0.580264,0.729101,0.751061,0.753818,0.491179,0.509462,0.379696,0.924721,0.811989,0.966635,0.816085,0.905614,0.738418,0.893751,1.17396,1.45172,3.20621,2.56276,2.27099,1.51895,1.63309,1.41108,1.4746,1.51931,1.91766,1.27896,1.19542,1.52504,1.86735,1.5029,1.15982,1.01146,1.23683,1.2166,1.234,1.52196,2.16143,1.65278,0.963082,1.00083,1.33821,1.00112,0.737516,0.576901,2.27413,4.26275,2.3778,1.31387,0.852133,0.540114,0.851918,0.508381,0.530698,0.215417,0.556576,0.288674,0.213567,0.414313,0.413282,0.508155,0.51031,0.160983,0.395878,-0.132032,0.0746334,-0.0449649,0.13296,-0.36237,-0.362882,-0.350865,-0.593397,-0.544872,-0.445287,-0.481101,-0.822956,-1.0174,-1.14551,-0.858065,-1.08958,-1.43639,-1.43777,-1.37932,-1.34771,-1.28417,-1.49279,-1.22041,-1.62675,-2.17357,-1.49702,-1.15461,-1.88884,-2.42738,-2.3402,-2.43497,-2.36947,-2.91653,-2.67677,-2.73009,-2.77122,-2.52721,-3.07904,-3.05617,-2.90577,-3.0418,-3.22262,-3.60171,-3.63414,-3.65904,-3.60879,-3.824,-3.62416,-3.94681,-4.05825,-3.56095,-4.01275,-4.27944,-4.10704,-3.9532,-4.13425,-3.89373,-3.92194,-4.46962,-4.58402,-4.42465,-4.56842,-4.37675,-4.43464,-4.83774,-4.59249,-4.38525,-4.25737,-4.15669,-4.85441,-4.62995,-4.63736,-4.61018,-4.83094,-4.81872,-4.8597,-4.99122,-4.90194,-4.96606,-5.06565,-5.10305,-5.24319,-5.32266,-5.30029,-5.17709,-5.18629,-5.23802,-5.29791,-5.466,-5.23056,-5.26219
ScenarioMIP,ACCESS-CM2,r1i1p1f1,CMIP6,unspecified,World,ssp245,K,tas,-0.0396792,-0.0244191,0.138934,0.0411222,0.117104,-0.106058,-0.0712499,-0.0052534,-0.0830429,0.0340978,0.00662022,-0.112111,-0.118658,-0.196161,-0.0758345,-0.136305,-0.112895,-0.0108277,-0.160004,-0.0990171,-0.0364614,0.0139241,0.150523,-0.131165,0.0636554,0.0196511,-0.0266286,0.0747076,0.021416,-0.0266821,-0.0764689,-0.0348352,0.0100354,-0.0827439,-0.449981,-0.391797,-0.389181,-0.239039,-0.221013,-0.187467,-0.137566,-0.177259,-0.336905,-0.172812,-0.0900155,-0.069482,-0.0296703,0.0263548,0.0834801,0.0227447,0.0233105,-0.0332004,-0.0107438,-0.211831,-0.21432,-0.190625,-0.115018,-0.258178,-0.210115,-0.29582,-0.10321,-0.137432,-0.390373,-0.4458,-0.593421,-0.421607,-0.2219,-0.503141,-0.282631,-0.318391,-0.3873,-0.394265,-0.481673,-0.298022,-0.248986,-0.207822,-0.295183,-0.126492,-0.175078,-0.086373,-0.182024,-0.259522,-0.0939824,-0.0163421,0.214172,0.109115,0.145829,-0.0329666,0.0354582,0.110986,0.109485,0.262672,0.173297,0.115635,0.207079,0.257941,0.159114,0.0423958,0.0378158,0.129298,-0.052078,0.0506941,0.100313,0.0817905,-0.00443024,0.0174635,-0.097027,0.0149785,-0.0197452,0.0596889,0.118855,0.0757529,0.00248078,-0.200178,-0.281104,-0.283681,-0.29465,-0.205987,-0.030106,-0.0195859,-0.0810453,-0.110779,-0.0114641,0.130902,-0.0531539,-0.0605581,0.0499791,0.0805392,0.0854392,0.229829,0.0995606,0.174979,0.124642,0.0337976,0.161716,0.269833,0.389089,0.114069,0.122458,0.29281,0.393325,0.32577,-0.0488197,0.0694664,0.202012,0.241928,0.428749,0.297318,0.357692,0.462217,0.613969,0.495191,0.476499,0.649439,0.491916,0.574703,0.562724,0.405181,0.577095,0.504335,0.676464,0.786697,0.914945,0.614252,0.825749,0.899334,0.791548,0.958834,0.953646,0.884965,0.92662,1.01187,1.16387,1.14062,1.17056,1.22871,1.24732,1.39262,1.38368,1.35114,1.29239,1.44305,1.31889,1.49663,1.59606,1.60187,1.33878,1.54173,1.79586,1.74303,1.96367,1.87449,2.04538,2.07047,1.94494,2.06199,2.04917,2.15602,2.17873,2.19335,2.11426,2.26095,2.25203,2.46403,2.33449,2.50982,2.58472,2.47113,2.61127,2.70765,2.40175,2.61901,2.76976,2.60696,2.5835,2.74445,2.57652,2.67154,2.80257,2.88422,2.91183,2.97515,2.89211,2.87364,2.9439,2.9428,2.9727,2.86871,2.73204,3.0801,3.02793,3.08559,2.95574,3.13127,3.0919,3.20128,3.15208,3.24781,3.19137,3.2356,3.21996,3.29755,3.27837,3.29431,3.255,3.33226,3.45811,3.29286,3.3848,3.40949,3.38366
ScenarioMIP,ACCESS-CM2,r1i1p1f1,CMIP6,unspecified,World,ssp245,watt / meter ** 2,rndt,0.19934460000000004,0.6249982000000001,0.0961245,-0.15434281,-0.34786040000000007,-0.2489634,0.4062978,0.04412029999999999,0.09102432,-0.06530590000000003,-0.12298999999999999,-0.05099110000000007,-0.32887769999999994,-0.07449445000000005,-0.08472932999999999,-0.026589300000000038,0.3169541,-0.45842130000000003,0.4348943,0.2706932,0.0459608,0.4402119,-0.3522451,-0.38336487999999996,-0.38182498,0.15959240000000002,0.2225451,0.2045925,-0.11481219999999999,0.10833970000000001,-0.1723475,0.34847847,0.3764914,-1.3513085999999999,-1.6937230000000003,-0.2702384999999998,0.09896330000000009,0.4852057000000001,-0.13292510000000002,0.2620175,0.2520663,-0.74504239,0.12415089999999995,0.14819679999999996,-0.247145,0.22770870000000004,0.2739495,-0.027224799999999993,-0.2492904,-0.06486900000000001,0.20880147,0.08935510000000002,-0.2142873999999999,-0.8529045,-0.3331519999999999,-0.16222882300000002,-0.14382360000000005,0.0919966000000001,-0.18915139999999997,0.19910724000000002,-0.34360169999999995,0.04065010000000002,-0.8127083999999998,-0.23551199999999994,-0.21308280000000002,0.2017351999999999,-0.5027319999999998,0.267093,0.17349799999999993,-0.12010090000000007,0.2818052,-0.018025100000000016,0.28273309999999996,0.13959659999999996,0.18361249999999985,0.02223436000000001,0.28375549999999994,0.21145100000000006,0.3726901999999999,-0.11554160000000002,-0.0537242,0.49643689999999985,0.5462697999999999,0.41489619999999994,0.13495149999999997,0.1525798,-0.22132599999999997,0.27293899999999993,0.604573,0.219261,0.278242,0.18571160000000003,-0.6137891,-0.051075800000000005,-0.036330709999999974,0.1330143,-0.025513200000000014,0.27152199999999993,0.08973299999999995,-0.6497948,0.24240499999999998,-0.13354699999999997,0.01772499999999999,0.18643139999999997,-0.32677522000000003,-0.2997362999999999,0.18960299999999997,0.14448399999999995,-0.025727000000000055,-0.07315300000000002,0.05614600000000003,-0.5242349999999999,-0.6298549999999998,-1.2568142,-0.6691429,-0.3666771,0.4329447999999998,0.06387900000000002,0.053169000000000244,-0.2996079999999999,-0.13448099999999985,-0.2675839999999998,0.45611500000000005,-0.44317189999999984,-0.07339190000000007,0.008549200000000035,0.09077700000000011,-0.0008008999999999933,0.536652,-0.05676900000000007,0.08139099999999999,0.17152499999999993,0.0007719999999999949,0.12702899999999984,-0.32001829999999987,0.18196309999999993,-0.1967572000000002,0.3557646000000001,0.6459560000000001,0.659297,0.61788,-0.9037119999999998,-1.0336559999999992,-0.025905600000000195,0.42623869999999986,0.7560750999999999,0.7136549600000001,0.45624640000000005,0.791235,0.675414,0.510713,0.641213,0.911513,0.6634393999999999,0.4911605,0.35009766000000003,0.06172920000000004,0.9538483,0.9350497000000001,0.5974688000000001,0.9153981290000001,0.7061451,0.2382186,0.948505,1.148284,0.6582489,0.92728203,1.2942342,0.45936640000000006,1.0422389,0.8765786,1.2503711000000002,1.0396230000000002,1.448622,0.9681387,1.0840049999999999,1.5270488,1.2440432000000001,1.0861635000000003,1.0616661,1.3340574,1.0399991000000002,1.0356147,1.3498966399999999,1.6471924999999998,0.5544018000000002,1.1624709999999998,1.7687543000000001,1.4918801999999998,1.2586058,1.2851269699999999,1.2280906000000003,1.4825713999999999,1.0461824999999998,1.6948658,1.3011359,1.2503813000000004,1.4986029999999997,1.577207,1.3666759999999998,1.4885292999999997,1.37575802,1.8921620000000003,1.3970395,1.7213552,1.4530380199999997,1.3560067,1.5893452999999997,1.5430945,1.0435832,1.7641411999999999,1.9679603099999996,1.4370505000000002,1.8754293999999998,1.8052625,1.4267663999999995,1.6721855999999997,1.9055737000000001,1.9759700000000002,1.7165338999999995,1.5823412000000001,1.3901196999999996,1.54385796,1.5436235000000003,2.0111944,1.5599999000000002,1.4225808999999998,1.1297049000000001,1.8211478000000003,1.5157075,1.5135370999999997,1.4002396000000004,1.8266372999999998,1.4419025999999997,1.7071211999999996,1.313098,1.8404149000000007,1.4417493999999995,1.3801272999999994,1.4266915,1.8301894,1.5775215000000005,1.6270790000000006,1.5778952,1.4178874999999995,1.7609078,1.0771374999999992,1.7148356999999996,1.5898493000000005,1.0808326999999993,1.3724746000000008
ScenarioMIP,ACCESS-CM2,r2i1p1f1,CMIP6,unspecified,World,ssp245,W m^-2,rlut,0.345338,0.292751,-0.3606,0.246982,-0.266088,-0.147919,-0.0873631,0.0993727,0.507341,-0.0425393,-0.244738,-0.264761,-0.0807602,-0.234241,-0.595077,-0.254806,-0.600247,-0.471135,-0.549,0.242437,0.129979,-0.0906755,0.00194939,0.0256305,0.0750127,-0.528319,-0.612494,-0.574046,0.0996472,-0.698572,-0.454597,-0.40211,-0.383931,-0.813947,-2.36269,-1.65917,-0.841493,-0.60947,-0.424997,-0.580449,-0.463706,-0.679862,-0.1346,-0.575318,-0.376779,-0.0665633,-0.403786,-0.255176,-0.600245,-0.279206,-0.756556,-0.342128,-0.69856,-0.919205,-0.82261,-0.264397,-0.831692,-0.674419,-0.57226,-0.875382,-0.259879,-0.778157,-1.165,-1.4119,-0.944765,-1.58456,-0.997233,-0.617241,-0.545227,-0.388709,-0.271369,-0.327851,-0.506059,-1.01777,-0.0173179,-0.61442,-0.599065,-1.00603,-0.607405,-0.239977,-0.512263,-0.161565,-0.671699,-0.21009,-0.109099,-0.166547,-0.198823,-0.29432,0.130533,-0.192931,0.0409053,-0.377924,-0.044932,-0.652929,0.0213712,-0.549392,-0.258985,-0.152146,-0.649905,-0.278147,-0.251086,-0.480517,0.0164486,-0.346018,-0.590803,-0.298578,-0.52152,-0.668689,-0.96004,-0.633368,-0.855596,-0.813277,-1.06547,-1.82453,-1.67038,-1.75451,-1.62246,-1.64081,-1.18509,-1.23425,-1.77142,-1.40151,-1.61116,-1.47106,-1.92654,-2.32697,-1.92738,-2.0085,-1.41538,-1.12427,-1.60915,-2.04238,-2.06015,-2.79995,-1.84811,-2.07421,-1.2033,-1.48981,-1.8308,-1.1497,-1.23377,-1.15637,-2.78135,-2.38182,-1.67621,-1.9932,-2.04047,-1.23485,-1.03554,-0.835943,-1.34355,-0.772685,-0.776587,-1.04775,-1.14731,-0.917797,-1.2128,-0.815516,-0.985833,-0.97429,-0.67339,-1.08852,-0.609274,-0.395445,-0.518417,-0.741693,-0.190316,-0.632882,-0.449218,-0.362714,-0.0716437,0.324332,0.306795,0.0380641,0.108929,-0.324834,0.217582,0.0972828,0.764735,-0.103003,0.0284261,0.127984,0.361581,0.277,0.694584,1.15873,0.691942,0.460834,1.15456,0.643929,1.22591,1.04845,0.87486,1.07989,1.15792,1.37399,1.63306,1.24647,1.67866,1.733,1.59919,1.78253,1.8476,1.75121,1.74038,1.92604,1.95831,2.27309,2.12823,2.62066,2.11205,2.48975,2.31789,2.16656,2.62992,2.58223,2.82082,2.11944,2.90424,3.06741,2.90932,2.79983,2.77192,2.48581,2.94067,2.59487,2.87298,2.72994,3.2437,3.16375,3.71393,3.37731,3.50384,3.4456,3.3784,3.89751,3.12728,3.27135,3.71829,3.28893,3.37169,3.40467,2.99094,3.59359,3.70437,3.47147,3.73737,4.19175,3.8921,3.72004,3.90084
