,gamma,c1,c2,c3,kappa1,kappa2,kappa3,epsilon,sigma_eta,sigma_xi,F_4xCO2,r0,rU,rT,rA,ari BC,ari CH4,ari N2O,ari NH3,ari NOx,ari OC,ari Sulfur,ari VOC,ari Equivalent effective stratospheric chlorine,shape_so2,shape_bc,shape_oc,beta,o3 CH4,o3 N2O,o3 Equivalent effective stratospheric chlorine,o3 CO,o3 VOC,o3 NOx,scale CH4,scale N2O,scale minorGHG,scale Stratospheric water vapour,scale Contrails,scale Light absorbing particles on snow and ice,scale Land use,scale Volcanic,solar_amplitude,solar_trend,co2_concentration_1750
1715,19.036025945202177,4.578324602139388,20.142983498903323,77.55983992490786,1.6425675053946538,4.079574817996623,1.3610916944125575,1.7493768518763069,1.7838901376867258,0.5236389896761025,9.16336668300834,30.72668071220408,0.0050440355325259,2.3881836750711005,0.0016880035968135,0.0368032432801328,-1.19154910107017e-06,-1.9269530893248557e-05,-0.0003528988238645,-4.81785742434957e-06,-0.0026694606430316,-0.0039747447684704,-9.186250422242924e-06,-4.837909194235156e-06,0.0236854133096301,0.3455696547568565,0.0086793053986856,-0.0576751290461568,0.0001503082155598,0.0009377476237148,-0.0001122283269286,0.0001250583993646,0.0002574596899033,0.0017370145501323,1.157728535529135,1.1575141982281951,0.9765996647524626,1.3761425713828908,1.109082364432356,-0.31290383594302,0.5964162412477392,0.563199799292498,0.6346931927398489,0.0134489840949709,279.90913992254536
3222,8.50914419407624,2.49663075568968,3.187491943256778,114.89594927415123,1.178326319032501,3.473129864701027,0.911444216445441,1.5186038852981762,1.1729901633249948,0.3666790655815198,8.139788276434826,31.80369783927844,0.0039741037282438,4.107688514938315,0.001000595067717,0.0365622753534479,-3.557080418616228e-07,-3.619804957798307e-05,-0.0007506006719949,-4.4192065041028105e-05,-0.0052089321525332,-0.0044224151063354,-2.2185237279811117e-05,-8.08284484271207e-06,0.0167069525613034,0.0784447303922637,0.0302437650273027,-0.9562583278208556,0.0001585105008903,0.0010981049272749,-3.2196373732432797e-06,0.0001776320718898,0.0003398622631189,0.0020523580086718,1.369735380479293,1.0018703860554627,1.120454541909783,0.2989640487883875,1.55702448711966,0.9203115958466024,1.4609419654171127,1.0192516911195653,1.207678204734535,-0.0099329307928602,278.7920035837185
4623,16.10665369050676,2.992189731517745,27.18595476740342,83.73351162857776,1.8298244041187035,5.377563107488367,1.115076224883134,1.431450206120166,1.56056636240755,0.4755667952133258,8.950894791296117,35.90651136716155,-0.0001832467941424,0.4075834944442233,0.0037525269760434,0.0118710408469435,-1.1489253359301635e-06,-1.482943702191514e-05,-0.0005668979669161,-0.0001332518802867,-0.0055432239096067,-0.0014745827774951,-2.191505966681601e-05,-8.34981924688879e-06,0.0088127978610671,0.0318500338924901,0.0298683889668027,-0.6128885443744344,0.0002212507859192,0.0006625944356771,-0.0001858048147055,8.378604374541112e-05,0.0006797069232029,0.0029238721623265,1.006160072815151,1.110639565760932,1.1868471258638882,1.0540161620282684,1.741899071379471,1.598433562971028,0.7667399722576469,1.071563200489699,0.8948922110520144,0.0293786219296059,280.50922319146895
5030,16.160625043479165,4.079227007123389,14.821551679202877,104.5706500333658,1.1867552430880917,2.8784877733214973,0.9953075195641186,1.4039700741495993,2.124849149902712,0.6866989433761574,7.637564930150461,34.45073799133709,0.0057468367058228,2.779215586254283,-0.0010421128701092,0.0292328096221118,-3.012130285431137e-06,-3.093937457415236e-05,-0.0008563731628782,-9.109509308227908e-05,-0.0044276922904046,-0.0020628112077953,-6.763557151124057e-06,-1.3255614884581629e-05,0.0172876551133054,0.0171718547202284,0.0100752115659552,-1.246489452115691,0.0001676322679193,3.1943794291414205e-05,-0.0001127352571754,8.133689300148081e-05,0.0006071640144808,0.0015516657277243,0.9482762008010214,1.1317820963093983,0.864717686383189,0.6174946330936051,0.671318724670934,1.9587696854778056,0.9869220232121618,1.1267225752783576,0.5474631541742073,-0.0825379364929083,276.87777333768446
5373,2.9627847600269157,3.3463891515358006,5.805348227319783,54.19200057877872,1.4111721956939582,3.4663610555471043,0.9742864707327952,1.5052782951897148,0.4893845123780546,0.3966267007628072,8.04272414225127,39.09901225189432,-0.0040904186555828,-2.0608151078755585,0.0061613226039111,0.0280533409906298,-5.73416961173155e-07,-2.4635242562716187e-05,-0.0010134774716237,-3.53883015014306e-05,-0.0074544195473106,-0.0031716322381824,-2.1906536232899238e-06,-1.7053055198795097e-06,0.0070888648752943,0.0379739793006375,0.0288888303742032,-1.5114074140070244,0.0001842406349388,0.0005557300735904,-3.2024058303028004e-05,0.0002497504350083,2.8260816613907734e-05,0.0021228812176964,1.177808664132423,0.978547346479076,1.0416646983816884,1.754948893622284,1.2651688374421446,0.3604533678661568,1.332824800063962,1.0079423306804085,0.632705384666193,0.0404698410880892,280.98318708433885
6476,1.3380489711907315,4.877091495170178,7.252420431329344,64.84478326390621,1.2267025040424295,2.2229633277480656,1.2285282099722572,1.436906361811475,0.7472888675372578,0.2920765371968798,7.201927927508593,36.5310612617258,0.0004430652007396,-0.4429601792168179,0.0045825818255302,0.0227517370422418,-3.6873244651474743e-06,-4.8227713053286194e-05,-0.0007385162556413,-0.0001057186638761,-0.0062037267145592,-0.0044964204819341,-2.3655158667389296e-05,-8.705815559098003e-06,0.0105444907048952,0.0826231951244577,0.0167928339180977,-1.1181920210435508,0.0002089225335227,0.0001810248164887,-0.0001169853027083,0.0001398258654272,9.673715509911792e-05,0.0011788561346588,0.8931731880202315,1.0036642195369945,0.9953026442339424,0.8013437248485511,0.8301315935450813,1.8553561479098937,0.8322809094597123,1.204945203422544,0.787684490377309,0.0165298893152707,278.0912185970376
7199,26.779914010780487,1.846453897071415,20.24525013879425,53.55736809271113,1.5905527530188543,4.952122550310522,0.8461077268258429,1.3567592834551991,2.7231995795450823,0.5777322780244323,9.521892928679254,29.7028809877883,0.0089542297743372,4.409731415652981,-0.0013258879140524,0.0095618123128978,-1.269670331262969e-06,-6.581125270035647e-05,-0.0007181623666232,-5.903846187929749e-05,-0.0003504843522846,-0.0024870744848889,-2.625228169830711e-05,-2.165029296539953e-07,0.0374254353983196,0.2721567095268856,0.017770460106483,-0.3136070991353243,9.78279356426324e-05,0.0007400463197229,-2.6843568733652933e-05,7.01541515424889e-05,0.0004725320824623,0.002256148521488,0.959916535087263,1.0925921817582132,0.9540553381737148,0.7259145043514819,0.9122983747532354,0.6258827223900859,0.670766336471353,0.978833927557185,1.179132567307884,-0.029430844677336,276.8956077765883
8675,1.9014863799808757,6.400711035302149,20.26656138456416,29.73915526348206,1.4297242029473498,1.010703930124911,1.6096309788327443,1.763862386507593,0.5444210294486365,0.3966490459524062,8.190394995702688,31.089804034937472,0.0068901328623133,4.504219303389832,-0.0011663570521089,0.0020011886861276,-2.734445145958658e-06,-6.325935509976884e-05,-0.0011209430170172,-6.500733783885e-05,-0.0058988364701978,-0.0051675752757818,-3.107466678480004e-05,-1.499074446974864e-05,0.0084963856979639,0.0357008193630056,0.0305111454537512,-0.8292353248751309,0.0001910378153951,0.0005011635659849,-0.0001652149848909,0.000165616063516,0.0002988578701391,0.001969274919118,0.8421770023339223,0.8915275324572586,1.1761587348887892,1.3164300504620463,0.7406660873707942,1.032516358509571,1.0103790102372203,1.388495222725503,1.6727729693958089,0.0431590773348966,278.9509482191479
9060,8.830025461821212,4.367031821672311,12.44732638801095,71.05706934547122,0.9270469318160628,3.558903803075937,1.278490352357296,1.3929753941719445,1.420166589328074,0.7356755909081488,7.496975591143584,31.340660324167537,0.0044872923602362,0.7074867254323041,0.0035095179635598,0.0284351571203585,-3.4231327483276977e-06,-1.129277807656432e-05,-0.0010497606511467,-2.9722827295254584e-06,-0.0072094974204496,-0.0024522222081578,-6.585389864532705e-06,-1.1929306211822544e-06,0.0044059186196086,0.5143383745914861,0.0041273005764111,-1.2193265892707708,0.0001893438344158,0.000700597676051,-9.824446073566788e-05,0.0002676728657185,0.0002320982394258,0.0015766347772442,1.0505742540049827,1.0336823338966814,0.9080288535991023,0.8757215460662182,1.488012974448857,0.4246017745196897,1.343353344262855,0.952834264644151,1.3258368553252196,-0.0415699335415182,281.0315650280995
9458,5.168463556729506,3.962921188356413,11.5537791082525,117.8790963111528,1.3222047751625308,2.4885972875420213,0.7821004546587293,0.8919974638272881,0.789758251266641,0.5090987286577511,7.475493613229797,31.01418139514925,0.0055714147717776,4.462650045359478,-0.0002298574994883,0.022483569096668,-2.5476006003363797e-06,-4.657903204838127e-05,-0.0008122599776175,-3.9393268822472346e-05,-0.0022204938049505,-0.002660058506836,-1.514417417932874e-05,-1.098901847995363e-05,0.0095715692019929,0.0386889684419206,0.0193336910794432,-2.1557804278735526,0.0001440403268553,0.0006272687355784,-8.005786356299276e-05,6.275375317907515e-05,0.0002883466585835,0.0023794658630601,1.1912193809783904,1.0434771231291675,1.1912871374263097,1.5160099818213526,0.6422319332546191,1.602058480469054,1.0053866790620023,0.9649987880244162,1.2396532546681371,0.0422960402088881,280.03532111977734
