,gamma,c1,c2,c3,kappa1,kappa2,kappa3,epsilon,sigma_eta,sigma_xi,F_4xCO2,r0,rU,rT,rA,ari BC,ari CH4,ari N2O,ari NH3,ari NOx,ari OC,ari Sulfur,ari VOC,ari Equivalent effective stratospheric chlorine,shape_so2,shape_bc,shape_oc,beta,o3 CH4,o3 N2O,o3 Equivalent effective stratospheric chlorine,o3 CO,o3 VOC,o3 NOx,scale CH4,scale N2O,scale minorGHG,scale Stratospheric water vapour,scale Contrails,scale Light absorbing particles on snow and ice,scale Land use,scale Volcanic,solar_amplitude,solar_trend,co2_concentration_1750
128,9.276208408649747,4.270248626331111,12.262181019360174,29.656203438724734,0.5979972539891986,3.990005000485108,0.9860485667691816,1.8718502235697283,1.472934268788079,0.4819115389764895,7.425649613088756,35.038051198952346,0.0085840594259741,5.097155657610092,-0.0006698589102621,0.0273729362944991,-1.675106181665583e-06,-3.29321004882658e-05,-0.0004398308123361,-0.0001224868235721,-0.0023044323044097,-0.0029903265559466,-9.541065469186776e-06,-4.7108019167732645e-06,0.0026688219713939,0.354306389130355,0.0025901420539246,-1.7644955915332623,0.0001905249509037,0.0004313894273944,-5.16066876459682e-05,0.0002294940249216,0.000233877562106,0.000617397706212,0.8816072413499211,1.0875442013683183,0.8558030497886411,1.7041727830635385,0.5330806981510469,1.4365683605499655,0.92735468237681,0.8971061470120906,0.2252695302132147,-0.0346261185961348,277.5699825703892
2723,2.2793278867890567,5.336626023279067,12.60649250850902,88.14167117338366,1.0451725269479888,4.334024020202752,1.1967367159096776,1.6795878780844915,0.599019413077277,0.4864299228285439,8.833500590781465,37.620611646269566,0.0070485633020388,2.249352072907364,-0.0014275862009811,0.0136654627578526,-3.829514423293561e-06,-5.130060037919439e-05,-8.961804201669727e-05,-0.0001162519421223,-0.0066954518065397,-0.0047531233355243,-1.841461362155528e-05,-1.721870045908597e-06,0.0195146129005663,0.2532974473383231,0.0066693314129544,-0.6104266528590878,0.0001682263183591,0.0005586653719788,-1.0872711762382648e-05,0.0002461889310965,0.0001657898371007,0.0010025675728155,0.9105763254602512,1.065736234338349,0.9938660821296466,0.7606680326876772,0.2419779069562821,0.391633858985938,0.6943680909097281,1.1338695934653378,1.5193013214028892,0.0530049387220596,275.2313890259519
4007,4.40007307720307,5.1692335910802,16.617029090779237,95.87289205493136,1.30669717958248,2.6541978925712364,1.0404130633973117,1.6211651976952124,0.7319627127742587,0.5009371476164021,8.513215415250313,36.892924167854616,0.0062423934168586,1.8099831818394112,0.0006471405398676,0.0013661180850816,-2.1315894144529805e-06,-1.421132066637416e-05,-3.3647083527643066e-06,-3.21548746766617e-05,-0.0049581552095942,-0.0006440874305039,-1.6386961803711387e-05,-3.2811644953537816e-06,0.0162706188802356,0.1205824576146849,0.0075782844354783,-1.1456810496803247,0.000219312787948,0.0007169511855633,-0.0001353942486933,0.0002115132297134,0.0003378507104307,0.0014036770818521,1.1352279078970973,1.0328480705679182,1.0213554031186474,0.8901801475790017,0.9226950251690152,0.4111242217448893,1.2570343571708469,1.089015106367971,0.7404046772632771,-0.0239953121942376,276.4252648149824
5263,4.571949446231812,5.571578881750603,42.74060185389571,77.16119970054478,0.9344207255434432,2.459047289158604,1.4289378810449953,1.426755540275731,0.6709285268695083,0.6986908092633904,7.642827373210324,30.57009931519369,0.0096128064968882,4.4175590008218775,-0.0005841783078176,0.0079944989215808,-4.182400571324629e-06,-4.79951509815528e-05,-0.0001470885935126,-4.7401279017492246e-05,-0.0046300846192188,-0.0008899945111339,-2.040067025494243e-05,-8.587321722085714e-06,0.0123259283591088,0.0572432092986173,0.0059296648546026,-0.8535465746972657,0.0001670775601366,0.0006335319403762,-0.0001857324536542,0.0001139905346447,0.0004152383443853,0.0010575113825142,0.900379239025208,1.0043876001461698,1.0706535748498456,0.2114715724265544,0.8450690750925904,-0.3058289883620446,1.0332769637247337,0.8178941094883598,1.23911484752776,-0.0285151049183721,281.1765901836511
5961,2.045448632546348,3.4134224263886286,47.085918629790285,16.986375965509637,1.6905294143735563,2.4788654372856898,1.1140825308667783,1.0962361773599825,0.4933991480918329,0.4041424755931385,7.372125790247017,38.68619145671628,0.0001440850700812,1.843316689453478,0.0026991588707189,0.021595730666914,-8.720546498194652e-07,-5.634676619598337e-05,-0.0005235758721777,-6.8613931879164575e-06,-0.0009696237006023,-0.0028992949729624,-4.169809671116903e-06,-2.727657617970444e-07,0.0026381050143739,0.275796997007914,0.0027228760446523,-0.6307423990989051,0.0001825931683705,0.0005251339866894,-0.0001523146462406,0.000102334646816,0.0001761598649947,0.0009505412975681,0.9337300001264358,1.0011575940515414,1.0364895038623554,1.54473706807603,1.0550799173192282,0.5554544780795984,1.298872587557908,0.6768722741555587,1.9306920082751369,-0.0024163876523726,278.8353421825102
5975,27.78214644336527,2.257520504626875,14.52947067754696,44.06573843465364,1.9700658251505525,5.911487951348672,0.6602276086759539,1.3575212142897348,2.739416108885336,0.3526706826918864,8.49798782479532,31.04194488515206,0.0126178014787194,2.8256457563445805,-0.0032259404399267,0.0328699696595474,-3.314426592389398e-06,-3.431753326644734e-05,-0.0010860681245663,-5.318685459296168e-05,-0.0013825818864248,-0.0026712807492396,-7.1784573758756695e-06,-1.4675367920039213e-07,0.0129798789307908,0.6657948635132616,0.0034889705467787,-0.3848237877198428,0.0001789243835934,9.319521678173126e-05,-0.0002195353920886,0.0002083762520663,8.745650544551947e-05,0.0001630462681101,0.9441840025420573,1.0284524193885771,0.9258947010895664,0.2584170473286791,0.8160915251575701,1.0910266876818149,0.9540129490303332,1.0632669917860074,0.6739399812702693,-0.0042611985012531,280.8112389335284
7620,10.538552202246038,5.234642981090156,21.763379429401773,132.46943469284983,1.2015820697743635,2.48542782738892,0.9900837423046344,1.468854912630561,1.214555575879564,0.5514716771962027,8.368914916204506,40.656239825525816,-0.0011809072126769,1.3032687550393425,0.003482134922666,0.0376005224432538,-3.81625416931765e-06,-1.2171505792757858e-05,-0.0005078793059107,-6.678752373344558e-05,-0.0071870909174074,-0.004262914056654,-2.088655915465993e-05,-7.300302145939246e-06,0.0002956384944075,0.3975677575211966,0.0078984556659128,-1.0829273811353326,0.0001873816563569,0.000426293041354,-0.0002600476727045,0.0001262333123914,0.0002900304261257,0.001605346431541,1.0769781994292935,0.9717151844049176,1.010126034351416,1.108156716543775,0.7776134029661886,1.4278869050489442,1.2122707069103065,0.7914634556825639,0.8255827438293768,0.0048859411007575,276.6891163588054
9719,2.704566936461471,4.151891825171866,36.04067974293021,70.32409550225353,1.225255741755313,6.661267220156953,1.0976973656230362,1.4111180293065289,1.008436441116928,0.3928488259082586,8.082345085031337,39.5276556559085,-0.0029001889110704,-2.46832642649231,0.0072575686842139,0.0194403754578289,-4.043215329834918e-06,-6.096022143963224e-05,-0.001071829047082,-0.0001215331787347,-0.0069451860461265,-0.004050989796115,-2.5231842841983973e-05,-1.2922413635957525e-05,0.0003927496447794,0.1558934282671215,0.0049297251698679,-1.4561822595639111,0.0002872736032,0.0009844791989486,-0.0001078107974966,0.0001966778676602,-3.507268559781201e-05,0.0015628420298258,0.7725017692606913,1.029051061113041,0.9112938035749868,1.5238026634972468,0.8463988370120368,0.7459870178973343,1.0250765247750753,1.0895011781562975,1.157954842810181,0.032923971751084,280.5138845671863
12996,4.498181815843825,2.4965716035274284,17.108259331131215,45.93542396798297,1.750820355843476,4.546791524823332,1.051775077339024,1.3180634533459743,1.2243456049032069,0.2639602403120021,8.9629957378297,35.816639111845774,0.0055973546745395,1.2953546429678622,-0.0001211712251404,0.039289324425104,-3.855765235019978e-06,-7.002900782600875e-05,-0.0002604808271664,-8.36965196126011e-05,-0.0004774592759049,-0.0056760389401772,-3.0714566132168384e-05,-1.0035588215501216e-05,0.0307968411930595,0.0815327858453234,0.0412468732277793,-0.0821086047442627,0.0001294681721917,0.0004107111000262,-0.000140929345826,0.0001642337993701,0.0001686059769689,0.0018864979076543,1.262395050662373,0.9469988683685672,1.101479781364146,1.3187220997141962,0.919563215173479,1.090737902416144,0.594818864524983,1.0317908289857554,0.936844905295062,-0.0219986443069438,279.7810893070647
13735,5.884621983015308,2.9677832149824903,14.540761906190015,70.38528303770079,1.1004910164837844,4.261158275516675,1.3604841010347828,1.9119032160211504,1.0808362451553208,0.3532933173223779,7.441072825892218,37.979230972919126,0.0036706129724595,1.0701506885507217,0.0026711715921403,0.0080025548260995,-2.5874117292248043e-06,-3.277114038477656e-05,-0.0010797136286507,-3.981158298332957e-05,-0.0029928175993858,-0.0016890587904667,-2.3369282531760055e-05,-2.8996496881884542e-06,0.0093037560473637,0.0058876040517402,0.0247511436786043,-1.2370372973591537,0.000185701297226,0.0011763110204938,-0.0001814934332741,0.0002539635142191,-0.0001503227660816,0.0017907191446487,0.9393242488824064,1.0476768278265516,0.8786460235427772,0.7901085333903596,1.060983642711237,0.2781358488909629,1.0386402237547283,0.9970871819635652,0.7767428205599253,0.0409400464520832,276.31123315995524
