,gamma,c1,c2,c3,kappa1,kappa2,kappa3,epsilon,sigma_eta,sigma_xi,F_4xCO2,r0,rU,rT,rA,ari BC,ari CH4,ari N2O,ari NH3,ari NOx,ari OC,ari Sulfur,ari VOC,ari Equivalent effective stratospheric chlorine,shape_so2,shape_bcoc,beta,o3 CH4,o3 N2O,o3 Equivalent effective stratospheric chlorine,o3 CO,o3 VOC,o3 NOx,scale CH4,scale N2O,scale minorGHG,scale Stratospheric water vapour,scale Contrails,scale Light absorbing particles on snow and ice,scale Land use,scale Volcanic,solar_amplitude,solar_trend,co2_concentration_1750
850,4.376496921258532,5.043174188881929,19.816942995424892,98.3721009585336,0.669129287841425,3.1614638250285427,1.4808418021740697,1.5723820879406474,0.6210820348137183,0.3521187174418207,6.228444904070611,36.69417434637854,-0.0001923022139686,0.0138482881637343,0.0037296541987893,0.0311344555892699,-2.6210794450895027e-06,-5.8208748444795305e-05,-0.0005875104005966,-1.97656188744276e-05,-0.0005013007007947,-0.0005911200269064,-2.881499457913666e-05,-1.056008428199432e-05,146.59274997079547,21.43948578797534,2.781218734977961,0.0001637957778299,0.0006659116738541,-0.0002056211811214,0.0002537169404248,2.6688958338910045e-05,0.0014093183820126,1.1601930146999653,0.8630804251578668,0.998320732209276,1.8464160798317244,0.9787001270341172,0.75169972542993,1.4389439874049068,0.981293196611048,1.2429770981152315,-0.0153807529440452,279.700737048407
1154,2.3056039558136545,3.457317054519029,16.03669879679794,81.53696225899795,0.9396803635967096,2.02840617852571,0.8380748872346113,0.9348574057191834,0.4873393591699672,0.4059622255815085,7.420274002615034,36.29698495423466,-0.0007506329410032,4.317359588904582,0.0017812406920873,0.0184728148683352,-9.181076689259668e-07,-4.45100941171934e-05,-0.000291830656895,-6.702425047542549e-05,-0.0075824496381691,-0.0002100773325835,-2.4399963336686143e-05,-5.21543907642074e-06,160768.87700782475,19982.263855517027,988.6347283620412,0.0001806361406343,0.0006197838679957,-8.32224036295901e-05,-1.783331225136897e-05,0.0002258196128467,0.0014041162534706,1.208912365427732,1.060738080506125,1.0883910900604072,1.4888447288026576,1.0089678864040037,0.8660516608402359,1.1715587620956334,1.048265604991281,0.3375130910208085,-0.0483749654115112,278.38673043236446
1715,19.03602594520218,4.578324602139388,20.14298349890332,77.55983992490786,1.6425675053946474,4.079574817996643,1.3610916944125573,1.7493768518763086,1.7838901376867278,0.5236389896761018,9.163366683008327,30.72668071220408,0.005044035532526,2.388183675071101,0.0016880035968135,0.0368032432801328,-1.19154910107017e-06,-1.9269530893248557e-05,-0.0003528988238645,-4.81785742434957e-06,-0.0026694606430316,-0.0039747447684704,-9.186250422242924e-06,-4.837909194235156e-06,49.95517473705445,164.4201653110807,0.0644370252252843,0.0001503082155598,0.0009377476237148,-0.0001122283269286,0.0001250583993646,0.0002574596899033,0.0017370145501323,1.157728535529135,1.1575141982281951,0.9765996647524626,1.3761425713828908,1.109082364432356,-0.31290383594302,0.5964162412477392,0.563199799292498,0.6346931927398489,0.0134489840949709,279.90913992254536
1986,2.743150722788348,4.437666664657862,6.084703291872295,197.14772235209105,2.2808439441997845,3.954505803807656,1.18143202503332,1.1297886851211825,0.7838541538814355,0.4823192725476189,11.170945592489398,34.22552588777686,0.0046508699929315,3.56657290183336,0.000154809558,0.0222555400098997,-1.497474647871617e-06,-1.696867576029618e-05,-0.0010336354986386,-1.842725440146913e-05,-0.0054668589565503,-0.0029235436172215,-2.192144608945802e-06,-1.293432628005639e-06,871.5455299601324,56.13677593491024,0.5193946414540574,0.0001803760566259,0.0012344841261936,-0.0002113040772754,0.0002131604766389,0.000567692906704,0.0028897631879757,0.8938115158976955,0.9077218365340386,1.185079392637473,1.2530946039957642,0.6856633485479147,1.110553881038047,1.2604634552102545,0.904838209344466,1.3719236411013385,-0.0006642981151975,275.7017659211299
2015,6.255756512913175,3.4640595091788184,16.080616731032237,196.21577063800063,1.6132680378780273,1.708449351867022,0.3174944664735679,0.3535457070988983,1.0142723553428372,0.4937548897780181,6.870204622571718,32.0479057019886,0.0029816947288174,2.9685834792509462,0.002042837613982,0.0109851238539093,-1.4267706709651768e-06,-2.576261051985242e-06,-0.0004110735096033,-8.198740525953092e-05,-0.0002432139875141,-0.0024320695749411,-8.140394958929782e-06,-1.336847226723914e-05,19512282.918261368,3241988.295469177,103647.22407623992,0.0002213118944299,0.0008081368842204,-5.914399642483953e-06,0.0002540486167393,0.0001421997564222,0.0006067605328057,1.028284735640672,0.990007533802651,1.0663020105070764,1.0258215980255996,0.6734209527567532,0.8121507507355555,0.7501396686719816,0.8719976269571794,1.0602265610246526,-0.0026825855269531,281.272727048278
4623,16.106653690506754,2.9921897315177093,27.18595476740344,83.73351162857776,1.829824404118696,5.377563107488383,1.1150762248831465,1.4314502061201737,1.5605663624075434,0.4755667952133233,8.950894791296102,35.90651136716155,-0.0001832467941424,0.4075834944442231,0.0037525269760433,0.0118710408469435,-1.1489253359301635e-06,-1.482943702191514e-05,-0.0005668979669161,-0.0001332518802867,-0.0055432239096067,-0.0014745827774951,-2.191505966681601e-05,-8.34981924688879e-06,10.73223397770602,35.878268173290294,0.2203210949346201,0.0002212507859192,0.0006625944356771,-0.0001858048147055,8.378604374541112e-05,0.0006797069232029,0.0029238721623265,1.006160072815151,1.110639565760932,1.1868471258638882,1.0540161620282684,1.741899071379471,1.598433562971028,0.7667399722576469,1.071563200489699,0.8948922110520144,0.0293786219296059,280.50922319146895
5373,2.9627847600269166,3.346389151535793,5.805348227319779,54.19200057877871,1.4111721956939605,3.466361055547096,0.974286470732794,1.5052782951897143,0.4893845123780614,0.3966267007628094,8.042724142251275,39.09901225189432,-0.0040904186555828,-2.060815107875558,0.006161322603911,0.0280533409906298,-5.73416961173155e-07,-2.4635242562716187e-05,-0.0010134774716237,-3.53883015014306e-05,-0.0074544195473106,-0.0031716322381824,-2.1906536232899238e-06,-1.7053055198795097e-06,61.49054938675802,68.1683079189262,1.0271960155078426,0.0001842406349388,0.0005557300735904,-3.2024058303028004e-05,0.0002497504350083,2.8260816613907734e-05,0.0021228812176964,1.177808664132423,0.978547346479076,1.0416646983816884,1.754948893622284,1.2651688374421446,0.3604533678661568,1.332824800063962,1.0079423306804085,0.632705384666193,0.0404698410880892,280.98318708433885
6472,1.37998385274221,4.933909626611995,13.052238215157423,58.61575325077523,0.8182554347725322,6.819308285956632,1.2333583062633209,1.7435121116700398,0.9456385651793464,0.5926130188319889,7.657078622594591,39.70556491239704,-0.0033525180507822,-0.7763782366919896,0.0046047141993785,0.0023964042103446,-1.7017527718586613e-06,-6.0925211610143976e-05,-2.38289389672909e-05,-9.10184044312806e-05,-0.0031184285452145,-0.002203986615362,-1.4276781582163897e-06,-4.906814136651375e-06,49.71356856420491,10.403123393903396,0.5806333811897403,0.0001087728020463,0.0006493637349195,-6.919305533211072e-05,1.934967829609043e-05,0.0004182551190772,0.0026871048202729,0.7802605601587791,1.1764115243458604,1.0037112791036005,1.1112947720445705,0.7052826724796131,1.184076473968432,1.001665012424274,1.0119938223943743,0.7163440882587286,-0.0576870659864884,278.44095614057073
6829,2.571339216553092,5.366831429824083,31.96696045814292,72.70973554613475,1.309944485681212,1.0432205141417783,1.3330387761064644,1.3347890622723946,0.6051044178509046,0.4524767090320365,8.591439241208828,31.869966509243707,0.0042198985316304,3.0906047601296462,0.0010995086481088,0.0166302164900804,-4.265583405199302e-06,-3.010517586543476e-06,-0.0011275175876788,-5.462252465672875e-06,-0.005522245431391,-0.0026989770278738,-8.744033641534772e-06,-7.878024405986009e-06,282.9304228111609,337.5135070724341,1.9273773410799424,0.0001571907869306,0.0007861060843285,-0.0002544379876423,0.0002018057687501,0.0002630846169737,0.0008528261673262,1.0691469767948272,0.9997492716999988,1.0635142137344955,0.9049975336760916,0.2555587272300436,0.5125910466618806,0.9473296253570446,1.0746421432136388,1.0989073414852235,-0.007136404263401,280.951577680091
7199,26.779914010780487,1.8464538970714224,20.24525013879427,53.55736809271113,1.5905527530188566,4.952122550310523,0.8461077268258429,1.3567592834551996,2.7231995795450814,0.5777322780244325,9.52189292867926,29.7028809877883,0.0089542297743372,4.409731415652981,-0.0013258879140524,0.0095618123128978,-1.269670331262969e-06,-6.581125270035647e-05,-0.0007181623666232,-5.903846187929749e-05,-0.0003504843522846,-0.0024870744848889,-2.625228169830711e-05,-2.165029296539953e-07,113.75763595752451,47.40725211382704,0.5923059488483463,9.78279356426324e-05,0.0007400463197229,-2.6843568733652933e-05,7.01541515424889e-05,0.0004725320824623,0.002256148521488,0.959916535087263,1.0925921817582132,0.9540553381737148,0.7259145043514819,0.9122983747532354,0.6258827223900859,0.670766336471353,0.978833927557185,1.179132567307884,-0.029430844677336,276.8956077765883
