model,run,conv,nit,gamma,C1,C2,kappa1,kappa2,epsilon,sigma_eta,sigma_xi,F_4xCO2
ACCESS-CM2,r1i1p1f1,True,2882,1.38400017985098,7.80115114882695,74.6543263120208,0.765689750468114,0.689711701817516,1.30042624419671,0.41278968503495,0.985193084722438,7.72982118079161
ACCESS-ESM1-5,r1i1p1f1,True,1606,2.5785837351991,6.64809013879127,82.7225928196912,0.799690409121312,0.746260241196191,1.46866970577301,0.636451534303886,0.876975305422722,6.94892621563185
AWI-CM-1-1-MR,r1i1p1f1,True,3249,3.24760754692322,6.04158920566551,49.5323612102798,1.34807624785774,0.646340159120671,1.31230798578154,0.833612510570267,0.884053136851322,8.71409022110095
BCC-CSM2-MR,r1i1p1f1,True,2540,2.23567022919191,6.97389533588588,65.4569118302087,1.14137129758741,0.750709035888994,1.20801028149403,0.542350781096279,0.560528441250005,7.03666220377835
BCC-ESM1,r1i1p1f1,True,3161,1.72869336395427,7.75650705611206,77.8760456063337,0.982848774958512,0.68018693528017,1.23603631515583,0.378361128183106,0.468565425927241,6.68146089521093
CAMS-CSM1-0,r1i1p1f1,True,3866,4.43429406330143,7.14276651733337,51.9894994614422,2.02032256321562,0.726745535695821,1.31188793959382,1.06235056741514,0.781316864298986,9.48468518673898
CAS-ESM2-0,r1i1p1f1,True,1741,1.59316568848528,6.38023264621476,54.780921053879,1.01993348993109,0.636667218602237,1.33105339183335,0.483087474545016,0.667475290479994,7.47822429517007
CESM2,r1i1p1f1,True,2886,2.56576547457524,7.81181037649665,72.0967946029311,0.715682751071562,0.713570720146932,1.69743379003533,0.6949579969185,0.677039891282151,8.7136306800586
CESM2-FV2,r1i1p1f1,True,2240,2.23091537458605,6.49314889876652,84.9440881289768,0.628958916423677,0.786965720523277,1.77158909330545,0.821008423349692,0.828141119424583,8.02612260413433
CESM2-WACCM,r1i1p1f1,True,2533,2.56285760671282,7.9453286755776,84.7830572380877,0.764483042548936,0.757706577005186,1.58923486961927,0.665773717377154,0.711674529687587,8.36952870923302
CESM2-WACCM-FV2,r1i1p1f1,True,2114,2.34258564548413,6.74458265229161,103.30357943582,0.646212952379243,0.777494204127065,1.53143887916728,0.85836975478642,0.873265177542739,7.32308543055876
CIESM,r1i1p1f1,True,2030,0.745912761152623,9.03127038615091,72.3227365110504,0.733074320284133,0.810652700315333,1.30651281198629,0.353532577370108,0.859110405757018,8.84305876702599
CMCC-CM2-SR5,r1i1p1f1,True,3203,1.6097299359979,6.25674737345605,50.6810427220762,1.3395898104936,0.758704361966794,1.49939913622245,0.61609087528524,1.27168222322441,9.86687264841711
CNRM-CM6-1,r1i1p1f2,True,3565,4.48888189778971,6.68516365477293,93.6539434073345,0.74872614183687,0.664038279709324,1.06256137176051,0.727108307952263,0.911548251412953,7.49472840873335
CNRM-CM6-1-HR,r1i1p1f2,True,4249,5.19039944561556,8.14288796741922,81.2012001823413,0.879434690650621,0.665610037398936,0.880494901234043,0.600590173256978,0.873641624514924,7.47871864413727
CNRM-ESM2-1,r1i1p1f2,True,2748,5.09060912441531,6.9711919788669,96.4341278668343,0.644809549042545,0.646276947905112,0.886933556442985,0.928093443559859,0.839141264575238,5.819517518642
CNRM-ESM2-1,r2i1p1f2,True,2360,4.64756847108002,6.26375489473867,95.0404202794503,0.676902419221877,0.666871111207166,1.07677373171986,0.854195789099255,0.77060766107111,6.39577737486754
