"model","run","conv","nit","gamma","C1","C2","C3","kappa1","kappa2","kappa3","epsilon","sigma_eta","sigma_xi","F_4xCO2"
"ACCESS-CM2","r1i1p1f1","TRUE","1833","1.62071580490934","3.72972299081479","11.6446985685833","86.3260152165454","0.671026017225059","2.81112060752944","0.683198959017936","1.34643635927888","0.445286195307081","0.525836559159249","7.19219715216303"
"ACCESS-ESM1-5","r1i1p1f1","TRUE","2393","2.74245514591792","3.76774047563547","8.9223547073512","87.0662405724527","0.699550592579294","3.58336077405073","0.842623695054886","1.55778402472777","0.63671658328759","0.604743345753593","6.55760897578525"
"AWI-CM-1-1-MR","r1i1p1f1","TRUE","2126","3.96669767409547","4.1386257457433","10.9979716920295","47.1534540567504","1.22371462831686","1.78871461857878","0.661917817733757","1.31669542750218","0.935408780058791","0.651970659420596","8.02476618177526"
"BCC-CSM2-MR","r1i1p1f1","TRUE","2011","2.3022092328341","4.15524038980275","11.8310488825917","63.2590122216015","1.06461582999356","2.13437822788236","0.852585241039697","1.24862649036318","0.541913857690608","0.344427245417708","6.71134412546429"
"BCC-ESM1","r1i1p1f1","TRUE","1815","1.88054907090503","5.35350215883869","15.825501452069","77.401649289677","0.884921486348914","1.4791158501769","0.914740114263444","1.29395075205109","0.389056117758917","0.314775967696557","6.25364453949074"
"CAMS-CSM1-0","r1i1p1f1","TRUE","1887","6","3.76127175248831","8.8578753999919","52.0500447073175","1.88972771902613","3.79492303835095","0.6785622409386","1.27555209060934","1.25554656977917","0.504045387360355","8.90849292208827"
"CAS-ESM2-0","r1i1p1f1","TRUE","2104","1.89365386591429","3.56430601488967","8.56920922713539","54.9144078185946","0.932452331623221","2.49788749151619","0.674527626879338","1.33058841829083","0.519483633778768","0.412762883665737","6.97488977201158"
"CESM2-FV2","r1i1p1f1","TRUE","2279","2.71289100318452","3.86274556589224","7.01636929663505","85.8140130192668","0.537784504759467","4.00743460404678","1.00591958561796","1.74965547096313","0.882561775816269","0.611251712505017","7.36119043405957"
"CESM2-WACCM-FV2","r1i1p1f1","TRUE","1978","2.89420164272509","3.38605776932455","9.45535100343319","106.920420573185","0.562505352593872","3.5238936948379","0.944300041318714","1.50376549862517","0.941805872492494","0.53117057952799","6.72754211378046"
"CESM2-WACCM","r1i1p1f1","TRUE","2964","2.97932521042636","3.82233977719877","6.18341146301443","85.3237630966249","0.720200170945841","7.32836407248982","0.838587938131721","1.58568844253267","0.704627136419792","0.506958141419286","8.07021704925473"
"CESM2","r1i1p1f1","TRUE","2605","2.79689515561077","4.83070866736514","6.39789592210518","71.2944643790547","0.649445371776821","3.87602157331363","0.900809036570828","1.67858202456074","0.713534424485554","0.491654918108478","8.17522639943343"
"CIESM","r1i1p1f1","TRUE","1931","0.812806234532496","5.27510481471169","11.6309564073879","69.1664962758547","0.677909176482566","2.65488712423142","0.99713853962017","1.35096626053352","0.35591969881749","0.547885191703401","8.48097205379758"
