"model","run","conv","nit","gamma","C1","C2","C3","kappa1","kappa2","kappa3","epsilon","sigma_eta","sigma_xi","F_4xCO2"
"CCSM3","r1i1p1f1","TRUE","3400","2.38515335512105","3.94806853770687","19.3895199835145","253.425752380181","1.15444343520938","1.92948550632121","0.514015074166726","1.18167897838141","0.533939194883999","0.37270153832831","6.16657818380424"
"CESM104","r1i1p1f1","TRUE","3803","2.47933884731512","3.08704322705563","74.596128857681","225.089570055247","0.828450555368044","0.945226919854347","0.150728174010426","1.42876416052343","0.573385479796501","0.37211556414316","5.60994013926249"
"CESM2","r1i1p1f1","TRUE","3464","2.72378155304469","5.63991606130978","56.569970972151","93.8258165302727","0.406420040641707","0.915748222608649","0.255309345996791","1.34914337135529","0.691872371650581","0.369912651995064","5.67568530440989"
"CNRMCM61","r1i1p1f1","TRUE","7824","26.5568591981922","6.41903050739187","18.7016525098206","316.139910024476","0.602457626763932","14.2955225958511","0.326081339517308","1.21669831618692","1.53732007073923","1.2959331459709","6.79265032630539"
"ECHAM5MPIOM","r1i1p1f1","TRUE","2605","2.73424598281148","2.63828765845938","22.3967478583389","147.998551295127","0.566729187770327","1.75840157170384","0.516329013558547","1.19904966689069","0.95913844928974","0.596690253209235","6.71184398796902"
"FAMOUS","r1i1p1f1","TRUE","1844","1.49959867677566","5.16822245147677","9.9187270485509","0.0161786089296688","0.205939365034631","3.65266673677867","0.631777551133521","3.09705194927803","0.612822216016749","0.683203586281222","2.89473687852412"
"GISSE2R","r1i1p1f1","TRUE","5452","2.01382877771376","6.62051473195846","10.9692134620495","245.231458774841","1.21073917636255","4.72306785373587","0.67805651632363","1.10858158423555","0.352154926807283","0.441182478494675","5.81000729453153"
"HadCM3L","r1i1p1f1","TRUE","2133","1.65713982153444","3.27065966089623","25.9581406140295","191.978478954979","1.03299440202778","1.13079352124531","0.642116475024808","1.38588701565039","0.622997033467947","0.298118639523461","6.87875085133707"
"HadGEM2","r1i1p1f1","TRUE","2904","1.93567488996114","4.11289986847937","14.5662518104668","191.153608772495","0.637959805052034","1.60491507214618","0.390741186504642","1.1036373395205","0.486314078364594","0.392622486974677","6.0112194289874"
"IPSL-CM6A-LR","r1i1p1f1","TRUE","3276","3.13601974190982","2.64430456156056","15.5644034172347","78.7030406862534","0.677604883993527","1.74859935699425","0.387370488966776","1.37569640899388","0.712442157493521","0.412602180862107","6.90852986110434"
"IPSLCM5A","r1i1p1f1","TRUE","2714","1.96580046901558","2.57856117383592","27.0002980287484","240.240015146892","0.680578074850806","1.82389318985485","0.392148049189037","1.24796946518121","0.440487589278699","0.343260084833955","6.12559725623521"
"MPIESM11","r1i1p1f1","TRUE","17564","1.73971667229868","4.65322736307677","174.908244307291","14.3270991643866","1.31999970854098","0.767716576771123","20.3019436531552","7.70811228982072","0.45161756224829","0.606033169171465","9.03375548165275"
"MPIESM12","r1i1p1f1","TRUE","4180","2.02369365277991","5.11470392914849","21.3364321820492","145.953690498841","1.23822783512881","1.6102313922739","0.841691335864264","1.40617342285806","0.483382671278407","0.706864293249842","8.37405086538868"
