model,run,ecs,tcr,tau1,tau2,q1,q2
FGOALS-f3-L,r3i1p1f1,3.1474189887452075,2.0232880409231284,2.3841176970211233,145.8355167597151,0.36670890546806406,0.2704371330696981
FGOALS-g3,r1i1p1f1,2.997619481236928,1.8483467110224143,2.9913466118397793,204.34808424350342,0.4388964351654152,0.3220463081171823
FIO-ESM-2-0,r1i1p1f1,4.6110600563769255,2.2992738017627943,3.482976014519529,251.12369089545948,0.48385067403646825,0.5871831822881904
FIO-ESM-2-0,r2i1p1f1,4.483549635250521,2.2632193950117054,2.9695404894685957,234.14987734776898,0.39537631920025296,0.483959876856112
FIO-ESM-2-0,r3i1p1f1,4.373911420034939,2.325975068552411,4.45103859059787,246.06204314331617,0.5480943589935247,0.5503049101818175
GFDL-CM4,r1i1p1f1,4.491584213804354,2.1940176523526733,2.349278662409782,267.090722908925,0.433061756516329,0.5612072534282119
GFDL-ESM4,r1i1p1f1,2.7350230036849803,1.7718639523631055,2.9056698578980416,248.82467554139575,0.443194725223633,0.26456149437687493
GISS-E2-1-G,r102i1p1f1,2.64025590159313,1.7496507264136927,1.9663360368685103,253.85186505027352,0.39637107265968363,0.22805717829110947
GISS-E2-1-G,r1i1p1f1,2.783803159934847,1.7570177762310104,2.050935656071715,293.8603558211568,0.40803831702416404,0.2655752220482303
GISS-E2-1-G,r1i1p3f1,2.6413515027882988,1.6702112653934555,1.9403010255274558,290.8703781585561,0.3932964300337541,0.2562265048484463
GISS-E2-1-G,r1i1p5f1,2.577384803491002,1.758829602577594,1.7797951262477825,282.9649336252284,0.4137307202436883,0.21241398506307424
GISS-E2-1-H,r1i1p1f1,3.1732044040881964,1.9393035330460242,2.560974680454373,164.1237501572463,0.4343417343012301,0.3589631122513769
GISS-E2-1-H,r1i1p3f1,3.19432106836668,1.9038225849347286,2.562089233168433,160.56854145233484,0.450791370660443,0.4064043328951347
GISS-E2-2-G,r1i1p1f1,2.343054200254043,1.6574718492305012,2.6117552351088507,315.128435115101,0.44254356285617924,0.1867351700510204
HadGEM3-GC31-LL,r1i1p1f3,5.792840234096742,2.791546767708018,5.411960428024595,215.99154432800572,0.6713218898732773,0.8782089205966661
HadGEM3-GC31-MM,r1i1p1f3,5.549480907283468,2.7277585965744104,4.770271429641417,199.29941013559593,0.6496124354250745,0.8520027363648923
IITM-ESM,r1i1p1f1,2.387764178882886,1.6561824598567028,2.0044884360962323,215.42898773041577,0.32457125608682696,0.16441412491827184
INM-CM4-8,r1i1p1f1,1.8537671858527653,1.3969146362419649,2.4917384875770976,64.8678479695429,0.3801870474347338,0.2184947028991189
INM-CM5-0,r1i1p1f1,1.9483606838468284,1.411747499239147,2.9369952209943344,116.90562846049691,0.4058926294312687,0.1980845868421408
IPSL-CM6A-LR,r1i1p1f1,4.713675380052574,2.6536100584700373,4.289933097811024,177.93689682926149,0.6313928587702176,0.6071599463545362
KACE-1-0-G,r1i1p1f1,5.222592172675545,2.478356238506829,3.9574741728879324,293.41691658481784,0.5651903739482979,0.7262743549997658
KIOST-ESM,r1i1p1f1,3.6858613503456237,1.9754863204961648,2.430444026632142,240.22667491262655,0.4711731216339936,0.5004659128208927
MIROC-ES2L,r1i1p1f2,2.6862495605853725,1.7621594582735276,2.418058006204789,260.23799452768907,0.39686660062656337,0.23015340601394552
MIROC6,r1i1p1f1,2.7361491909980855,1.6976419637950473,1.963090741827908,288.13320835312174,0.38912003010726187,0.2687487415841187
MPI-ESM-1-2-HAM,r1i1p1f1,3.1480052005743855,1.9247632054753772,3.1944239703930957,219.92907365760828,0.39756769316276186,0.29081329864277844
MPI-ESM1-2-HR,r1i1p1f1,3.136456110401208,1.8785923054038325,2.8935284595503594,187.7971187592156,0.38662142178580133,0.31993785265638675
MPI-ESM1-2-LR,r1i1p1f1,3.139444861812227,2.0028537002963414,2.844635495128352,205.42828795840558,0.40444381618260866,0.26726693151684233
MRI-ESM2-0,r10i1p1f1,3.364247989484867,1.8020816609901,2.455580648286145,221.93625467851808,0.3982144760402506,0.43376388059886645
MRI-ESM2-0,r13i1p1f1,3.225958604879874,1.825158409238937,2.729660564050197,213.00878735604223,0.4100354278685188,0.38685421255396246
MRI-ESM2-0,r1i1p1f1,3.3922880081080518,1.7961058502311948,2.5229893838880804,220.60781858257164,0.3801236765842272,0.42663180932298816
MRI-ESM2-0,r1i2p1f1,3.1994481729130855,1.818905894899436,2.730057250802552,224.8542777621679,0.42533253162765616,0.38946259569670144
MRI-ESM2-0,r4i1p1f1,3.278401568385261,1.8085535333083949,2.846702345948359,214.3889041624471,0.423360596791814,0.42547925280464577
MRI-ESM2-0,r7i1p1f1,3.314484826336361,1.8082815327227109,2.640189011333229,216.8558978758371,0.42860889704021826,0.4453686322589639
NESM3,r1i1p1f1,4.6769343305853015,2.813016072062728,3.0068322004668095,223.62488205387567,0.6692279082588146,0.5162222695111012
NorCPM1,r1i1p1f1,3.302651582406545,1.7437860412749628,3.2842624184342695,223.74041840291895,0.39709115493981795,0.4356032211993441
NorESM2-LM,r1i1p1f1,3.207963935179355,1.6352898708010695,1.3772970175594133,368.56536820275323,0.29395760049767544,0.32854576559543314
NorESM2-MM,r1i1p1f1,2.685984873324114,1.6798290019434734,1.2474843872519665,281.95095399506613,0.2967482152428613,0.20695433586493453
SAM0-UNICON,r1i1p1f1,3.960399287714467,2.1971227170327534,3.1316449045110177,272.1148941280918,0.47852341282443617,0.43827262804417805
TaiESM1,r1i1p1f1,4.66625094844334,2.43148265561841,4.210098767245599,262.8639443398307,0.5271644381908869,0.5521550864123241
UKESM1-0-LL,r1i1p1f2,5.5452714319014715,2.775395693657746,6.189477193655721,230.18953092057484,0.6861643118635204,0.7754665551429918
