model,run,ecs,tcr,tau1,tau2,q1,q2
ACCESS-CM2,r1i1p1f1,5.047619597928462,2.4436577232256655,4.582812202531279,240.63632386127114,0.5735030186953674,0.7325089781854028
ACCESS-ESM1-5,r1i1p1f1,4.344760257452149,1.9872304182979295,3.4431168318781955,267.64373783903255,0.508363626810636,0.7421202962100056
AWI-CM-1-1-MR,r1i1p1f1,3.2320464940127533,2.1541278480914268,2.7124001666337607,126.6224941050726,0.4425443953370729,0.299253408451195
BCC-CSM2-MR,r1i1p1f1,3.082547379039668,1.8490803918048642,3.34572213856731,159.23644631976833,0.4712421015186832,0.4048969797020944
BCC-ESM1,r1i1p1f1,3.3990279407393906,1.8994085077140663,4.180401963861829,216.1409484982571,0.5295170214948473,0.48793350139176034
CAMS-CSM1-0,r1i1p1f1,2.3473195219982115,1.7161713315920843,2.3757888426377325,106.45625034188652,0.3289086491444209,0.16606181656594715
CAS-ESM2-0,r1i1p1f1,3.6660352704348047,2.1647065209574445,3.3549188173380804,160.43513648841474,0.5161202710535878,0.46433581737975105
CESM2,r1i1p1f1,6.087634966060062,2.480099699854951,3.9528678870178378,278.99587234226306,0.4932027961295504,0.9040643568132046
CESM2-FV2,r1i1p1f1,6.380482408749103,2.230281026002053,3.1444244919757565,354.38004318570853,0.4743696497484779,1.1155593168143947
CESM2-WACCM,r1i1p1f1,5.473979305889751,2.294436085056249,3.947610082792436,294.5898486790275,0.48582828665556965,0.8222452013655699
CESM2-WACCM-FV2,r1i1p1f1,5.6661549444315815,2.1427620865360617,3.606499118370228,384.51368571582464,0.5251363968370056,1.0223410969491749
CIESM,r1i1p1f1,6.031488569670876,2.6643771799648475,4.872831272801042,225.55864728757163,0.521344260872925,0.8427739087724243
CMCC-CM2-SR5,r1i1p1f1,3.682796245210858,2.262559327992258,2.4817667278036315,125.71548851604227,0.3896090795475222,0.35688808859048343
CNRM-CM6-1,r1i1p1f2,5.004986462971848,2.6225384161386525,4.5240616563935765,278.3514475927263,0.6658460458070521,0.6697557772395867
CNRM-CM6-1-HR,r1i1p1f2,4.252003431092982,2.5356730852259033,5.454300701423406,207.0991779691597,0.6571846542167291,0.479909447973148
CNRM-ESM2-1,r1i1p1f2,4.512586334432542,2.3644461955572904,5.619899209292993,287.0510551731215,0.7912898248259347,0.7595556945756692
CNRM-ESM2-1,r2i1p1f2,4.724297914476146,2.3484634746637494,4.417499790020947,298.53729625358915,0.6936518495737469,0.7836659610931664
CNRM-ESM2-1,r3i1p1f2,4.6247550036704705,2.343200803635547,5.737245259831723,276.1635021981572,0.7786175780775679,0.8194215104035238
CanESM5,r1i1p1f1,5.755334632430491,2.896978242318327,5.434661371563422,227.1198249119205,0.7005857754713218,0.8045236703707798
CanESM5,r1i1p2f1,5.826006613330925,2.8795235698907873,6.143696315814994,237.1579341720997,0.7243731000656177,0.8383838202238663
E3SM-1-0,r1i1p1f1,5.754215611513891,3.06030271568598,5.840203836578373,181.41376010108496,0.738605547410715,0.7836644799873317
EC-Earth3,r3i1p1f1,4.224368127342926,2.478210688816897,2.9463752540613193,92.35183557978436,0.45582197311735856,0.5855800767124765
EC-Earth3,r8i1p1f1,4.270618454504255,2.609444596106162,2.6828292436753163,87.3612902647328,0.4651474467033602,0.5431336303958649
EC-Earth3-Veg,r1i1p1f1,4.206824858841402,2.5712888151451105,2.574315897059604,58.69289104218508,0.3125385065532888,0.5591760982512355
FGOALS-f3-L,r1i1p1f1,3.1625582920349506,2.010555787407731,2.2168341686439628,153.76404298364974,0.3606791544554883,0.27258481537702467
FGOALS-f3-L,r2i1p1f1,3.141163145340742,2.03438469818237,2.490847669491738,148.02074497573273,0.38931297955913624,0.27678860533726546
