year,solar,total_anthropogenic
1750,0.097590262,0
1751,0.079243973,0.007407766
1752,0.049166043,0.012794313
1753,0.012988284,0.011676429
1754,-0.021426608,0.005655133
1755,-0.045903927,0.012537855
1756,-0.053485812,0.017448521
1757,-0.034343893,0.009883466
1758,0.017013236,0.015686926
1759,0.067512332,0.01637685
1760,0.092395267,0.013125452
1761,0.086248636,0.018243763
1762,0.064158206,0.023319149
1763,0.030819754,0.025401123
1764,-0.005935226,0.039643005
1765,-0.035779147,0.02661748
1766,-0.049897677,0.03558086
1767,-0.036715182,0.036942357
1768,0.019446927,0.02529101
1769,0.085593411,0.03357018
1770,0.117262601,0.03542445
1771,0.109711917,0.047199915
1772,0.086779056,0.053754572
1773,0.050835306,0.053977451
1774,0.010086575,0.042119319
1775,-0.025638766,0.050837443
1776,-0.046793161,0.056918918
1777,-0.042986618,0.053612627
1778,0.001646658,0.051195895
1779,0.07305054,0.058688637
1780,0.115827347,0.052687641
1781,0.115671341,0.059381268
1782,0.091381229,0.062961181
1783,0.054517044,0.067113413
1784,0.010991409,0.077814772
1785,-0.025701169,0.068886586
1786,-0.044999093,0.076714378
1787,-0.031301779,0.073861117
1788,0.037309598,0.063299088
1789,0.117449808,0.071907435
1790,0.144626029,0.072998123
1791,0.130523099,0.083862387
1792,0.112348416,0.089559847
1793,0.08156846,0.090706929
1794,0.045702713,0.078326716
1795,0.00780889,0.086757632
1796,-0.026059982,0.093283413
1797,-0.051098923,0.08969766
1798,-0.063329782,0.087785912
1799,-0.060802487,0.091200708
1800,-0.042596603,0.088541713
1801,-0.012721481,0.094832591
1802,0.015421976,0.095694707
1803,0.03258262,0.102876437
1804,0.034860306,0.108965224
1805,0.026311185,0.101714955
1806,0.011833841,0.10709538
1807,-0.008212912,0.10567606
1808,-0.029866525,0.09570475
1809,-0.049382858,0.103166664
1810,-0.062799362,0.103625528
1811,-0.067495138,0.112449474
1812,-0.06222214,0.119690506
1813,-0.046543551,0.118684546
1814,-0.025638766,0.107024588
1815,-0.006668454,0.114298235
1816,0.004938382,0.117272278
1817,0.006685648,0.117246678
1818,-0.000662228,0.112441411
1819,-0.014063132,0.11792158
1820,-0.031379782,0.113359751
1821,-0.047978805,0.117908775
1822,-0.059398434,0.120276677
1823,-0.061800925,0.127389848
1824,-0.050178488,0.131349762
1825,-0.020240964,0.125633459
1826,0.01314429,0.131742073
1827,0.037543607,0.129798325
1828,0.044953885,0.118057673
1829,0.035921146,0.12518077
1830,0.016186405,0.122717735
1831,-0.010365793,0.133854815
1832,-0.035482736,0.138411453
1833,-0.051052121,0.137178981
1834,-0.048509225,0.126783657
1835,-0.015155173,0.134717222
1836,0.043861844,0.13344291
1837,0.087793094,0.133592128
1838,0.099618338,0.129297858
1839,0.085936624,0.133119731
1840,0.063502982,0.132407786
1841,0.03071055,0.131108973
1842,-0.004141159,0.134290263
1843,-0.034468698,0.14278112
1844,-0.053002194,0.144953514
1845,-0.054250241,0.136259258
1846,-0.041878976,0.142504526
1847,-0.029538913,0.135818463
1848,-0.017167648,0.125844101
1849,-0.004796384,0.130598308
1850,0.007528079,0.127901618
1851,0.002067874,0.14080687
1852,0.001256644,0.14891727
1853,-0.008868136,0.148419514
1854,-0.022721457,0.135133562
1855,-0.031254977,0.145662821
1856,-0.033641867,0.147630787
1857,-0.027666842,0.145728515
1858,-0.010802609,0.146193039
1859,0.003456326,0.149571278
1860,0.014033524,0.150604823
1861,0.011911844,0.15763155
1862,-0.000350217,0.162801812
1863,-0.007542087,0.173258511
1864,-0.014593551,0.177470454
1865,-0.020272165,0.16948304
1866,-0.023158273,0.179807832
1867,-0.027542038,0.174480089
1868,-0.01776047,0.168121619
1869,8.66E-05,0.176977216
1870,0.001475052,0.172121081
1871,0.012239456,0.181205582
1872,0.006560843,0.186673762
1873,-0.00309592,0.174626844
1874,-0.011473434,0.17327155
1875,-0.02707402,0.185483238
1876,-0.034219089,0.182723961
1877,-0.03879006,0.183889566
1878,-0.044453073,0.185949132
1879,-0.043267428,0.179395722
1880,-0.029351706,0.17669111
1881,-0.009991379,0.179910131
1882,-0.014125534,0.183418943
1883,-0.017089645,0.191318863
1884,0.006108426,0.189752929
1885,-0.008368918,0.191641769
1886,-0.024796335,0.201173038
1887,-0.034921115,0.198273295
1888,-0.038883664,0.183361937
1889,-0.040303317,0.197316041
1890,-0.036839987,0.188749968
1891,-0.011426633,0.201229694
1892,0.009493753,0.211908621
1893,0.025936771,0.215913434
1894,0.045733914,0.204530206
1895,0.026997611,0.208686914
1896,0.001381449,0.213964577
1897,-0.015061569,0.203219535
1898,-0.022768259,0.200215964
1899,-0.031941403,0.180523728
1900,-0.037245602,0.178529829
1901,-0.046293942,0.180265925
1902,-0.044141061,0.181942094
1903,-0.025825973,0.17394496
1904,0.007465677,0.163087365
1905,-0.007214474,0.151052463
1906,0.016794827,0.144916392
1907,0.00381514,0.111855273
1908,0.011927445,0.135098875
1909,-0.004921188,0.134492587
1910,-0.017354855,0.118574688
1911,-0.03532673,0.140669558
1912,-0.042190988,0.146366251
1913,-0.040677731,0.136375874
1914,-0.026980417,0.173922424
1915,0.012769876,0.200889691
1916,0.044751077,0.183616723
1917,0.065874271,0.174242877
1918,0.069649613,0.185283086
1919,0.037013187,0.257713625
1920,0.006030423,0.230311952
1921,-0.013142697,0.31415323
1922,-0.030646554,0.318298623
1923,-0.034624704,0.275147611
1924,-0.026902414,0.300897403
1925,-0.00576362,0.303876777
1926,0.022551444,0.29321298
1927,0.046248734,0.269762242
1928,0.03071055,0.269808944
1929,0.022754251,0.238362689
1930,0.022972659,0.263446902
1931,0.000741824,0.344932872
1932,-0.015810397,0.390582177
1933,-0.022737057,0.3827931
1934,-0.015030368,0.343432622
1935,0.011584232,0.327550258
1936,0.069243997,0.303135612
1937,0.072535721,0.293461076
1938,0.062098929,0.352509388
1939,0.05919722,0.323335996
1940,0.039774491,0.294642936
1941,0.0240647,0.291481583
1942,0.005593607,0.2834114
1943,-0.013064694,0.292257327
1944,-0.007869699,0.309987658
1945,0.02751243,0.391310079
1946,0.04456387,0.412591218
1947,0.090055179,0.367006172
1948,0.105624564,0.340349546
1949,0.090601199,0.391602312
1950,0.056950736,0.34597781
1951,0.012457865,0.358116868
1952,0.010445389,0.346470313
1953,-0.002612301,0.34084004
1954,-0.002456296,0.346512166
1955,0.02484473,0.314886248
1956,0.084984989,0.274089879
1957,0.14092869,0.25059103
1958,0.148338968,0.285688387
1959,0.116669779,0.280802294
1960,0.094969364,0.264136612
1961,0.046872757,0.249467817
1962,0.013456302,0.274520076
1963,0.001880667,0.239595828
1964,-0.003485934,0.272534769
1965,-0.000490622,0.268376497
1966,0.025141141,0.282125639
1967,0.056857132,0.282955846
1968,0.073596561,0.292784073
1969,0.076576273,0.309465969
1970,0.078510745,0.293228623
1971,0.049836868,0.324808656
1972,0.048058402,0.3158469
1973,0.019290921,0.372491565
1974,0.005172391,0.42594658
1975,0.005484403,0.481961657
1976,0.000835428,0.455882502
1977,0.030944559,0.510353933
1978,0.077059891,0.560961163
1979,0.115858548,0.595729346
1980,0.108214261,0.662551129
1981,0.110757157,0.745817411
1982,0.067418729,0.750330938
1983,0.06559346,0.881256703
1984,0.014610745,0.907801995
1985,-0.002612301,0.946717934
1986,-0.000490622,0.999766244
1987,0.010382987,1.010176686
1988,0.055406278,1.080764806
1989,0.117262601,1.149197955
1990,0.105827371,1.172669318
1991,0.104111307,1.117702336
1992,0.083346927,1.308067445
1993,0.034485892,1.324391191
1994,0.004907181,1.304415175
1995,-0.00070903,1.42777193
1996,-0.012908688,1.504326562
1997,0.003503128,1.375835308
1998,0.05039849,1.463877462
1999,0.084906986,1.669218928
2000,0.110008328,1.739476961
2001,0.099446732,1.771749613
2002,0.10473533,1.719904542
2003,0.043362625,1.7258399
2004,0.016576419,1.764856895
2005,-0.009882175,1.765140487
2006,-0.0158884,1.768512893
2007,-0.027401633,1.849834818
2008,-0.029882126,1.949294583
2009,-0.029944528,2.054424179
2010,-0.007791696,2.103148808
2011,0.026576395,2.164949986
2012,0.040944534,2.17998124
2013,0.049212845,2.320814779
2014,0.059103616,2.358411518
2015,0.029197293,2.473288372
2016,-0.007587226,2.556875871
2017,-0.017466581,2.617965251
2018,-0.021467554,2.664890277
2019,-0.022172872,2.72044931
