year,ssp119,ssp126,ssp245,ssp370,ssp434,ssp460,ssp534-over,ssp585
1960,0.237303921568627,0.237303921568627,0.237303921568627,0.237303921568627,0.237303921568627,0.237303921568627,0.237303921568627,0.237303921568627
1961,0.317303921568628,0.317303921568628,0.317303921568628,0.317303921568628,0.317303921568628,0.317303921568628,0.317303921568628,0.317303921568628
1962,0.272303921568627,0.272303921568627,0.272303921568627,0.272303921568627,0.272303921568627,0.272303921568627,0.272303921568627,0.272303921568627
1963,0.302303921568628,0.302303921568628,0.302303921568628,0.302303921568628,0.302303921568628,0.302303921568628,0.302303921568628,0.302303921568628
1964,0.044803921568628,0.044803921568628,0.044803921568628,0.044803921568628,0.044803921568628,0.044803921568628,0.044803921568628,0.044803921568628
1965,0.154803921568627,0.154803921568627,0.154803921568627,0.154803921568627,0.154803921568627,0.154803921568627,0.154803921568627,0.154803921568627
1966,0.207303921568627,0.207303921568627,0.207303921568627,0.207303921568627,0.207303921568627,0.207303921568627,0.207303921568627,0.207303921568627
1967,0.239803921568627,0.239803921568627,0.239803921568627,0.239803921568627,0.239803921568627,0.239803921568627,0.239803921568627,0.239803921568627
1968,0.179803921568627,0.179803921568627,0.179803921568627,0.179803921568627,0.179803921568627,0.179803921568627,0.179803921568627,0.179803921568627
1969,0.319803921568628,0.319803921568628,0.319803921568628,0.319803921568628,0.319803921568628,0.319803921568628,0.319803921568628,0.319803921568628
1970,0.277303921568627,0.277303921568627,0.277303921568627,0.277303921568627,0.277303921568627,0.277303921568627,0.277303921568627,0.277303921568627
1971,0.157303921568628,0.157303921568628,0.157303921568628,0.157303921568628,0.157303921568628,0.157303921568628,0.157303921568628,0.157303921568628
1972,0.267303921568627,0.267303921568627,0.267303921568627,0.267303921568627,0.267303921568627,0.267303921568627,0.267303921568627,0.267303921568627
1973,0.407303921568628,0.407303921568628,0.407303921568628,0.407303921568628,0.407303921568628,0.407303921568628,0.407303921568628,0.407303921568628
1974,0.182303921568627,0.182303921568627,0.182303921568627,0.182303921568627,0.182303921568627,0.182303921568627,0.182303921568627,0.182303921568627
