Year,Global mean SAOD 550nm,Global mean TOA ERF (W/m2)
1941,0.003846848,-0.01807755
1942,0.003855158,-0.018249405
1943,0.012851178,-0.203468487
1944,0.010408957,-0.153350254
1945,0.005635484,-0.05503691
1946,0.00431751,-0.027809437
1947,0.009358951,-0.13176481
1948,0.007726824,-0.098167423
1949,0.004700138,-0.035717685
1950,0.004091618,-0.023139234
1951,0.005394983,-0.050071187
1952,0.005365198,-0.049456114
1953,0.004705955,-0.035837895
1954,0.004281094,-0.02705663
1955,0.004313363,-0.027723708
1956,0.011068702,-0.166901327
1957,0.011091014,-0.167359464
1958,0.005823511,-0.058918361
1959,0.004361298,-0.028714611
1960,0.004083548,-0.022972381
1961,0.004044587,-0.022166762
1962,0.004046737,-0.022211215
1963,0.048477941,-0.920838892
1964,0.04261681,-0.804570221
1965,0.012433396,-0.194903616
1966,0.006705176,-0.077108861
1967,0.00519702,-0.045982851
1968,0.01006037,-0.146186695
1969,0.014058326,-0.228195911
1970,0.007045937,-0.084135131
1971,0.004709807,-0.035917501
1972,0.00423806,-0.026166972
1973,0.004469606,-0.030953356
1974,0.004538631,-0.032379988
1975,0.005057159,-0.04309396
1976,0.005029907,-0.042531008
1977,0.004348511,-0.02845029
1978,0.004221265,-0.025819746
1979,0.004509577,-0.031779511
1980,0.007797666,-0.099626845
1981,0.010301049,-0.151132978
1982,0.027508361,-0.501698952
1983,0.052152846,-0.993392031
1984,0.029693149,-0.54577978
1985,0.01488216,-0.245054335
1986,0.014953581,-0.24651519
1987,0.010906187,-0.163564115
1988,0.00808674,-0.105581029
1989,0.006121902,-0.065076539
1990,0.006358674,-0.069961748
1991,0.045685242,-0.865524446
1992,0.112502733,-2.147507945
1993,0.057502348,-1.098531091
1994,0.018699017,-0.322979122
1995,0.00926888,-0.129912135
1996,0.005825904,-0.058967757
1997,0.004674295,-0.035183667
1998,0.004551298,-0.032641788
1999,0.004345693,-0.028392052
2000,0.004297591,-0.027397671
2001,0.004566434,-0.032954613
2002,0.004221065,-0.025815613
2003,0.005047079,-0.042885725
2004,0.004494477,-0.031467422
2005,0.005837784,-0.059212954
2006,0.006732545,-0.077673284
2007,0.007372089,-0.090857934
2008,0.006517705,-0.073242302
2009,0.007990129,-0.103591284
2010,0.006233453,-0.067378273
2011,0.008283002,-0.109622525
2012,0.006344604,-0.069671469
2013,0.005149906,-0.045009736
2014,0.006100473,-0.06463436
2015,0.007621308,-0.095993485
2016,0.006678887,-0.076566693
2017,0.005409331,-0.050367453
2018,0.00634464,-0.069672211
2019,0.009900479,-0.142900069
2020,0.011606998,-0.177951234
2021,0.00870141,-0.11823591
2022,0.00870141,-0.11823591
2023,0.009236881,-0.129253895
2024,0.009772352,-0.14026598
2025,0.010307823,-0.151272171
2026,0.010843293,-0.16227247
2027,0.011378764,-0.173266881
2028,0.011914235,-0.184255405
2029,0.012449706,-0.195238047
2030,0.012985177,-0.20621481
2031,0.013520648,-0.217185697
2032,0.013520648,-0.217185697
2033,0.013520648,-0.217185697
2034,0.013520648,-0.217185697
2035,0.013520648,-0.217185697
2036,0.013520648,-0.217185697
2037,0.013520648,-0.217185697
2038,0.013520648,-0.217185697
