year,volcanic_erf
-499.5,0.201148896
-498.5,0.20081829
-497.5,0.200292373
-496.5,0.200096862
-495.5,0.200030326
-494.5,0.200007933
-493.5,0.200000407
-492.5,0.199997878
-491.5,0.199997028
-490.5,0.19999674
-489.5,-1.377290078
-488.5,-0.89013141
-487.5,-0.191680991
-486.5,0.067269222
-485.5,-0.011607022
-484.5,0.069634638
-483.5,0.153511494
-482.5,0.184259188
-481.5,0.194704653
-480.5,0.19821872
-479.5,0.199399377
-478.5,0.199795981
-477.5,0.199929205
-476.5,-0.421826189
-475.5,-0.229737418
-474.5,0.045601847
-473.5,0.147677204
-472.5,0.182401197
-471.5,0.194085165
-470.5,0.19801084
-469.5,0.199329555
-468.5,0.199772526
-467.5,0.199921328
-466.5,0.199971313
-465.5,0.1999881
-464.5,0.199993742
-463.5,-1.350236998
-462.5,-0.871412658
-461.5,-0.184946828
-460.5,0.069551454
-459.5,0.156126901
-458.5,0.185257928
-457.5,0.195045605
-456.5,0.198333497
-455.5,0.19943794
-454.5,0.199808934
-453.5,0.199933559
-452.5,0.199975419
-451.5,0.199989488
-450.5,0.19999421
-449.5,0.19999579
-448.5,0.199996321
-447.5,0.199996502
-446.5,0.199996571
-445.5,0.199996587
-444.5,0.199996587
-443.5,0.199996587
-442.5,0.199996587
-441.5,0.199996587
-440.5,0.199996587
-439.5,0.199996587
-438.5,0.199996587
-437.5,0.199996587
-436.5,0.199996587
-435.5,0.199996587
-434.5,0.199996587
-433.5,0.199996587
-432.5,-0.845301364
-431.5,-0.522442866
-430.5,-0.059568081
-429.5,0.112038329
-428.5,-0.023682842
-427.5,0.055946137
-426.5,0.148475501
-425.5,0.182547643
-424.5,-8.664973916
-423.5,-6.303495733
-422.5,-2.24675671
-421.5,-0.630984782
-420.5,-0.079552465
-419.5,0.106074226
-418.5,0.168446197
-417.5,0.189398428
-416.5,0.196436551
-415.5,0.198800735
-414.5,0.19959489
-413.5,0.199861664
-412.5,0.199951271
-411.5,0.199981377
-410.5,0.199991485
-409.5,0.199994876
-408.5,0.199996017
-407.5,0.199996403
-406.5,0.199996535
-405.5,0.199996581
-404.5,0.199996587
-403.5,0.199996587
-402.5,0.199996587
-401.5,0.199996587
-400.5,0.199996587
-399.5,0.199996587
-398.5,0.199996587
-397.5,0.199996587
-396.5,0.199996587
-395.5,0.199996587
-394.5,-0.680750875
-393.5,-0.408555957
-392.5,-0.018638897
-391.5,0.125908091
-390.5,-2.180480779
-389.5,-1.436382091
-388.5,-0.387742046
-387.5,0.00083869
-386.5,0.133018616
-385.5,0.17749438
-384.5,0.192437687
-383.5,-0.044643733
-382.5,0.031863833
-381.5,0.139611258
-380.5,0.179534808
-379.5,0.193115181
-378.5,0.197684696
-377.5,0.199219993
-376.5,0.199735725
-375.5,0.199908965
-374.5,-0.010823158
-373.5,0.054334957
-372.5,0.147665249
-371.5,0.182263306
-370.5,0.194032771
-369.5,0.197992969
-368.5,0.199323548
-367.5,0.199770511
-366.5,0.199920645
-365.5,0.199971086
-364.5,0.199988028
-363.5,0.199993719
-362.5,0.19999563
-361.5,0.199996273
-360.5,-0.196406161
-359.5,-0.073974975
-358.5,0.10155924
-357.5,0.166639223
-356.5,0.188778241
-355.5,0.196227624
-354.5,-2.002431507
-353.5,-1.321727651
-352.5,-0.346734116
-351.5,0.014727127
-350.5,-0.064757632
-349.5,0.039182899
-348.5,0.142709719
-347.5,0.180604716
-346.5,0.193475889
-345.5,0.197805915
-344.5,-0.795979719
-343.5,-0.488087741
-342.5,-0.047216982
-341.5,0.116224014
-340.5,0.171823246
-339.5,0.190531341
-338.5,0.196817043
-337.5,-0.087001294
-336.5,0.002074604
-335.5,0.128897275
-334.5,0.175903684
-333.5,0.191893978
-332.5,0.197274409
-331.5,0.199082162
-330.5,0.199689428
-329.5,-0.111081432
-328.5,-0.014906126
-327.5,-0.674275803
-326.5,-0.377020713
-325.5,-0.006714474
-324.5,-0.683968445
-323.5,-0.385969077
-322.5,-0.009973367
-321.5,0.128868313
-320.5,0.176076714
