year,volcanic_ERF
1750,0.246372566
1751,0.203679767
1752,0.237324057
1753,0.240069526
1754,0.091163618
1755,-0.071972964
1756,0.086290159
1757,-0.035536597
1758,0.192847912
1759,0.237671158
1760,0.231928726
1761,0.050240462
1762,-1.25623957
1763,-0.591869763
1764,-0.030711404
1765,0.16959958
1766,0.232950986
1767,-0.242272347
1768,0.003014353
1769,0.167134714
1770,0.034183552
1771,0.179533892
1772,0.234059692
1773,0.243692272
1774,0.245245353
1775,0.245484607
1776,0.245520506
1777,0.245525811
1778,0.245526588
1779,0.242553281
1780,0.165436256
1781,0.191984396
1782,0.236453674
1783,0.244144929
1784,-2.092005765
1785,-3.04539627
1786,-0.31178893
1787,-0.054343722
1788,0.151662224
1789,0.138369461
1790,0.21780121
1791,-0.050680729
1792,0.105150628
1793,0.215967729
1794,0.195724522
1795,0.215489482
1796,-0.163848228
1797,0.131854538
1798,0.035266678
1799,0.176899325
1800,0.233452514
1801,-0.149333654
1802,0.11734903
1803,0.182578019
1804,0.218720483
1805,0.236857882
1806,0.148197521
1807,0.224419563
1808,0.242245856
1809,0.245032552
1810,-3.436316104
1811,-4.010455253
1812,-1.655535381
1813,-0.667432942
1814,-0.780144765
1815,-0.492982296
1816,-3.267476346
1817,-5.893942074
1818,-3.617597679
1819,-2.566136852
1820,-1.090961912
1821,-0.107943523
1822,0.023528134
1823,-0.002746404
1824,-0.458808624
1825,-0.063608989
1826,0.077164765
1827,0.201237909
1828,0.16409647
1829,0.208334859
1830,0.112331366
1831,0.190595166
1832,-2.23224942
1833,-1.791738639
1834,-0.755239917
1835,-0.078318737
1836,-1.984682189
1837,-1.95288965
1838,-0.51360371
1839,-0.485779113
1840,0.010451609
1841,0.20036372
1842,0.23789712
1843,0.244315837
1844,-0.192847871
1845,0.049309456
1846,0.126957278
1847,-0.434532879
1848,-0.004275442
1849,0.196899492
1850,0.237356019
1851,0.244142371
1852,0.245039091
1853,0.245011319
1854,-0.001429855
1855,-0.282577731
1856,0.073721743
1857,0.155121351
1858,-0.782049143
1859,-0.396297254
1860,0.076207681
1861,0.177820531
1862,0.222045379
1863,-1.004263154
1864,-1.27684246
1865,-0.228786556
1866,0.149274612
1867,0.226255276
1868,0.239542951
1869,0.235620631
1870,7.41E-05
1871,0.16048384
1872,0.226023265
1873,0.18301671
1874,-1.095988296
1875,-0.530541168
1876,-0.098148949
1877,0.101004916
1878,0.116705037
1879,0.208018175
1880,0.234285724
1881,0.121966226
1882,-0.002291068
1883,0.165480386
1884,-0.108468493
1885,-2.211590546
1886,-1.424446936
1887,-0.883484012
1888,-0.778739127
1889,-0.165079056
1890,0.105340465
1891,0.007079544
1892,0.144493818
1893,0.212758104
1894,0.054553196
1895,0.151812559
1896,-0.094271727
1897,0.086045484
1898,0.173144934
1899,0.19534948
1900,0.223632614
1901,0.178720167
1902,0.216631243
1903,0.132511015
1904,-0.198178374
1905,0.021179427
1906,0.15132703
1907,0.182465224
1908,-0.169953801
1909,-0.098392751
1910,0.16108325
1911,0.221016543
1912,0.179206742
1913,-0.450909783
1914,-0.648182998
1915,0.014492836
1916,0.195522169
1917,0.227000619
1918,0.191180549
1919,0.104743477
1920,-0.088343059
1921,0.111735767
1922,0.20876077
1923,0.227738118
1924,0.230675977
1925,-0.166020554
1926,-0.031615903
1927,-0.368005606
1928,-0.092402261
1929,0.179378494
1930,0.195187698
1931,0.209081727
1932,0.157070324
1933,-0.229691141
1934,-0.499679689
1935,-0.036280097
1936,0.182152944
1937,0.221397758
1938,0.191054596
1939,0.197919732
1940,0.221916059
1941,0.226900402
1942,0.227572569
1943,0.227511274
1944,-0.380448606
1945,-0.285360229
1946,0.083939136
1947,0.192134347
1948,-0.008398605
1949,0.05589643
1950,0.189294113
1951,0.217778043
1952,0.103036721
1953,0.100333069
1954,0.159601548
1955,0.196741257
1956,0.196813706
1957,-0.051924126
1958,-0.078840104
1959,0.13548546
1960,0.205279827
1961,0.220520836
1962,0.223229965
1963,0.223534879
1964,-0.956574734
1965,-1.080841602
1966,-0.14949925
1967,0.050480274
1968,0.130908705
1969,0.084227489
1970,0.013292606
1971,0.161474707
1972,0.209916047
1973,0.219643466
1974,0.195420369
1975,0.18937042
1976,0.144100516
1977,0.145588762
1978,0.205993779
1979,0.218299079
1980,0.218825241
1981,0.150960512
1982,0.099978666
1983,-0.24403543
1984,-0.737018646
1985,-0.287759154
1986,0.008697605
1987,0.007632083
1988,0.088808072
1989,0.144660331
1990,0.183834235
1991,0.180287235
1992,-0.605017992
1993,-1.872117841
1994,-0.810401237
1995,-0.068076628
1996,0.120676515
1997,0.189889191
1998,0.21325117
1999,0.215426882
2000,0.219694638
2001,0.220780284
2002,0.215175318
2003,0.222199524
2004,0.205352694
2005,0.216895572
2006,0.189711186
2007,0.171699347
2008,0.15891898
2009,0.176013401
2010,0.146564633
2011,0.181680239
2012,0.140708162
2013,0.179468572
2014,0.203357372
2015,0.184336267
2016,0.153910544
2017,0.172762162
2018,0.198168431
2019,0.180275276
2020,0.108442628
2021,0.074220309
2022,0.132408954
2023,0.171705306
2024,0.264979233
2025,0.237954228
