,ssp370,ssp434,ssp460,ssp119,ssp126,ssp245,ssp534-over,ssp585
1750,0,0,0,0,0,0,0,0
1751,-8.54586068053178E-005,-8.54586068053178E-005,-8.54586068053178E-005,-8.54586068053178E-005,-8.54586068053178E-005,-8.54586068053178E-005,-8.54586068053178E-005,-8.54586068053178E-005
1752,-0.0001724894,-0.0001724894,-0.0001724894,-0.0001724894,-0.0001724894,-0.0001724894,-0.0001724894,-0.0001724894
1753,-0.0002611213,-0.0002611213,-0.0002611213,-0.0002611213,-0.0002611213,-0.0002611213,-0.0002611213,-0.0002611213
1754,-0.0003513838,-0.0003513838,-0.0003513838,-0.0003513838,-0.0003513838,-0.0003513838,-0.0003513838,-0.0003513838
1755,-0.0004433069,-0.0004433069,-0.0004433069,-0.0004433069,-0.0004433069,-0.0004433069,-0.0004433069,-0.0004433069
1756,-0.000536921,-0.000536921,-0.000536921,-0.000536921,-0.000536921,-0.000536921,-0.000536921,-0.000536921
1757,-0.0006322574,-0.0006322574,-0.0006322574,-0.0006322574,-0.0006322574,-0.0006322574,-0.0006322574,-0.0006322574
1758,-0.0007293478,-0.0007293478,-0.0007293478,-0.0007293478,-0.0007293478,-0.0007293478,-0.0007293478,-0.0007293478
1759,-0.0008282243,-0.0008282243,-0.0008282243,-0.0008282243,-0.0008282243,-0.0008282243,-0.0008282243,-0.0008282243
1760,-0.0009289198,-0.0009289198,-0.0009289198,-0.0009289198,-0.0009289198,-0.0009289198,-0.0009289198,-0.0009289198
1761,-0.0010314679,-0.0010314679,-0.0010314679,-0.0010314679,-0.0010314679,-0.0010314679,-0.0010314679,-0.0010314679
1762,-0.0011359025,-0.0011359025,-0.0011359025,-0.0011359025,-0.0011359025,-0.0011359025,-0.0011359025,-0.0011359025
1763,-0.0012422585,-0.0012422585,-0.0012422585,-0.0012422585,-0.0012422585,-0.0012422585,-0.0012422585,-0.0012422585
1764,-0.0013505711,-0.0013505711,-0.0013505711,-0.0013505711,-0.0013505711,-0.0013505711,-0.0013505711,-0.0013505711
1765,-0.0014608763,-0.0014608763,-0.0014608763,-0.0014608763,-0.0014608763,-0.0014608763,-0.0014608763,-0.0014608763
1766,-0.0015732108,-0.0015732108,-0.0015732108,-0.0015732108,-0.0015732108,-0.0015732108,-0.0015732108,-0.0015732108
